Accession,IPI_ID,UniProt_ID,qusm.1.1,qusm.1.2,qusm.2.1,qusm.2.2,qusm.3.1,qusm.3.2,qupm.1.1,qupm.1.2,qupm.2.1,qupm.2.2,qupm.3.1,qupm.3.2,37C_cond1.1.1,37C_cond1.1.2,37C_cond1.2.1,37C_cond1.2.2,37C_cond1.3.1,37C_cond1.3.2,37C_cond2.1.1,37C_cond2.1.2,37C_cond2.2.1,37C_cond2.2.2,37C_cond2.3.1,37C_cond2.3.2,44C_cond1.1.1,44C_cond1.2.1,44C_cond1.3.1,44C_cond2.1.1,44C_cond2.2.1,44C_cond2.3.1,47.6C_cond1.1.1,47.6C_cond1.2.1,47.6C_cond1.3.1,47.6C_cond2.1.1,47.6C_cond2.2.1,47.6C_cond2.3.1,50.5C_cond1.1.2,50.5C_cond1.2.2,50.5C_cond1.3.2,50.5C_cond2.1.2,50.5C_cond2.2.2,50.5C_cond2.3.2,53.4C_cond1.1.2,53.4C_cond1.2.2,53.4C_cond1.3.2,53.4C_cond2.1.2,53.4C_cond2.2.2,53.4C_cond2.3.2,56.5C_cond1.1.2,56.5C_cond1.2.2,56.5C_cond1.3.2,56.5C_cond2.1.2,56.5C_cond2.2.2,56.5C_cond2.3.2,59.1C_cond1.1.2,59.1C_cond1.2.2,59.1C_cond1.3.2,59.1C_cond2.1.2,59.1C_cond2.2.2,59.1C_cond2.3.2,62.2C_cond1.1.1,62.2C_cond1.2.1,62.2C_cond1.3.1,62.2C_cond2.1.1,62.2C_cond2.2.1,62.2C_cond2.3.1,65.6C_cond1.1.1,65.6C_cond1.2.1,65.6C_cond1.3.1,65.6C_cond2.1.1,65.6C_cond2.2.1,65.6C_cond2.3.1,meanlog2Ratio37C,meanlog2Ratio44C,meanlog2Ratio47.6C,meanlog2Ratio50.5C,meanlog2Ratio53.4C,meanlog2Ratio56.5C,meanlog2Ratio59.1C,meanlog2Ratio62.2C,meanlog2Ratio65.6C,meanStDev,pValue_less37C,pValue_less44C,pValue_less47.6C,pValue_less50.5C,pValue_less53.4C,pValue_less56.5C,pValue_less59.1C,pValue_less62.2C,pValue_less65.6C,pValue_greater37C,pValue_greater44C,pValue_greater47.6C,pValue_greater50.5C,pValue_greater53.4C,pValue_greater56.5C,pValue_greater59.1C,pValue_greater62.2C,pValue_greater65.6C,collation.log2Ratio,collation.pValue,collation.pvalue.count,collation.pValue.start,collation.ratio.count,collation.ratio.start,Meltpnt_cond1_1,Meltpnt_cond1_2,Meltpnt_cond1_3,Meltpnt_cond2_1,Meltpnt_cond2_2,Meltpnt_cond2_3,Rsq_cond1_1,Rsq_cond1_2,Rsq_cond1_3,Rsq_cond2_1,Rsq_cond2_2,Rsq_cond2_3,Plateau,Mean_dTm,dTm_pValue,Significance_in_plateau,distancescore,collation.pValue.corrected,pValue37C,pValue37C.corrected,fullfil_all_criteria_collation,fullfil_all_criteria_37
A2M,IPI00478003.1,P01023,2,3,3,1,1,3,2,3,3,1,1,3,1,1,1,1,1,1,0.810964594,0.991536805,0.9440006,0.92503918,0.948738936,0.925214693,1.109560823,1.282514382,1.505250355,1.032713232,1.142305258,1.261700458,1.261733665,1.328821729,1.864953307,1.150218587,1.305672846,1.468586809,1.050521023,1.052549143,1.12349959,0.943623626,0.983118837,0.978798331,0.905137072,0.994084823,0.997315378,0.933938702,0.835161403,0.885184448,0.908766969,0.779440637,0.920439219,0.77890142,0.740526984,0.817745609,0.869037315,0.927134394,0.983114338,0.905694711,0.897696139,0.824351442,0.53742072,0.744129265,0.415681959,0.653563328,0.747942496,0.328248202,0.708226551,0.708806473,0.506599922,0.695093869,0.555765957,0.509525869,-0.116360289,-0.175069949,-0.16785481,-0.15072917,-0.126064679,-0.155675614,-0.080348091,-0.017014613,-0.123202963,0.142832567,0.016824518,0.028633787,0.107676711,0.017625521,0.145433401,0.035052529,0.237535954,0.466700291,0.19692669,0.983175482,0.971366213,0.892323289,0.982374479,0.854566599,0.964947471,0.762464046,0.533299709,0.80307331,-0.291430238,0.004221717,3,1,2,1,59.26673347,58.46432866,59.89719439,59.66793587,,59.38136273,0.689059554,0.440273959,0.356384313,0.596827564,0.460330525,0.552199395,,0.315230461,0.604076035,,-0.419923953,,0.016824518,0.138891769,0,1
ABCC1,IPI00719178.1,P33527,31,33,30,29,30,37,27,28,26,25,24,32,1,1,1,1,1,1,1.000791815,0.955389995,1.024599609,1.052679805,0.999222187,0.917611518,1.194757324,1.133148716,1.101507664,1.224281993,1.192380289,1.133425313,1.179532767,1.145478344,1.120599168,1.17096531,1.169045374,1.110028844,0.958350282,0.966780703,0.909080454,0.96809191,1.01903859,0.949286151,0.807937882,0.76053705,0.770616731,0.83011299,0.841774828,0.806987418,0.370879478,0.38247531,0.367461165,0.392478537,0.409684653,0.441357265,0.058409623,0.099959269,0.098021358,0.069200849,0.096399041,0.094948334,0.048389311,0.075252214,0.079110337,0.071633641,0.076851436,0.051356257,0.065889156,0.066226972,0.087230266,0.063722752,0.068336264,0.082257437,-0.013456114,0.049978433,0.00173014,0.050991372,0.084003951,0.14838857,,,,0.050769866,0.331449841,0.973893927,0.543977871,0.9442911,0.939575247,0.937237741,0.666083512,0.490734967,0.264411428,0.668550159,0.026106073,0.456022129,0.0557089,0.060424753,0.062762259,0.333916488,0.509265033,0.735588572,0.049978433,0.02377967,3,4,1,2,55.42665331,55.25470942,55.14008016,55.54128257,55.65591182,55.71322645,0.961080751,0.975405164,0.980566292,0.956485861,0.96330016,0.977848052,58.83687375,0.362992652,0.020364049,,-0.005915754,0.099608414,0.331449841,0.820911231,1,1
ABCC4,IPI00006675.2,O15439,25,25,21,28,22,27,23,24,20,24,20,24,1,1,1,1,1,1,0.985739883,0.898077894,1.001590785,1.067644308,1.015633382,0.893172154,1.190051557,1.137930887,1.099327889,1.2564917,1.145880208,1.172432618,1.209637079,1.138510473,1.221868567,1.191366125,1.162732598,1.168796026,1.003357293,1.072512549,0.968456902,1.060017512,1.164591665,1.063560577,0.879538842,0.861676958,0.850372435,0.857758981,0.958152029,0.869654914,0.908633683,0.930411921,0.853168267,0.973294714,0.97327989,0.975963969,0.711927017,0.771436398,0.646372364,0.774062419,0.808399382,0.724143538,0.262433996,0.171930381,0.164015945,0.187996942,0.180414331,0.21666901,0.103541276,0.070462293,0.073618618,0.094309715,0.078981082,0.068946523,-0.036615739,0.060434538,-0.018550523,0.111074929,0.049760242,0.119386893,0.117383912,-0.00336641,,0.109947423,0.210582068,0.929184307,0.283553916,0.98920164,0.768305181,0.954742507,0.973985019,0.495377358,0.419825814,0.789417932,0.070815693,0.716446084,0.01079836,0.231694819,0.045257493,0.026014981,0.504622642,0.580174186,0.236770804,0.007585303,3,4,2,6,60.29839679,60.18376754,59.78256513,60.18376754,60.29839679,60.24108216,0.921971307,0.949605651,0.935094566,0.904340221,0.940023899,0.936179874,62.90621242,0.152839011,0.393127183,,0.220597455,0.053081447,0.210582068,0.605228463,1,1
ACCN2,IPI00293398.3,P78348,1,0,,,,,1,0,,,,,1,,,,,,0.897657607,,,,,,1.08739111,,,1.075969302,,,0.992060359,,,0.982110595,,,,,,,,,,,,,,,,,,,,,,,,,,,0.240880135,,,0.260176014,,,0.269578239,,,0.233806894,,,-0.155762831,-0.015234022,-0.014542404,,,,,0.111172542,-0.205386574,,,,,,,,,,,,,,,,,,,,,,,,,,48.66352705,,,,,,0.988816995,,,,,,,,,,,,,,0,0
ACLY,IPI00394838.3,P53396,10,7,7,4,11,8,10,7,6,4,11,7,1,1,1,1,1,1,0.887543174,0.845305648,0.984412904,1.003288351,0.974202293,1.007748222,1.019683609,1.221435321,1.255715012,1.090884768,1.301940675,1.207845111,1.193947277,1.358007649,1.53261314,1.043422799,1.168383005,1.142045079,0.631072061,0.642967405,0.761119697,0.553907171,0.695088631,0.675508453,0.172333701,0.191761836,0.287005835,0.164703342,0.223787177,0.30374488,0.119834812,0.111394162,0.202895652,0.1001486,0.114725571,0.173584534,0.084074806,0.117300467,0.149568464,0.103614379,0.092274004,0.143337311,0.097441022,0.091619928,0.121359233,0.089013058,0.113895184,0.131906133,0.079968938,0.081507423,0.122544401,0.083114666,0.087124773,0.163821345,-0.076510917,0.044463254,-0.278589193,-0.082619575,0.079752245,-0.225099536,,,0.418818776,0.126460467,0.067509488,0.765047951,0.031298433,0.243288946,0.780563457,0.131335674,0.433855432,0.743082656,0.880166345,0.932490512,0.234952049,0.968701567,0.756711054,0.219436543,0.868664326,0.566144568,0.256917344,0.119833655,-0.278589193,0.045397519,3,1,1,3,50.66953908,50.61222445,51.52925852,50.55490982,51.3,51.3,0.975517471,0.917922964,0.848699086,0.98755438,0.928800616,0.946466916,53.16272545,0.114629259,0.781734643,,-0.404352298,0.133522116,0.067509488,0.323378783,1,1
ACOX1,IPI00296907.4,Q15067,1,,,1,1,0,1,,,1,1,0,1,,,1,1,,0.759736351,,,0.80400344,1.095298335,,1.013897438,,1.206551021,0.666451728,,1.290988304,1.012072229,,1.426943519,1.084722226,,1.380370989,,0.963168208,,,1.026566299,,,0.716258265,,,0.886332429,,,0.605243912,,,0.646323456,,,0.630065139,,,0.657335749,,0.812739819,,1.051127645,0.779357413,,0.80357655,1.38091383,,1.291503334,1.339359603,,1.225998002,-0.193277261,-0.253876214,0.02607061,0.091967126,0.307368018,0.094739686,0.061129459,-0.223969493,-0.059587339,0.227756019,0.179912587,0.30087713,0.607897428,,,,,0.20068509,0.081041383,0.820087413,0.69912287,0.392102572,,,,,0.79931491,0.918958617,-0.059587339,0.098366641,2,7,1,9,,52.44629259,,,55.19739479,,0.792761822,0.996734457,-0.844286908,0.671600582,0.450910612,,,2.751102204,,,-0.138780358,,0.179912587,,0,0
ACPP,IPI00289983.3,P15309,1,3,2,4,2,1,1,3,2,3,2,1,1,1,1,1,1,1,0.443779703,0.953060011,0.709273071,1.047932381,0.908733263,0.903982278,0.845382359,1.075561204,1.21567412,0.893217494,0.829472827,1.044898778,0.760539202,1.100133224,0.924524114,0.998087778,0.862149649,1.21203731,0.796757873,0.993688126,0.884634346,0.992949605,0.891414435,0.475465515,0.623294148,0.749115241,0.677218812,0.679064851,0.624153105,0.534424808,0.508314969,0.633008145,0.515619577,0.55122702,0.558857661,0.446860833,0.357396215,0.558535871,0.300564305,0.482047584,0.454462628,0.393218341,0.282522119,0.621298536,0.431357486,0.192543638,0.532771817,0.518870502,0.32443833,0.4624314,0.654407208,0.356463089,0.401956656,0.522692258,-0.325531925,-0.171269617,0.143709105,-0.244952741,-0.160428863,-0.089766911,0.173939955,-0.169485577,-0.130205948,0.357100966,0.0698888,0.163675561,0.689780906,0.279760731,0.190351656,0.238845675,0.731038558,0.275170066,0.221937499,0.9301112,0.836324439,0.310219094,0.720239269,0.809648344,0.761154325,0.268961442,0.724829934,0.778062501,-0.325531925,0.138596548,3,1,1,1,55.25470942,53.36332665,52.50360721,55.82785571,52.96212425,49.35130261,0.956669925,0.932718362,0.829859854,0.915209511,0.931587491,0.822112844,56.02845691,-0.993453574,0.652112415,,-0.461277261,,0.0698888,0.328926407,0,1
ACSL1,IPI00012728.1,P33121,4,3,2,2,5,4,4,3,2,2,5,4,1,1,1,1,1,1,0.952616705,1.023853241,1.036355307,1.025251872,1.033241109,1.19089933,1.014794122,1.186486873,1.249082066,1.085593932,1.249243954,1.185636214,1.17415521,1.267893933,1.421778574,1.029631932,1.163894156,1.029855231,0.698417783,0.689355538,0.741389294,0.625491291,0.69411278,0.64854966,0.219521998,0.24545761,0.268395285,0.260822239,0.218094041,0.295078314,0.094172336,0.110813378,0.117623992,0.107859205,0.103348333,0.145272281,0.070107828,0.088029267,0.097778468,0.056180143,0.101754493,0.078944081,0.084164821,0.013007773,0.020053201,0.116261976,0.021650586,0.022496975,0.101889733,0.024495082,0.025550582,0.101509991,0.015383979,0.018721414,0.058450364,0.032149915,-0.259407957,-0.114064296,0.071638798,,,,,0.141176095,0.884297779,0.693743815,0.065732317,0.105393079,0.687377744,0.807068294,0.253556003,0.945389622,0.097655945,0.115702221,0.306256185,0.934267683,0.894606921,0.312622256,0.192931706,0.746443997,0.054610378,0.902344055,-0.259407957,0.09830037,3,3,1,3,51.3,51.52925852,51.81583166,51.01342685,51.3,51.52925852,0.978534713,0.942486178,0.896695239,0.993760378,0.962837214,0.980715341,54.71022044,-0.26746827,0.273740445,,-0.38109223,0.22468656,0.115702221,0.425520965,1,1
ACTN1,IPI00759776.1,P12814,6,8,3,6,6,6,6,7,3,5,5,5,1,1,1,1,1,1,0.759456334,1.024372372,1.130131732,1.105973812,1.016044147,1.10507449,1.062316307,1.580184789,1.457786832,0.958138111,1.391043232,1.278089582,1.352724507,1.86761404,1.73991987,1.196090209,1.583468779,1.453863957,1.378892923,1.151933908,1.749415843,1.178705121,1.227564982,1.331771403,1.228471008,1.060496656,1.59098373,1.344762559,1.065189993,1.364762068,0.900515189,0.738885353,1.002163755,0.801429812,0.782835684,1.057324841,0.333042113,0.378973966,0.391750521,0.303835298,0.331106703,0.284185217,0.179656224,0.141313897,0.174805492,0.139789889,0.19580316,0.169670844,0.157490494,0.178257063,0.152780505,0.130634168,0.168601756,0.120179431,0.021115676,-0.174208233,-0.224926119,-0.176030978,-0.028137089,-0.00250501,-0.26344045,0.021836656,-0.232114205,0.175535935,0.590556512,0.0026623,0.005808622,0.170836867,0.405169908,0.489312994,0.060889336,0.531773279,0.049513052,0.409443488,0.9973377,0.994191378,0.829163133,0.594830092,0.510687006,0.939110664,0.468226721,0.950486948,-0.399134352,0.000729929,3,1,2,2,58.00581162,57.66192385,,57.48997996,57.31803607,58.40701403,0.832748797,0.611944187,,0.930877605,0.819292409,0.851727646,59.9258517,-0.095524382,0.847091022,,-0.550531023,,0.409443488,0.902636781,0,1
ADA,IPI00872639.1,P00813,1,1,1,2,,1,1,1,1,2,,1,1,1,1,1,,1,0.589314177,0.87908074,0.719626037,0.971147585,,0.835038151,1.501536126,1.133547857,,0.848510925,1.07867502,,1.197397749,0.97106379,,0.882136513,1.259035742,,0.90410178,0.866413051,1.121696403,0.87781323,0.748642485,0.897855009,0.773096275,0.883939821,1.204634542,0.930812719,0.771835736,1.098498927,0.605889074,0.562276748,0.795800508,0.629254272,0.562059633,0.747762463,0.564892594,0.437278254,0.920989241,0.710442385,0.476405343,0.806784292,0.468142298,0.420391498,,0.364900937,0.52090593,,0.27173217,0.236821904,,0.261280964,0.215060345,,-0.345165553,-0.447509534,-0.033073681,-0.191492364,-0.020291182,-0.011931513,0.087792584,-0.02507645,-0.097822175,0.294192249,0.025750454,0.222397212,0.474237755,0.070897665,0.450830196,0.401698204,0.689392681,0.476172304,0.126993291,0.974249546,0.777602788,0.525762245,0.929102335,0.549169804,0.598301796,0.310607319,0.523827696,0.873006709,-0.345165553,0.095189398,3,1,1,1,56.45831663,56.401002,,60.81422846,58.7509018,,0.729938964,0.950035789,,0.908998272,0.652994475,,,3.352905812,0.083107014,,-0.485085921,,0.025750454,,0,0
