Accession,T37.0,T44.0,T47.6,T50.5,T53.4,T56.5,T59.1,T62.2,T65.6,RSD
A2M,0.9999,1.2733,1.4182,1.1634,1.1515,0.9603,1.1167,0.8058,0.857,0.0
ABCC1,0.9999,1.2232,1.1699,0.9672,0.8294,0.3921,0.0691,0.0716,0.0637,0.0
ABCC4,0.9999,1.2745,1.2085,1.0752,0.8701,0.9873,0.7852,0.1907,0.0957,0.0
ACLY,0.9999,1.229,1.1755,0.624,0.1856,0.1128,0.1167,0.1003,0.0936,0.0
ACPP,0.9998,2.0123,2.2486,2.237,1.5298,1.2418,1.086,0.4338,0.8031,0.0
ACSL1,0.9999,1.1395,1.0807,0.6565,0.2738,0.1132,0.059,0.122,0.1065,0.0
ACTN1,0.9999,1.2614,1.5747,1.5518,1.7705,1.0551,0.4,0.184,0.172,0.0
ADA,0.9998,1.4396,1.4966,1.4893,1.5792,1.0676,1.2053,0.6191,0.4433,0.0
ADAM10,0.9999,1.0851,1.064,0.8987,0.864,0.6908,0.5358,0.313,0.2495,0.0
ADAM17,0.9999,1.0313,0.9971,0.821,0.6889,0.4049,0.3343,0.2104,0.1864,0.0
ADAM22,0.9999,1.2597,1.1269,0.8366,0.8552,0.7136,0.6003,0.4394,0.2333,0.0
ADAM9,0.9999,1.1389,1.239,0.9785,0.9661,0.9419,0.9863,0.9115,0.9025,0.0
ADCY3,0.9999,0.963,0.9427,0.9281,0.7227,0.6352,0.6814,0.2423,0.206,0.0
ADCY7,0.9999,1.003,0.8366,0.3205,0.0,0.0,0.0,0.1174,0.0907,0.0
ADCY9,0.9999,1.1581,1.078,0.8957,0.5287,0.1616,0.1146,0.1668,0.1572,0.0
ADPGK,0.9999,1.2875,1.2677,0.9462,0.8707,0.5056,0.3523,0.4372,0.252,0.0
AFP,0.9999,1.4299,1.4482,1.3449,1.395,1.1133,1.7167,2.1569,1.9581,0.0
AGTRAP,0.9999,1.0155,0.9158,1.0932,1.2697,0.9295,1.0594,1.0856,1.7957,0.0
AHNAK,0.9999,1.2416,1.3075,0.9428,0.9787,1.076,0.602,0.8872,0.5634,0.0
AHSG,0.9999,1.3353,1.2888,1.6416,1.5267,1.3272,1.8009,2.0412,1.9885,0.0
ALCAM,0.9999,1.0369,0.9774,0.8743,0.8929,0.8011,0.7865,0.7414,0.6349,0.0
ANKH,0.9999,1.168,1.2227,1.2288,1.1873,1.0718,1.1504,1.2587,1.8032,0.0
ANO6,0.9999,1.124,1.145,1.0466,0.9347,0.8711,0.1525,0.0789,0.08,0.0
ANPEP,0.9999,1.0499,1.037,0.908,0.8697,0.8393,0.8278,0.7947,0.8791,0.0
ANTXR2,0.9999,1.1874,1.2204,1.0844,0.9526,0.8424,0.7963,0.7146,0.6187,0.0
ANXA2,0.9999,1.1852,1.1815,1.0906,0.7238,0.4247,0.4237,0.2326,0.1707,0.0
AOAH,0.9999,1.1204,1.1286,0.9434,0.8078,0.6463,0.5961,0.8036,1.4728,0.0
AP2A1,0.9999,1.2823,1.2707,0.7668,0.5884,0.3566,0.2592,0.1555,0.1699,0.0
AP2B1,0.9999,1.0895,1.0094,0.5932,0.4162,0.2707,0.1779,0.0579,0.3592,0.0
APLP2,0.9999,1.1078,0.7329,1.0005,0.818,0.637,0.6908,0.3951,0.7035,0.0
APOA1BP,0.9999,1.5062,1.5967,1.4452,1.4186,1.5219,1.2981,1.4495,1.3077,0.0
APOB,0.9999,1.4412,1.7091,1.1819,1.4046,1.2811,1.3891,0.7297,0.8015,0.0
APOC3,0.9999,1.1743,1.152,0.901,1.0717,0.86,0.9714,1.103,1.1497,0.0
APOE,0.9999,1.3247,1.2666,1.1806,1.036,1.0089,0.9926,1.0257,0.9541,0.0
APOH,0.9999,1.2408,1.3039,1.1407,1.1077,1.009,0.9296,0.6303,0.6428,0.0
APP,0.9999,1.3962,1.0645,0.6683,0.4837,0.3805,0.3819,0.5338,0.7569,0.0
ARF6,0.9999,1.254,1.3608,1.3434,0.9921,0.5732,0.2913,0.1461,0.1324,0.0
ARMET,0.9999,1.1061,1.191,1.0904,1.1549,1.2284,1.199,1.6093,0.9675,0.0
ARPC2,0.9998,1.0833,1.3004,1.7867,1.9019,1.7836,1.6651,0.8511,0.4302,0.0
ART3,0.9999,1.1477,1.1335,0.9079,0.8245,0.6707,0.8112,0.8056,0.7739,0.0
ATP11A,0.9999,1.0242,1.0254,0.8412,0.7568,0.6076,0.2155,0.0907,0.0811,0.0
ATP11B,0.9999,0.9722,1.0789,1.2248,1.0513,0.9893,0.6522,0.204,0.1446,0.0
ATP11C,0.9999,1.176,1.3065,1.1912,1.0834,0.61,0.177,0.1094,0.1014,0.0
ATP13A1,0.9999,1.2673,1.063,0.8712,0.5612,0.1827,0.1311,0.0463,0.1796,0.0
ATP1A1,0.9999,1.169,1.1391,0.9124,0.9188,0.9399,0.9776,0.2273,0.1708,0.0
ATP1B1,0.9999,1.0487,0.9893,0.8905,0.9029,0.7941,0.5105,0.1944,0.1919,0.0
ATP1B3,0.9999,1.0901,1.0053,0.9092,0.9112,0.8282,0.529,0.1779,0.1788,0.0
ATP2A2,0.9999,1.2246,1.0697,0.685,0.2444,0.0953,0.0921,0.1138,0.1177,0.0
ATP2B4,0.9999,1.3022,1.3479,1.0224,0.9617,0.893,0.5297,0.2678,0.2369,0.0
ATP5A1,0.9999,1.2714,1.3655,1.2468,1.1858,1.2907,1.2712,1.4164,0.5137,0.0
ATP5B,0.9999,1.1553,1.1849,1.0877,0.9787,0.966,0.7257,0.9538,0.4444,0.0
ATP5O,0.9999,1.2604,1.307,1.1403,1.1735,1.4078,1.4486,1.8756,0.2813,0.0
ATP6AP1,0.9999,1.2304,1.2427,1.1355,1.0139,0.7624,0.593,0.6112,1.2107,0.0
ATP6V0A2,0.9999,1.4422,1.3889,1.1552,0.9678,0.9135,0.8641,1.341,0.5546,0.0
ATP6V0D1,0.9999,1.3103,1.4019,1.3351,1.2897,1.1944,1.4208,1.0927,0.6305,0.0
ATP6V1A,0.9999,1.4524,1.6546,1.222,1.0035,0.7507,0.5708,0.246,0.1637,0.0
ATP6V1B2,0.9999,1.33,1.3003,1.0951,0.9684,0.7469,0.7341,0.5017,0.3394,0.0
ATP6V1E1,0.9999,1.3099,1.0755,1.0229,0.8837,0.5835,0.3282,0.2103,0.0992,0.0
ATP6V1H,0.9999,1.308,1.4399,1.1486,0.9025,0.785,0.4332,0.3765,0.1386,0.0
ATP7A,0.9999,1.0475,1.0341,0.5227,0.2847,0.228,0.209,0.129,0.1088,0.0
ATPIF1,0.9999,1.0727,1.0446,0.9267,0.823,0.8085,0.7044,1.0597,0.8348,0.0
ATRN,0.9999,1.0922,1.049,0.8201,0.7381,0.6084,0.5245,0.4405,0.4043,0.0
B2M,0.9999,1.2031,1.3288,0.9783,0.8637,0.9623,1.3123,1.8712,3.4397,0.0
B4GALT1,0.9999,1.252,1.3432,0.8183,0.4078,0.2261,0.13,0.0053,0.0324,0.0
BASP1,0.9999,0.9852,1.0991,1.1853,1.2493,1.496,1.8201,3.1146,8.4293,0.0
BCAP31,0.9999,1.0895,1.1166,1.2916,1.4592,1.5987,1.44,2.0972,4.194,0.0
BSG,0.9999,1.0828,1.0736,0.938,1.0063,0.956,0.9935,0.8818,0.7245,0.0
BST1,0.9999,1.1406,1.0757,1.0081,0.9888,0.9097,0.9598,0.8422,0.9338,0.0
BST2,0.9999,1.043,1.1397,0.959,0.9548,0.8454,0.8605,0.8902,0.9392,0.0
BTN2A1,0.9999,1.105,1.0516,0.9748,0.8212,0.1993,0.0456,0.1087,0.1492,0.0
C11ORF59,0.9999,1.1648,1.0941,1.3605,1.0876,1.1232,0.815,0.82,0.5779,0.0
