Accession,T37.0,T44.0,T47.6,T50.5,T53.4,T56.5,T59.1,T62.2,T65.6,RSD
A2M,0.9999,1.2824,1.3287,1.0524,0.994,0.7794,0.927,0.7441,0.7087,0.0
ABCC1,0.9999,1.133,1.1454,0.9667,0.7605,0.3824,0.0999,0.0752,0.0662,0.0
ABCC4,0.9999,1.1378,1.1384,1.0724,0.8616,0.9303,0.7714,0.1719,0.0705,0.0
ACLY,0.9999,1.2213,1.3579,0.6429,0.1917,0.1114,0.1173,0.0916,0.0815,0.0
ACPP,0.9999,1.0755,1.1,0.9936,0.749,0.6329,0.5585,0.6212,0.4624,0.0
ACSL1,0.9999,1.1864,1.2678,0.6893,0.2454,0.1108,0.088,0.013,0.0245,0.0
ACTN1,0.9999,1.58,1.8674,1.1518,1.0604,0.7388,0.3789,0.1413,0.1782,0.0
ADA,0.9999,1.1334,0.971,0.8663,0.8839,0.5622,0.4372,0.4203,0.2368,0.0
ADAM10,0.9999,1.0761,1.0428,0.8947,0.8303,0.6843,0.5561,0.3073,0.2081,0.0
ADAM15,0.9999,1.4124,1.2682,0.6869,0.6669,0.4175,0.3098,0.2972,0.2099,0.0
ADAM17,0.9999,1.035,0.989,0.8297,0.6429,0.4122,0.3413,0.206,0.1884,0.0
ADAM22,0.9999,1.1511,1.1728,0.874,0.8325,0.6679,0.5732,0.3355,0.22,0.0
ADAM9,0.9999,1.0899,1.221,1.0543,1.0215,0.967,1.1503,0.931,0.7838,0.0
ADCY3,0.9999,0.9463,1.0282,0.4241,0.1443,0.1104,0.0633,0.2142,0.1679,0.0
ADCY7,0.9999,0.9942,0.8069,0.3829,0.0714,0.0688,0.0462,0.0887,0.0541,0.0
ADCY9,0.9999,1.146,1.0729,0.8123,0.5046,0.1861,0.1619,0.1746,0.1239,0.0
ADPGK,0.9999,1.2413,1.2489,0.8869,0.7189,0.4382,0.4172,0.4152,0.2561,0.0
AFP,0.9999,1.3404,1.4201,1.1675,0.9587,0.9037,1.3684,1.6443,1.4344,0.0
AGPAT3,0.9999,1.1535,1.166,0.8374,0.2736,0.2313,0.1264,0.0538,0.118,0.0
AGTRAP,0.9999,1.1018,1.2464,1.1508,1.0794,0.8975,1.0416,1.7388,2.3801,0.0
AHNAK,0.9999,1.4929,1.6175,0.7671,0.8625,0.7239,0.8696,1.2764,0.5704,0.0
AHSG,0.9999,1.2471,1.1031,1.3494,1.1296,1.0298,1.6624,1.8748,1.6225,0.0
ALCAM,0.9999,0.989,0.9228,0.9211,0.86,0.8097,0.7804,0.6344,0.4681,0.0
ALDH16A1,0.9999,1.3099,1.3958,1.1617,1.0872,0.8411,0.7981,0.2207,0.1105,0.0
ANKH,0.9999,0.984,1.1316,1.0393,0.9597,0.8056,0.9429,1.2368,1.5314,0.0
ANO6,0.9999,1.0853,1.102,0.9201,0.868,0.8472,0.1296,0.0359,0.0384,0.0
ANPEP,0.9999,1.0248,0.9854,0.9041,0.881,0.7884,0.8448,0.7823,0.7606,0.0
ANTXR2,0.9999,1.0856,1.1416,1.042,0.9287,0.7966,0.7952,0.5769,0.4057,0.0
ANXA2,0.9999,1.3391,1.424,0.8241,0.5917,0.2715,0.27,0.2403,0.2325,0.0
ANXA4,0.9999,1.0046,1.3071,0.6217,0.6386,0.4619,0.5822,0.4962,0.4632,0.0
ANXA5,0.9999,1.1769,0.9771,0.4655,0.3766,0.4062,0.2769,0.1048,0.1014,0.0
AOAH,0.9999,1.1132,1.1875,1.1504,0.806,0.7335,0.8286,0.8354,1.1737,0.0
