Accession,IPI_ID,UniProt_ID,qusm.1.1,qusm.1.2,qusm.2.1,qusm.2.2,qusm.3.1,qusm.3.2,qupm.1.1,qupm.1.2,qupm.2.1,qupm.2.2,qupm.3.1,qupm.3.2,37C_cond1.1.1,37C_cond1.1.2,37C_cond1.2.1,37C_cond1.2.2,37C_cond1.3.1,37C_cond1.3.2,37C_cond2.1.1,37C_cond2.1.2,37C_cond2.2.1,37C_cond2.2.2,37C_cond2.3.1,37C_cond2.3.2,47.4C_cond1.1.1,47.4C_cond1.2.1,47.4C_cond1.3.1,47.4C_cond2.1.1,47.4C_cond2.2.1,47.4C_cond2.3.1,51C_cond1.1.1,51C_cond1.2.1,51C_cond1.3.1,51C_cond2.1.1,51C_cond2.2.1,51C_cond2.3.1,53.9C_cond1.1.1,53.9C_cond1.2.1,53.9C_cond1.3.1,53.9C_cond2.1.1,53.9C_cond2.2.1,53.9C_cond2.3.1,56.8C_cond1.1.1,56.8C_cond1.2.1,56.8C_cond1.3.1,56.8C_cond2.1.1,56.8C_cond2.2.1,56.8C_cond2.3.1,59.9C_cond1.1.2,59.9C_cond1.2.2,59.9C_cond1.3.2,59.9C_cond2.1.2,59.9C_cond2.2.2,59.9C_cond2.3.2,62.5C_cond1.1.2,62.5C_cond1.2.2,62.5C_cond1.3.2,62.5C_cond2.1.2,62.5C_cond2.2.2,62.5C_cond2.3.2,65.6C_cond1.1.2,65.6C_cond1.2.2,65.6C_cond1.3.2,65.6C_cond2.1.2,65.6C_cond2.2.2,65.6C_cond2.3.2,69C_cond1.1.2,69C_cond1.2.2,69C_cond1.3.2,69C_cond2.1.2,69C_cond2.2.2,69C_cond2.3.2,meanlog2Ratio37C,meanlog2Ratio47.4C,meanlog2Ratio51C,meanlog2Ratio53.9C,meanlog2Ratio56.8C,meanlog2Ratio59.9C,meanlog2Ratio62.5C,meanlog2Ratio65.6C,meanlog2Ratio69C,meanStDev,pValue_less37C,pValue_less47.4C,pValue_less51C,pValue_less53.9C,pValue_less56.8C,pValue_less59.9C,pValue_less62.5C,pValue_less65.6C,pValue_less69C,pValue_greater37C,pValue_greater47.4C,pValue_greater51C,pValue_greater53.9C,pValue_greater56.8C,pValue_greater59.9C,pValue_greater62.5C,pValue_greater65.6C,pValue_greater69C,collation.log2Ratio,collation.pValue,collation.pvalue.count,collation.pValue.start,collation.ratio.count,collation.ratio.start,Meltpnt_cond1_1,Meltpnt_cond1_2,Meltpnt_cond1_3,Meltpnt_cond2_1,Meltpnt_cond2_2,Meltpnt_cond2_3,Rsq_cond1_1,Rsq_cond1_2,Rsq_cond1_3,Rsq_cond2_1,Rsq_cond2_2,Rsq_cond2_3,Plateau,Mean_dTm,dTm_pValue,Significance_in_plateau,distancescore,collation.pValue.corrected,pValue37C,pValue37C.corrected,fullfil_all_criteria_collation,fullfil_all_criteria_37
ABCA3,IPI00619902.1,"H0Y3H2,Q99758",,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
ABCA7,IPI00293895.4,Q8IZY2,2,2,3,1,3,1,2,2,3,1,3,1,1,1,1,1,1,1,0.889989156,1.35303165,0.919523358,0.913201378,0.751926766,1.147877252,0.83655002,0.822870876,0.469180759,0.583558157,0.658067242,0.578282963,0.383812629,0.431884335,0.535864813,0.708493007,0.356289327,0.560690274,0.311077433,0.221021904,0.056561712,0.311133415,0.182820391,0.25723744,0.151905028,0.073306136,0.107225812,0.073059563,0.07451119,0.098429118,0.40001891,0.275650475,0.147282211,0.593943641,0.255993511,0.255902446,0.450838435,0.093524444,0.161665943,0.339721805,0.117391794,0.135003921,0.338200157,0.177844219,0.105759952,0.235244804,0.071789334,0.319198136,0.06089443,0.059485194,0.143394288,0.117377638,0.077614562,0.14962116,-0.032724874,-0.18012489,0.224030222,0.6372334,-1.056024593,0.42017858,-0.334135587,-0.07960944,,0.678643551,0.400285246,0.271217066,0.708799684,0.750585365,0.186212163,0.869124953,0.33194591,0.467596329,0.8926011,0.599714754,0.728782934,0.291200316,0.249414635,0.813787837,0.130875047,0.66805409,0.532403671,0.1073989,,,3,4,1,9,48.76753507,49.79358717,47.22845691,50.24248497,49.0240481,48.89579158,0.846335923,0.962557123,0.891760591,0.636226749,0.963701163,0.8795547,56.11022044,0.790915164,0.409840183,1,,,0.400285246,0.886412549,1,1
ABCA8,IPI00479296.2,O94911,12,8,15,9,8,9,12,8,14,9,8,9,1,1,1,1,1,1,1.059176675,1.070247674,1.122573865,1.049158167,1.161006242,1.12465886,0.748005385,0.811969864,0.787530329,0.849420935,0.904792544,0.883476734,0.67416795,0.679576834,0.670161676,0.697440328,0.769104327,0.757049811,0.677624726,0.701816,0.697309781,0.738302065,0.776621879,0.824069621,0.609251926,0.638509307,0.673237873,0.745023875,0.716301707,0.765224633,0.45996439,0.517427407,0.462537353,0.59775622,0.653661265,0.563568475,0.100966175,0.144122853,0.106543332,0.140025836,0.189102122,0.136364076,0.048108718,0.064041163,0.039071258,0.044855213,0.083083768,0.042067854,0.041328694,0.069120982,0.047693788,0.059737136,0.101096935,0.052963094,0.133632285,0.168482842,0.13446114,0.170270233,0.21362482,0.333414278,0.39186644,,,0.053696597,0.998749845,0.998881819,0.956012178,0.979115633,0.984358067,0.996772736,0.996493733,0.772848295,0.956481482,0.001250155,0.001118181,0.043987822,0.020884367,0.015641933,0.003227264,0.003506267,0.227151705,0.043518518,1.545752038,9.56E-06,3,1,7,1,56.14228457,57.04008016,56.78356713,56.71943888,57.74549098,57.68136273,0.890288748,0.897930689,0.88346624,0.845059944,0.882611183,0.879453946,,0.726786907,0.163125018,,3.528552679,0.002099251,0.001250155,0.056554619,1,1
ABCB1,IPI00027481.1,P08183,10,3,7,3,5,,10,3,7,3,5,,1,1,1,1,1,,1.01548767,1.034523454,1.016589356,1.038245505,1.09690405,,0.768578275,0.799216616,0.810633417,0.833357532,0.819291067,0.899447493,0.658963292,0.676160432,0.701413213,0.691275358,0.730498826,0.727811703,0.398536689,0.400051889,0.434573162,0.469075277,0.510767551,0.528323555,0.199677468,0.146869166,0.263446542,0.265191831,0.189658338,0.297900148,0.05505669,0.211978071,,0.075349523,0.242882189,,0.027507451,0.08651539,,0.031734097,0.130217712,,0.053998295,0.007873546,,0.034545923,0.006326115,,0.0232791,0.008191083,,0.029062561,0.006468069,,0.056492214,0.100840768,0.0779598,0.289803103,0.318518211,0.196341671,,,,0.063451229,0.975199598,0.951535499,0.976850644,0.993211342,0.976525167,0.880266023,0.857045461,0.104997527,0.490084378,0.024800402,0.048464501,0.023149356,0.006788658,0.023474833,0.119733977,0.142954539,0.895002473,0.509915622,0.843614096,0.000547527,3,3,5,1,52.29458918,52.5511022,53.12825651,52.87174349,53.25651303,53.76953908,0.987174941,0.979285881,0.985024857,0.990819308,0.973648929,0.996617186,62.20240481,0.641282565,0.14801095,,1.894131469,0.0155525,0.024800402,0.169696924,1,1
ABCB6,IPI00742677.2,Q9NP58,,1,2,1,2,1,,1,2,1,2,1,,1,1,1,1,1,,1.067433452,0.902543634,0.985764897,1.014690212,1.142906793,,0.797990517,0.740648369,,0.680844321,0.760841642,,0.553732817,0.582115631,,0.496089815,0.56577749,,0.423730508,0.447171628,,0.434282292,0.43274227,,0.41238634,0.459852523,,0.428261238,0.367516465,0.332320813,0.369753226,0.638810911,0.283898098,0.293935477,0.375407303,0.365070678,0.402842896,0.552217776,0.247457979,0.337553813,0.38970343,0.274520125,0.342809228,0.364510304,0.279963375,0.294962426,0.368437347,0.296418631,0.316425301,0.385913093,0.343044862,0.422737212,0.391797713,0.027855463,-0.095119604,-0.099829833,-0.00591724,-0.134433905,-0.441732981,-0.439650911,-0.057696286,0.216830088,0.167835492,0.674807951,0.303423983,0.169336929,0.454814126,0.303143741,0.058092975,0.021309924,0.272115824,0.900773648,0.325192049,0.696576017,0.830663071,0.545185874,0.696856259,0.941907025,0.978690076,0.727884176,0.099226352,-0.439650911,0.013798905,3,6,1,7,50.43486974,49.08817635,47.48496994,,47.48496994,48.51102204,0.992117024,0.99015523,0.826677512,,0.96217196,0.994076009,54.6993988,-1.004676019,0.451997331,1,-1.093024503,,0.325192049,,0,0
ABCC1,IPI00719178.1,P33527,46,28,39,30,38,31,41,28,38,29,36,31,1,1,1,1,1,1,0.929118313,0.936749868,0.819702121,0.83085392,1.001450264,1.03574552,0.870094505,0.893560853,0.873703827,0.813255557,0.766789473,0.857475646,0.793247328,0.779779169,0.784300752,0.703557181,0.716989523,0.780103373,0.652924849,0.623931069,0.636910228,0.592634405,0.596651927,0.658991552,0.437073371,0.450876762,0.470689427,0.502518717,0.446607186,0.459729236,0.066839746,0.05955275,0.083956945,0.08670004,0.09716827,0.121009666,0.02946206,0.028327406,0.052445483,0.026345537,0.028688153,0.049569006,0.029200444,0.024905509,0.041532368,0.024308774,0.026674174,0.044187708,0.027205671,0.026264588,0.041366941,0.030271289,0.030935923,0.04302938,-0.11695521,-0.115082465,-0.100652774,-0.051700581,0.051194708,,,,,0.109098538,0.045726045,0.089531389,0.087678375,0.222932686,0.716682427,0.984817649,0.143225415,0.42581839,0.948667297,0.954273955,0.910468611,0.912321625,0.777067314,0.283317573,0.015182351,0.856774585,0.57418161,0.051332703,-0.11695521,0.014499087,3,1,1,1,55.18036072,55.05210421,55.24448898,55.37274549,55.11623246,55.9498998,0.97612406,0.976192575,0.974766449,0.957559992,0.963262925,0.986070411,62.33066132,0.320641283,0.273665987,,-0.341860569,0.071544676,0.045726045,0.231062459,1,1
ABCC10,IPI00168635.3,Q5T3U5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.644886925,0.971694906,0.794237068,0.737502666,1.226275542,1.083248328,0.603372595,0.724915786,0.737938155,0.905573581,0.769762099,1.124370201,0.546168117,0.426719049,0.566763853,0.232814005,0.66064922,0.524440674,1.78004499,1.593151673,3.384485319,0.51011637,0.693322146,1.10842016,0.264895878,0.429468891,0.507926983,0.268806259,0.26238295,0.279537653,0.549745753,0.386006043,0.705964178,0.797289601,0.5894169,0.767776673,0.199035074,0.586864513,0.716958004,0.290021992,0.521341378,0.408356983,4.248284138,1.35513324,2.832869001,0.956738926,0.740102784,0.894447202,0.338255667,0.401904735,0.488201033,0.424387725,0.482278192,0.431312344,-0.172716266,0.426642412,-0.23717916,-1.537910959,-0.517105604,0.42269868,-0.146572401,-1.56217196,0.137179495,0.469735042,0.142822944,0.935515071,0.351898033,0.006546955,0.09914926,0.94548606,0.372011424,0.026198237,0.760344977,0.857177056,0.064484929,0.648101967,0.993453045,0.90085074,0.05451394,0.627988576,0.973801763,0.239655023,-1.56217196,0.010172389,3,3,1,8,,,,48.89579158,49.40881764,55.30861723,,,,0.34162557,0.467743119,0.349475944,,,,,-3.706004234,,0.142822944,,0,0
ABCC4,IPI00006675.2,O15439,49,35,50,35,49,34,44,33,46,33,44,31,1,1,1,1,1,1,0.966483028,0.962823435,0.987554078,0.86822636,1.044903328,0.996303644,0.857397857,0.893700778,0.853616472,0.832388698,0.824785683,0.872174531,0.794612673,0.780367874,0.776516723,0.710902305,0.738285212,0.809610985,0.777452896,0.781243216,0.764556683,0.730978928,0.726274506,0.831002317,0.704061535,0.713758906,0.708012772,0.709676246,0.681299992,0.678418061,0.604968975,0.650333794,0.654657892,0.63484165,0.615463342,0.665572852,0.212957603,0.235371726,0.21951594,0.259847872,0.269033626,0.25235805,0.046410475,0.053613967,0.030622762,0.044904438,0.056305302,0.038662413,0.061548858,0.059725188,0.039306764,0.067288861,0.074114289,0.035542719,-0.044623145,-0.042483726,-0.060121581,-0.024651078,-0.039095989,0.004627854,0.227030962,,,0.081720755,0.136443319,0.210845661,0.224872757,0.383259374,0.131337259,0.537011829,0.991419383,0.799031449,0.731967176,0.863556681,0.789154339,0.775127243,0.616740626,0.868662741,0.462988171,0.008580617,0.200968551,0.268032824,0.227030962,0.008580617,1,7,1,7,59.02805611,59.41282565,59.15631263,59.09218437,58.8997996,59.9258517,0.917608116,0.910474198,0.89042316,0.873940499,0.894956671,0.924114691,,0.106880428,0.765381581,,0.458862854,0.056147082,0.136443319,0.446969494,1,1
ABCC5,IPI00385383.3,O15440,13,9,12,4,12,7,13,9,12,4,12,7,1,1,1,1,1,1,1.037455814,1.026460703,1.070925482,1.133177808,1.157064986,1.093903582,0.797657821,0.854838051,0.846752416,0.829327784,0.91786531,0.887235495,0.649224032,0.722551324,0.716286677,0.592365514,0.765333658,0.741724077,0.477322226,0.585293939,0.543106367,0.487393247,0.596229402,0.592878846,0.262931973,0.336213411,0.350733138,0.325072323,0.380646053,0.343374391,0.094151068,0.119508377,0.112094011,0.1330639,0.170675324,0.155506452,0.038881711,0.068638303,0.064103984,0.039231224,0.068842921,0.057559062,0.033695244,0.056054122,0.043211547,0.02744476,0.066185324,0.049140545,0.034767628,0.057039727,0.042562036,0.031928489,0.098216561,0.044855084,0.118319353,0.075393552,0.000368507,0.061110492,0.151517564,0.493203991,,,,0.077538331,0.995826954,0.983607695,0.501945585,0.898657925,0.868667939,0.999694454,0.244270116,0.588017448,0.766812623,0.004173046,0.016392305,0.498054415,0.101342075,0.131332061,0.000305546,0.755729884,0.411982552,0.233187377,0.493203991,0.000305546,1,6,1,6,52.87174349,54.21843687,54.0260521,52.16633267,54.09018036,53.70541082,0.99045234,0.989109129,0.990436636,0.987110778,0.990008179,0.98929767,63.16432866,-0.384769539,0.622640062,,1.078454557,0.01081994,0.004173046,0.081772534,1,1
ABL1,IPI00221171.4,P00519,,,,0,1,,,,,0,1,,,,,,1,,,,,,1.123103383,,,,0.626554298,,,0.642522225,,,0.303800706,,,0.343305038,,,0.16505386,,,0.187141448,,,0.158751231,,,0.119011054,,,,,,,,,,,,,,,,,,,,,,,,,0.167490736,0.036306816,0.176365806,0.181192243,-0.4156722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.99799599,,,48.06212425,,,0.998866749,,,0.999838147,55.66132265,0.064128257,,,,,,,0,0
