Accession,T37.0,T47.4,T51.0,T53.9,T56.8,T59.9,T62.5,T65.6,T69.0,RSD
ABCA7,0.9999,0.7156,0.3874,0.1988,0.081,0.2784,0.1277,0.0781,0.0844,0.0
ABCA8,0.9999,0.8059,0.6851,0.6918,0.638,0.5822,0.1684,0.074,0.0901,0.0
ABCB1,0.9999,0.8058,0.7185,0.5024,0.1865,0.2389,0.1281,0.0062,0.0064,0.0
ABCB6,0.9999,0.7543,0.5496,0.4811,0.4745,0.3256,0.374,0.3268,0.4683,0.0
ABCC1,0.9999,0.9353,0.8746,0.7278,0.5448,0.1185,0.035,0.0325,0.0377,0.0
ABCC10,0.9999,0.9691,0.8317,0.8728,0.3303,0.742,0.6563,0.9317,0.6071,0.0
ABCC4,0.9999,0.8351,0.7475,0.7354,0.6898,0.6232,0.2724,0.057,0.075,0.0
ABCC5,0.9999,0.857,0.7146,0.5567,0.3554,0.1594,0.0643,0.0618,0.0917,0.0
ACE,0.9999,0.8624,0.837,0.7872,0.5664,0.4302,0.3506,0.2815,0.2799,0.0
ACLY,0.9999,0.9755,0.8997,0.2425,0.0445,0.1098,0.0898,0.0656,0.0606,0.0
ACOX1,0.9999,0.8838,0.6244,0.4875,0.4228,0.7599,1.4647,1.5753,1.2505,0.0
ACPP,0.9999,0.831,0.4763,0.2858,0.1382,0.2666,0.3871,0.4965,0.564,0.0
ACTN1,0.9999,1.0238,1.0317,0.6537,0.44,0.3035,0.0497,0.0363,0.0441,0.0
ACVR1,0.9999,0.4766,0.0645,0.0085,0.0084,0.0088,0.016,0.0188,0.0221,0.0
ADAM10,0.9999,0.7769,0.649,0.5781,0.4853,0.3807,0.2773,0.2194,0.2446,0.0
ADAM15,0.9999,0.8199,0.7208,0.7216,0.4799,0.2988,0.2267,0.1429,0.1307,0.0
ADAM17,0.9999,0.8938,0.7036,0.4305,0.3028,0.2944,0.2463,0.1486,0.1185,0.0
ADAM9,0.9999,0.8518,0.7557,0.752,0.6902,0.7622,0.6762,0.443,0.4325,0.0
ADCY3,0.9999,0.7948,0.3001,0.0779,0.087,0.0968,0.0467,0.0349,0.0385,0.0
ADCY7,0.9999,0.8294,0.4064,0.1284,0.0941,0.1868,0.0908,0.0753,0.099,0.0
ADSS,0.9999,0.9327,0.8781,0.7921,0.7319,0.3705,0.0444,0.0506,0.0773,0.0
AHNAK,0.9999,0.9503,0.7234,0.6171,0.6276,0.8557,0.7554,0.7405,0.5766,0.0
AHSG,0.9999,0.8852,0.8286,0.9407,0.9829,1.5066,2.1963,2.4889,3.2492,0.0
AK1,0.9999,0.8102,0.471,0.2051,0.105,0.1808,0.13,0.0904,0.0986,0.0
AKR1A1,0.9999,0.9603,0.8176,0.2549,0.0935,0.1453,0.1054,0.0359,0.0587,0.0
ALCAM,0.9999,0.8731,0.7427,0.7753,0.7418,0.9722,0.5828,0.3907,0.439,0.0
ALS2CR4,0.9999,0.9062,0.7708,0.5566,0.5009,0.737,0.6504,0.2577,0.4192,0.0
AMIGO2,0.9999,0.9042,0.772,0.5226,0.371,0.3139,0.2277,0.185,0.2244,0.0
ANK1,0.9999,0.449,0.2803,0.1436,0.047,0.1203,0.0662,0.0483,0.0446,0.0
ANO6,0.9999,0.906,0.8371,0.808,0.3256,0.0727,0.0413,0.0458,0.038,0.0
ANPEP,0.9999,0.89,0.8498,0.8762,0.8234,0.9279,0.9001,0.7019,0.596,0.0
ANTXR2,0.9999,0.8368,0.6144,0.6935,0.7663,0.9061,0.8948,0.649,0.645,0.0
ANXA1,0.9999,0.6449,0.1087,0.0219,0.0149,0.0281,0.0197,0.0195,0.0211,0.0
ANXA2,0.9999,0.849,0.7732,0.3296,0.0482,0.0659,0.0311,0.0449,0.0595,0.0
ANXA3,0.9999,0.9509,0.8105,0.2017,0.0034,0.0499,0.0371,0.0198,0.0252,0.0
ANXA5,0.9999,0.5663,0.084,0.04,0.0292,0.0198,0.0082,0.0088,0.0137,0.0
ANXA7,0.9999,0.7373,0.4294,0.1173,0.0869,0.0559,0.0476,0.0535,0.0759,0.0
AP2A1,0.9999,0.8309,0.5625,0.1526,0.08,0.0732,0.0497,0.0462,0.0534,0.0
AP2B1,0.9999,0.972,0.72,0.1566,0.0177,0.0405,0.0553,0.0394,0.0387,0.0
AP2M1,0.9999,0.797,0.5807,0.3583,0.254,0.0855,0.0752,0.0448,0.0246,0.0
APLP2,0.9999,1.0245,0.6994,0.4733,0.3866,0.4331,0.6956,1.0514,1.2366,0.0
APOA1BP,0.9999,0.8772,0.8842,0.7533,0.7386,0.564,0.4984,0.5615,0.4857,0.0
APOB48R,0.9999,0.8432,0.6351,0.3901,0.367,0.7187,1.4446,2.0383,2.3906,0.0
APOE,0.9999,1.0415,0.5965,0.4683,0.4575,0.5974,0.7327,0.8449,1.1562,0.0
ARL15,0.9999,0.8565,0.6857,0.524,0.3762,0.4052,0.435,0.4163,0.3526,0.0
ARL2,0.9999,0.9032,0.8583,0.5077,0.2209,0.0552,0.1052,0.1388,0.2838,0.0
ARMET,0.9999,0.9075,0.8442,0.6996,0.5921,0.9183,1.3724,1.0761,0.7907,0.0
ARPC2,0.9999,0.9108,0.7158,0.4637,0.3317,0.3168,0.1267,0.0575,0.0468,0.0
ASPH,0.9999,1.0596,0.6127,0.436,0.3016,0.2345,0.2413,0.4525,0.6598,0.0
ATP11A,0.9999,0.9102,0.6875,0.6257,0.8359,0.7721,0.1675,0.2393,0.1806,0.0
ATP11B,0.9999,0.926,0.796,0.8159,2.2448,1.4629,0.4702,0.1761,0.1637,0.0
ATP11C,0.9999,0.9316,0.8452,0.7556,0.6101,0.1435,0.0764,0.083,0.1147,0.0
ATP13A3,0.9999,0.8831,0.9403,0.6197,0.1697,0.1824,0.105,0.0894,0.0875,0.0
ATP1A1,0.9999,1.125,0.9971,1.0259,1.2416,1.9237,1.457,0.121,0.1193,0.0
ATP1B1,0.9999,0.896,0.8597,0.9254,0.8159,0.8284,0.3779,0.0912,0.1006,0.0
ATP1B3,0.9999,0.907,0.8579,0.8827,0.814,0.8825,0.5386,0.1733,0.1859,0.0
ATP2A2,0.9999,0.8491,0.6386,0.1608,0.0613,0.0712,0.0319,0.0299,0.0434,0.0
ATP2A3,0.9999,0.9254,0.8022,0.2129,0.0548,0.0358,0.0276,0.0425,0.0765,0.0
ATP2B4,0.9999,0.7789,0.4968,0.3547,0.4475,0.3447,0.0709,0.0657,0.0876,0.0
ATP5A1,0.9999,0.9196,0.8763,0.8195,0.9108,1.1098,2.2059,1.6492,0.1192,0.0
ATP5B,0.9999,0.9522,0.8596,0.7678,0.7462,0.7719,1.3669,1.1933,0.1297,0.0
ATP5O,0.9999,1.0032,0.9005,0.7927,0.8049,1.1461,1.8703,0.7241,0.04,0.0
ATP6AP1,0.9999,0.9917,1.0401,1.1799,0.9808,0.8794,1.6307,2.1553,2.4161,0.0
ATP6V0A1,0.9999,0.8516,0.9828,1.0396,0.9365,0.991,1.6019,1.4178,0.339,0.0
ATP6V0A2,0.9999,0.8329,0.777,0.7708,0.6062,0.7124,1.3001,0.5641,0.1823,0.0
ATP6V0D1,0.9999,0.7664,0.6295,0.5147,0.5256,1.3831,3.8399,1.7206,0.3892,0.0
ATP6V1A,0.9999,0.8775,0.6519,0.3013,0.292,0.4594,0.2071,0.2444,0.214,0.0
ATP6V1B2,0.9999,1.0257,0.931,0.4697,0.3734,0.5038,0.1907,0.1598,0.1488,0.0
ATP6V1E1,0.9999,0.8862,0.5969,0.3066,0.1222,0.1162,0.0753,0.123,0.1684,0.0
ATP6V1G1,0.9999,0.8787,0.645,0.2941,0.1986,0.1027,0.0637,0.0,0.2551,0.0
ATP7A,0.9999,0.847,0.4369,0.1184,0.0785,0.0911,0.0492,0.0488,0.0638,0.0
ATPIF1,0.9999,1.0816,0.9194,0.8551,0.9571,0.9497,1.6049,1.5016,1.4185,0.0
ATRN,0.9999,0.8122,0.6804,0.6688,0.5643,0.5775,0.5934,0.4232,0.3156,0.0
B2M,0.9999,1.0763,1.0383,0.8455,0.7677,0.7116,1.3629,2.4012,2.9804,0.0
B4GALNT1,0.9998,1.1589,1.0851,1.1225,0.683,0.833,0.5914,0.9803,0.4901,0.0
BCAM,0.9999,0.8471,0.6527,0.5838,0.4539,0.4512,0.373,0.2644,0.2621,0.0
BCAP31,0.9999,0.98,0.8331,0.7534,0.7504,1.0415,1.4794,2.0929,2.4416,0.0
BLVRB,0.9999,0.9085,0.3711,0.0818,0.0723,0.1055,0.0467,0.0252,0.0294,0.0
BOLA2,0.9999,0.9774,0.6045,0.1915,0.1023,0.1363,0.0937,0.0973,0.1109,0.0
BSG,0.9999,0.9023,0.8737,0.9601,0.8186,0.8883,0.9002,0.5928,0.6113,0.0
BST2,0.9999,0.934,0.754,0.8702,0.769,0.7156,0.6939,0.7097,0.817,0.0
BTN2A1,0.9999,0.8757,0.7144,0.5427,0.1989,0.0687,0.036,0.0324,0.0336,0.0
C11ORF59,0.9999,0.9871,0.94,0.8247,0.9256,0.9561,0.9199,0.547,0.3755,0.0
C17ORF60,0.9999,0.8712,0.6679,0.616,0.4969,0.4834,0.4677,0.3285,0.3233,0.0
C1QBP,0.9999,0.7208,0.4742,0.1038,0.0839,0.0922,0.0648,0.0249,0.019,0.0
C20ORF3,0.9999,1.0236,0.736,0.8577,0.76,0.8755,0.637,0.3789,0.5242,0.0
C8ORF55,0.9999,0.9394,0.7821,0.4218,0.6309,1.0834,1.5753,1.3127,0.7113,0.0
CAD,0.9999,0.8087,0.3701,0.1181,0.1118,0.0904,0.058,0.0766,0.1212,0.0
CADM4,0.9999,0.9272,0.82,0.7837,0.7266,0.559,0.6035,0.5628,0.6592,0.0
CALR,0.9999,2.2875,2.5477,2.2673,2.1803,2.2123,4.0233,7.0632,8.4072,0.0
CAP1,0.9999,0.9222,0.8694,0.4725,0.0474,0.0238,0.0189,0.0221,0.0239,0.0
CAPN1,0.9999,0.9459,0.868,0.7439,0.8968,2.6062,0.5243,0.1998,0.2265,0.0
CASP3,0.9998,1.0117,1.0416,1.1498,1.2221,0.8859,0.7531,1.2371,1.3907,0.0
CAT,0.9999,0.8719,0.7288,0.7503,1.0264,0.6438,1.1605,0.8948,0.3135,0.0
CCDC126,0.9999,0.7469,0.6267,0.2511,0.1319,0.2496,0.7554,1.2533,1.5101,0.0
CCNY,0.9999,0.8475,0.5166,0.1545,0.0811,0.3481,0.2488,0.2878,0.4403,0.0
CCT3,0.9999,0.8551,0.8318,0.724,0.3576,0.149,0.1133,0.0645,0.0549,0.0
CD151,0.9999,0.8196,0.7538,0.744,0.7541,0.9211,0.9445,0.5177,0.5143,0.0
CD200R1,0.9999,0.9771,0.7811,0.8244,0.7709,0.8377,0.8894,1.0033,1.0341,0.0
CD320,0.9999,0.9164,0.7988,0.8416,0.7514,0.9882,1.5614,1.6423,1.9726,0.0
CD37,0.9999,0.7948,0.6263,0.5798,0.5859,0.7002,0.5837,0.429,0.4008,0.0
CD40,0.9999,0.8188,0.6351,0.7222,0.7032,0.7081,0.7434,0.4994,0.5149,0.0
CD44,0.9999,0.9052,0.7927,0.6998,0.6936,0.8817,0.8657,0.6364,0.7012,0.0
CD46,0.9999,0.9221,0.7723,0.845,0.7163,0.7716,0.6594,0.3697,0.3052,0.0
CD47,0.9999,0.8669,0.8081,0.9899,0.9535,0.9728,0.9451,0.7694,0.8745,0.0
CD48,0.9999,0.9009,0.7623,0.7775,0.7734,0.7239,0.5743,0.4371,0.4018,0.0
CD53,0.9999,0.8611,0.7779,0.9788,0.9954,1.1794,1.1478,0.7778,0.8207,0.0
