Accession,T37.0,T47.4,T51.0,T53.9,T56.8,T59.9,T62.5,T65.6,T69.0,RSD
ABCA7,0.9999,0.8228,0.4318,0.221,0.0733,0.2756,0.0935,0.1778,0.0595,0.0
ABCA8,0.9999,0.8119,0.6795,0.7017,0.6384,0.5174,0.1441,0.064,0.0691,0.0
ABCB1,0.9999,0.7991,0.6761,0.4,0.1469,0.212,0.0865,0.0079,0.0082,0.0
ABCB6,0.9999,0.7979,0.5537,0.4237,0.4123,0.3697,0.4028,0.3428,0.3164,0.0
ABCC1,0.9999,0.8935,0.7797,0.6239,0.4508,0.0595,0.0283,0.0249,0.0263,0.0
ABCC10,0.9999,0.7248,0.4267,1.593,0.4294,0.386,0.5868,1.355,0.4019,0.0
ABCC4,0.9999,0.8936,0.7803,0.7812,0.7137,0.6503,0.2353,0.0536,0.0597,0.0
ABCC5,0.9999,0.8548,0.7225,0.5852,0.3362,0.1195,0.0686,0.056,0.057,0.0
ACE,0.9999,0.8954,0.8367,0.767,0.5226,0.5018,0.3431,0.2618,0.2089,0.0
ACLY,0.9999,0.918,0.7169,0.2022,0.042,0.086,0.0791,0.0563,0.0551,0.0
ACOX1,0.9999,0.9541,0.6545,0.5599,0.5565,0.8351,1.8009,2.0992,1.6214,0.0
ACPP,0.9999,0.8698,0.5806,0.3342,0.1538,0.2932,0.4386,0.4936,0.4307,0.0
ACTN1,0.9999,1.0015,0.9739,0.8461,0.5237,0.4269,0.0472,0.037,0.0432,0.0
ACVR1,0.9999,0.4947,0.0855,0.0077,0.0084,0.0088,0.0203,0.0164,0.0171,0.0
ADAM10,0.9999,0.8203,0.666,0.631,0.5014,0.3921,0.2678,0.2199,0.2234,0.0
ADAM15,0.9999,0.9138,0.8315,0.7262,0.4836,0.3035,0.2359,0.1247,0.1095,0.0
ADAM17,0.9999,0.9162,0.7003,0.4642,0.3042,0.2792,0.305,0.1813,0.1025,0.0
ADAM9,0.9999,0.8718,0.7822,0.8098,0.7227,0.8517,0.6952,0.4351,0.418,0.0
ADCY3,0.9999,0.7252,0.2837,0.0744,0.0738,0.0981,0.0377,0.0328,0.031,0.0
ADCY6,0.9999,0.6735,0.3737,0.1277,0.0046,0.0306,0.0003,0.01,0.006,0.0
ADCY7,0.9999,0.7797,0.3575,0.109,0.0823,0.1788,0.0835,0.0601,0.0732,0.0
ADRM1,0.9999,0.7107,0.5527,0.211,0.064,0.01,0.01,0.01,0.01,0.0
ADSS,0.9999,0.9587,0.9141,0.9036,0.7847,0.3717,0.0662,0.0662,0.0713,0.0
AHNAK,0.9999,0.8838,0.6254,0.4826,0.4904,0.7771,0.769,0.5976,0.4365,0.0
AHSG,0.9999,0.8933,0.7292,0.8677,0.8452,1.1864,1.7026,1.7349,2.1486,0.0
AK1,0.9999,0.8319,0.5981,0.318,0.1567,0.228,0.1963,0.1356,0.1352,0.0
AKR1A1,0.9999,0.9634,0.7769,0.2203,0.0865,0.1188,0.0694,0.0344,0.0248,0.0
ALCAM,0.9999,0.7466,0.6835,0.7626,0.6639,0.7831,0.4089,0.3015,0.3425,0.0
ALS2CR4,0.9999,0.9231,0.722,0.5934,0.4953,0.879,0.6393,0.2778,0.2173,0.0
AMIGO2,0.9999,0.918,0.7748,0.5569,0.4256,0.3134,0.2466,0.1914,0.1882,0.0
ANK1,0.9999,0.4231,0.2214,0.129,0.0391,0.0739,0.0416,0.03,0.019,0.0
ANO6,0.9999,0.9358,0.8486,0.8728,0.3463,0.0531,0.0438,0.0467,0.032,0.0
ANPEP,0.9999,0.8546,0.8103,0.8121,0.7609,0.8769,0.7904,0.6449,0.5538,0.0
ANTXR2,0.9999,0.8765,0.6897,0.9264,0.9666,1.0783,0.9731,0.7368,0.7557,0.0
ANXA1,0.9999,0.7176,0.152,0.0329,0.0278,0.0321,0.0361,0.0268,0.0324,0.0
ANXA2,0.9999,0.9035,0.8456,0.3962,0.0732,0.0752,0.052,0.0547,0.0607,0.0
ANXA3,0.9999,0.904,0.7099,0.2037,0.0021,0.0302,0.0253,0.0209,0.014,0.0
ANXA5,0.9999,0.5535,0.1394,0.01,0.0134,0.0096,0.013,0.0161,0.0223,0.0
ANXA7,0.9999,0.9053,0.5923,0.1888,0.1412,0.0813,0.0954,0.0769,0.0746,0.0
AP2A1,0.9999,0.8659,0.5246,0.1985,0.0995,0.0707,0.0636,0.055,0.0465,0.0
