Accession,T40,T43,T46,T49,T52,T55,T58,T61,T64,T67,RSD
IPI00465248.5,0.9999,0.9024,0.9577,1.0004,0.8511,0.6663,0.235,0.1008,0.0604,0.0455,0
IPI00019502.3,0.9999,0.9461,0.9663,0.7161,0.5132,0.2206,0.1218,0.0975,0.0869,0.0674,0
IPI00186290.6,0.9999,0.9206,0.9783,1.0102,0.8651,0.6429,0.2544,0.1193,0.0917,0.0705,0
IPI00418471.6,0.9999,1.0313,1.0195,0.9472,0.8108,0.7417,0.6386,0.6429,0.5872,0.4674,0
IPI00298994.6,0.9999,0.943,0.9504,0.9279,0.4842,0.2868,0.1514,0.116,0.0911,0.0659,0
IPI00021812.2,0.9999,0.9642,0.8846,0.908,0.8561,0.8689,0.7885,0.9568,0.7776,0.5778,0
IPI00414676.6,0.9999,0.8982,0.9645,0.9673,0.6574,0.3798,0.2287,0.1788,0.1482,0.1068,0
IPI00296337.2,0.9999,1.2531,1.2327,0.6492,0.183,0.0918,0.0593,0.0519,0.0477,0.0469,0
IPI00307162.2,0.9999,0.9662,0.9968,1.0386,0.8718,0.9066,0.8124,0.7051,0.7783,0.4076,0
IPI00456969.1,0.9999,1.1573,0.9851,0.6578,0.3549,0.1204,0.0722,0.0608,0.05,0.0436,0
IPI00790503.3,0.9999,0.9791,1.0395,0.4431,0.6705,0.5273,0.189,0.1431,0.1222,0.0891,0
IPI00788737.1,0.9999,0.8938,0.9995,1.063,0.9498,0.8631,0.2385,0.0704,0.058,0.0456,0
IPI00479946.3,0.9999,1.006,1.0384,1.1035,0.9044,0.7389,0.6355,0.6036,0.5904,0.4859,0
IPI00784154.1,0.9999,0.8948,0.8651,0.6818,0.4844,0.2989,0.1653,0.1271,0.1043,0.0783,0
IPI00871535.1,0.9999,1.0455,0.9733,0.9794,0.9402,0.9264,0.5606,0.3933,0.2477,0.1624,0
IPI00783097.3,0.9999,0.9519,0.9853,1.0395,0.9589,0.9007,0.7339,0.6177,0.2574,0.0807,0
IPI00217966.7,0.9999,0.9408,0.9606,1.0576,0.9371,0.9175,0.8081,0.6018,0.3416,0.1449,0
IPI00219217.3,0.9999,0.95,1.0012,1.1189,0.9796,0.9852,0.8995,0.7895,0.5626,0.2367,0
IPI00742682.2,0.9999,0.9749,0.9425,0.9405,0.9109,0.889,0.7294,0.7449,0.6094,0.3933,0
IPI00871932.1,0.9999,1.0038,0.9465,0.8814,0.8434,0.7723,0.2968,0.1994,0.1485,0.0987,0
IPI00024067.4,0.9999,0.9725,0.9883,0.6884,0.2176,0.094,0.0557,0.0487,0.0435,0.0342,0
IPI00295400.1,0.9999,1.0061,1.0103,1.0882,0.9834,0.9148,0.9002,0.9214,0.9229,0.7646,0
IPI00333541.6,0.9999,1.0195,0.9129,0.924,0.6638,0.3075,0.1682,0.1518,0.1138,0.084,0
IPI00291006.2,0.9999,0.946,0.9713,1.065,0.9522,0.8862,0.6778,0.3668,0.0911,0.0628,0
IPI00216691.5,0.9999,0.9652,1.0022,1.0319,0.9461,0.7281,0.2525,0.1499,0.1279,0.1019,0
IPI00178352.5,0.9999,0.9928,0.8812,0.928,0.8575,0.7772,0.441,0.2616,0.1622,0.107,0
IPI00297779.7,0.9999,1.1213,1.2027,1.2235,1.021,0.5883,0.2497,0.1488,0.1188,0.0877,0
IPI00010471.5,0.9999,0.9794,0.9712,1.0562,0.9591,0.8554,0.8875,0.8817,0.9085,0.6233,0
IPI00796333.1,0.9999,0.9416,0.9709,1.0565,0.9393,0.8858,0.8183,0.7891,0.6142,0.1839,0
IPI00007765.5,0.9999,0.9899,0.9983,1.049,0.9202,0.6275,0.2761,0.2026,0.1609,0.1189,0
