Accession,logFC,-logPval,-logAdjPval,DMSO_1,DMSO_2,DMSO_3,DMSO_4,DMSO_5,5FU_1,5FU_2,5FU_3,5FU_4,5FU_5
F2Z2W7;Q8IZ69;Q8IZ69-2;C9K041;H7C100;H7BZZ4,1.0875,103.0827,99.2855,98475.0,133990.0,118180.0,126610.0,137730.0,289090.0,258350.0,261800.0,279260.0,227420.0
P04818;P04818-2;P04818-3,1.1091,96.8678,93.3717,140900.0,173820.0,154060.0,177610.0,202990.0,410480.0,362250.0,369670.0,397890.0,304890.0
Q8WWH5,0.8844,36.3176,32.9975,96826.0,139710.0,129770.0,140460.0,139180.0,279760.0,198250.0,239350.0,266970.0,220490.0
Q9H0K6;F8VZA0;F8VWC0;F8VW99;Q9H0K6-2,0.3647,36.1507,32.9556,41860.0,48593.0,44894.0,49292.0,55002.0,67339.0,56263.0,62900.0,69473.0,55660.0
Q3MIT2;C9JNL8;A8MUL8,0.6557,35.8188,32.7206,76597.0,105480.0,93706.0,100070.0,98822.0,168660.0,135790.0,153950.0,161090.0,135720.0
Q9NX38;X6REY2,0.6988,34.5813,31.5623,55148.0,68962.0,62138.0,74471.0,67166.0,115930.0,92134.0,114980.0,119470.0,95905.0
Q8N0T1;E5RGR5;A0A087WWE7;Q8N0T1-2,-0.6235,31.1064,28.1543,19269.0,24876.0,21780.0,23385.0,23401.0,15796.0,14008.0,13998.0,16161.0,13862.0
Q9BZE2;A0A087WY59;E9PRI9;E9PNY6,0.3566,23.6908,20.7967,105620.0,127390.0,117500.0,126710.0,146110.0,174010.0,150850.0,163780.0,173910.0,141900.0
Q96PZ0;E7EUH7;H0Y863,0.3835,20.2365,17.3935,311020.0,360890.0,315490.0,356140.0,429140.0,506840.0,427390.0,470060.0,499170.0,425120.0
Q96G46;Q96G46-2;Q96G46-3;K7EJX8;K7EM42;K7EMI3;K7EPA4;K7ER20;K7EQU9,0.2727,19.9926,17.1954,130840.0,159960.0,142110.0,155150.0,172000.0,199460.0,175980.0,183420.0,198350.0,168070.0
G8JLB3;Q9Y606-2;Q9Y606;F5H1S9;F5GXL3;F5GY32;F5H168;F8W9U5;F5H1B2,0.3262,19.2731,16.5173,160150.0,185240.0,167030.0,180340.0,200650.0,243560.0,220670.0,221660.0,236510.0,206560.0
Q9NY12-2;Q9NY12,-0.5445,18.2391,15.5211,36762.0,35254.0,32627.0,37385.0,41714.0,27424.0,22933.0,24348.0,28522.0,24274.0
