Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52
Q00535,1.5578,inf,inf,5210621.426298496,5372806.201772097,5162165.769889298,15214306.832223278,15263524.737816244,15598475.93289635
P25098,1.4113,inf,inf,7676466.785671365,7970726.359421771,8265670.310605117,21372401.3655182,20956824.32424061,20882510.823356576
O96013,1.8871,inf,inf,5739081.772844824,6039891.279455442,6221495.3661136115,21893501.770638775,23102651.75609328,21174425.626139577
P17612,1.2388,295.2643,292.0879,19974258.202212226,20694848.193958346,20320024.700137895,47852192.43077227,48603435.245936856,46606322.98920865
P36507,1.5644,288.8933,285.8137,17606585.937372927,18302262.783142824,16826514.766002703,50450752.770210266,52720782.94974613,51865039.22651726
P49840,1.1877,280.3121,277.3117,11358712.42035084,11475228.69296178,11287539.652232902,25940175.23956551,26204721.85393736,25111840.067064017
P15735,1.4017,251.0428,248.1094,3543407.3094943147,3767355.5614687195,3579143.6568544344,9564903.54862565,9780561.691847537,9254514.138530428
Q86UE8,0.9843,217.8857,215.0103,10247150.365317488,10338249.789732367,10482505.780794056,20712402.924377903,20359735.595645465,20014640.684572287
P22830,1.1821,216.3836,213.5593,34473828.00566668,35250119.43761672,33248228.302052207,76472459.0303478,78923473.16609992,76852958.89453478
P41240,1.1943,215.0871,212.3085,18659587.400740534,19492036.859532148,20194752.791402936,44907499.57204528,43553935.20607079,44223745.72640688
Q13043,1.0387,205.4704,202.7333,9746421.601880744,9909057.765648833,10338249.789732367,20468786.80689382,20320024.700137895,20447488.122777075
Q96SB4,1.0423,193.3831,190.6838,18103469.5233741,18512819.39194737,18152687.76652204,36438316.99479982,38452657.44987408,37224763.05679203
Q9UKI8,1.1523,193.017,190.3525,2016902.8872707752,2132593.7885319423,2147204.0840067477,4657447.77073629,4673319.557099267,4578915.6876751
P50750,0.9434,189.4605,186.8281,6384474.290734429,6494807.025037305,6581541.5245704185,12477379.62692181,12554377.068614114,12164475.663275557
Q9NWZ3,0.9224,180.9255,178.3231,6887838.999358365,7150708.043527325,7150708.043527325,13346970.223742204,13270282.522254266,13295530.712036882
O14965,1.1236,173.3468,170.7724,3981780.9348748024,4108971.1489101294,3937755.077850141,8514981.589873897,8998642.388652233,8537218.54059528
Q9Y6E0,0.8955,146.7211,144.173,18722453.620268922,18206617.227095872,17888641.93954833,33922604.84820476,34051749.57831658,33389020.83917226
Q96RR4,1.0263,146.2802,143.757,2643524.853824121,2595797.7314045257,2792803.1721792095,5428810.970967232,5499505.497215663,5331063.884613632
Q9NSY1,0.9489,137.9902,135.4905,12542293.677743059,12716826.381952243,13209336.897486804,25448705.204169523,24366232.273412906,23989944.596178498
P24941,0.7487,124.5236,122.0461,25126483.646400504,24873362.924821783,24563825.94914359,41727456.849485256,41906178.79873403,40902092.90417063
Q15208,0.9034,123.5173,121.061,4792213.423532451,5091428.1161248945,4838663.898283699,9054282.125231799,9209720.992418287,9106912.108845104
Q8N5S9,1.2422,123.4274,120.9913,696989.0039376465,699132.7682961546,739438.0202382093,1704892.3771046253,1733527.545186444,1582634.6190790972
Q02750,0.9361,114.1894,111.7726,33305785.690379433,32088125.54407977,33217660.66257226,61857192.079217575,65505488.73469359,60180201.440188
P49841,0.9179,109.5746,107.1763,1484929.5235275675,1520148.2011562532,1541348.9247446347,2748831.112360255,2878297.528623781,2910213.9321087734
Q05655,-0.6606,108.3188,105.9382,18827729.432835605,18827729.432835605,19312752.774078988,11925825.445714716,12048458.987310607,11844857.036141943
Q9Y2H1,0.8258,99.7316,97.3681,1019583.7750994925,1011302.4026248814,1037258.2059370644,1836687.6631918943,1791982.2294290601,1776597.1114338683
Q2M2I8,0.8681,93.1757,90.8286,3008559.378174407,3159454.5247164266,3298660.427108223,5802004.645558685,5733961.471656002,5636141.494217388
P23443,0.6965,85.1728,82.8414,3392836.17567115,3395975.5234402893,3356626.097254752,5564949.095018196,5463858.30566108,5313510.953249813
P45983,0.6325,82.4032,80.0871,7006827.215843857,6978604.300423112,7274980.548801201,10808094.214042963,11039568.826888775,10909201.41272125
Q05397,0.6123,79.5657,77.2643,21092335.440129925,20932784.10371212,21658570.948284578,32722958.200367704,32468042.245757032,31564522.264649317
O75116,0.6041,79.0917,76.8045,41242473.0843282,42452180.7350482,43333508.6971311,63893248.22980471,64570060.81084667,63436318.43473126
O14976,0.5517,78.3958,76.1224,14145574.648064353,14062215.666459592,14131775.501817405,20370876.48795537,20744137.23721106,20570200.78160346
Q00536,0.7347,66.9321,64.6721,4278715.043524026,4296122.230915034,4419803.623761869,7374303.53499256,7318657.850377621,6799502.5861983895
P49006,0.5741,66.7878,64.5407,55166739.11321122,57515292.762735955,56467029.37365853,82073826.9917845,84564580.63830283,83649041.30749568
Q8IW41,0.6667,65.6604,63.426,1613582.4196718743,1690655.6110848845,1690655.6110848845,2643524.853824121,2593262.647314337,2643524.853824121
O00506,0.7384,63.3814,61.1592,1099761.068050148,1077932.553155023,1078528.1341438359,1742983.7760112246,1804162.829420804,1852335.607331222
Q13627,0.557,58.3294,56.1191,8591366.935719037,8537218.54059528,8614064.108967558,12538137.755865104,12895726.26753648,12209800.228718454
O14733,0.8813,57.5601,55.3614,1960155.9377136219,2160698.433379066,2260517.8669957505,4000870.717213265,3810399.9917100375,3869910.4714180497
P51812,0.6179,53.8178,51.6303,15878581.604827004,17146546.31606492,16920660.97451785,24942177.587736074,25508426.278383594,25725835.560397778
P13861,-0.5589,52.081,49.9045,19281072.27012299,19685022.694964167,19392616.328101195,12668724.816078251,13442303.345150476,13262854.616256224
Q13188,0.6198,52.0019,49.8362,4580810.875682728,4490689.087427073,4801438.206944252,7282247.432006147,7016436.735893976,6887838.999358365
P49137,0.4594,50.6018,48.4465,6139997.340390325,6207269.311304743,6230155.924901676,8374896.9612391265,8486890.012417817,8525778.89092561
O96017,0.6236,50.0115,47.8664,6907580.933641982,7347221.611118432,7585429.39499363,11197565.58185394,10992244.167511608,11250136.030190108
O15530,0.5976,49.8541,47.719,3190697.860399465,3322477.5026514037,3390594.8193819104,4823177.587950067,5069311.334958636,5001543.134447904
Q13523,0.4756,49.2418,47.1165,40839282.383093014,41009108.63175528,42582377.907940984,58139225.6211507,56779346.94398754,57037396.30343333
Q14012,0.9071,47.7408,45.6251,341430.3900556046,315873.2563900867,315873.2563900867,592333.8917269588,602826.8789730794,618851.5749019969
P53778,0.5274,45.2206,43.1142,3453678.28649993,3528334.0111810155,3543407.3094943147,5016238.142300085,5175734.168050356,4886618.274405093
P33981,0.434,44.8038,42.7065,5732145.064707778,5846492.888580106,5785400.483609779,7802582.847359942,7782823.989989885,7731060.943671033
Q6ZSR9,0.5102,44.576,42.4877,3862756.378667463,3727749.150371444,3832444.3969298187,5484320.260385949,5421959.364139643,5264008.4709006
P51817,0.8282,42.7849,40.7054,274067.1880134909,281027.8083598651,286515.83108751697,476161.0244745994,500836.4162054631,508061.18381507567
Q13555,0.9343,42.6424,40.5715,7552236.745753692,8942121.079865811,9071091.775835942,15129346.530877197,16807025.68824376,16610701.195784304
P49336,0.4651,39.7561,37.6936,3560341.67956749,3511880.733838507,3639561.772235616,4989698.93784252,4904781.202543861,4801438.206944252
Q96GX5,0.5383,35.5283,33.4741,2142793.4046514262,2203233.545591571,2324287.207485206,3159454.5247164266,3281788.0804652497,3186046.075286681
P53350,-0.5051,34.0893,32.0432,11212559.22713622,11575765.455025539,12028946.496306801,7834624.120940954,8300625.297064841,8246388.558728264
Q9HBH9,0.856,32.4629,30.4247,279855.2137357328,271241.2081313585,310235.05773076747,499785.93983645644,531783.5372772452,517667.6970786314
O14757,0.3985,30.9852,28.9549,13252598.704850823,12885450.663720053,13657962.764121769,17244028.305756506,17444759.471635435,17444759.471635435
Q04759,-0.5304,30.9073,28.8846,2300628.4860610776,2252560.5558116618,2280828.704001558,1492712.5775646146,1602364.685060648,1607761.4797733296
Q15418,0.4767,29.1347,27.1196,23271357.582632724,25034082.5732552,23568486.172069248,32241276.979552966,33248228.302052207,33922604.84820476
Q9BUB5,0.5126,27.8922,25.8845,1746347.216695468,1777702.4045403467,1918419.6227271205,2620264.209662935,2547906.119222018,2547906.119222018
P05771,-0.4921,27.1899,25.1895,39926539.20091039,42035205.78208103,42246200.80282797,27675421.42701238,29794827.106234603,30299332.596263167
