Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,V_log2.i._TMT_7_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52,D_log2.i._TMT_8_iTSA52
Q00535,1.5548,inf,inf,5210621.426298496,5372806.201772097,5162165.769889298,5108169.050792675,15214306.832223278,15263524.737816244,15598475.93289635,14826985.243069362
P17612,1.2289,inf,inf,19974258.202212226,20694848.193958346,20320024.700137895,20833239.133904334,47852192.43077227,48603435.245936856,46606322.98920865,47580776.81675338
P36507,1.5784,inf,inf,17606585.937372927,18302262.783142824,16826514.766002703,16568248.828398677,50450752.770210266,52720782.94974613,51865039.22651726,50728163.28655685
Q86UE8,0.9711,inf,inf,10247150.365317488,10338249.789732367,10482505.780794056,10536417.922983227,20712402.924377903,20359735.595645465,20014640.684572287,19987759.382647447
P25098,1.3881,inf,inf,7676466.785671365,7970726.359421771,8265670.310605117,8152615.813973707,21372401.3655182,20956824.32424061,20882510.823356576,20210349.712324496
O96013,1.8505,inf,inf,5739081.772844824,6039891.279455442,6221495.3661136115,6134034.201592861,21893501.770638775,23102651.75609328,21174425.626139577,20338609.8761663
Q9NWZ3,0.9219,295.4367,292.5032,6887838.999358365,7150708.043527325,7150708.043527325,6974296.411073125,13346970.223742204,13270282.522254266,13295530.712036882,13127363.148510516
Q96SB4,1.0436,288.7964,285.9209,18103469.5233741,18512819.39194737,18152687.76652204,17917505.72876539,36438316.99479982,38452657.44987408,37224763.05679203,36826761.290578924
P49840,1.1804,274.9548,272.1305,11358712.42035084,11475228.69296178,11287539.652232902,10997402.919470506,25940175.23956551,26204721.85393736,25111840.067064017,24394870.010321446
Q13043,1.0178,244.4085,241.63,9746421.601880744,9909057.765648833,10338249.789732367,10121344.487251064,20468786.80689382,20320024.700137895,20447488.122777075,19503870.95639422
P41240,1.1748,240.9389,238.2018,18659587.400740534,19492036.859532148,20194752.791402936,20664667.288531877,44907499.57204528,43553935.20607079,44223745.72640688,44610946.43907088
P15735,1.3723,215.9726,213.2733,3543407.3094943147,3767355.5614687195,3579143.6568544344,3586345.350757766,9564903.54862565,9780561.691847537,9254514.138530428,8656675.862158673
P22830,1.1843,215.8979,213.2334,34473828.00566668,35250119.43761672,33248228.302052207,32468042.245757032,76472459.0303478,78923473.16609992,76852958.89453478,73734966.05177979
Q9UKI8,1.1185,202.9061,200.2737,2016902.8872707752,2132593.7885319423,2147204.0840067477,2222277.87067043,4657447.77073629,4673319.557099267,4578915.6876751,4475324.768489245
O14965,1.1228,186.2535,183.6511,3981780.9348748024,4108971.1489101294,3937755.077850141,3819077.0870706295,8514981.589873897,8998642.388652233,8537218.54059528,8257761.381868755
