Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52
O96013,1.8867,258.1653,254.3868,5739081.772844824,6039891.279455442,6221495.3661136115,21893501.770638775,23102651.75609328,21174425.626139577
P36507,1.5641,228.841,225.3635,17606585.937372927,18302262.783142824,16826514.766002703,50450752.770210266,52720782.94974613,51865039.22651726
Q00535,1.5575,199.9834,196.6821,5210621.426298496,5372806.201772097,5162165.769889298,15214306.832223278,15263524.737816244,15598475.93289635
P17612,1.2385,171.2793,168.1028,19974258.202212226,20694848.193958346,20320024.700137895,47852192.43077227,48603435.245936856,46606322.98920865
P25098,1.411,169.5698,166.5217,7676466.785671365,7970726.359421771,8265670.310605117,21372401.3655182,20956824.32424061,20882510.823356576
P22830,1.1817,169.5221,166.5217,34473828.00566668,35250119.43761672,33248228.302052207,76472459.0303478,78923473.16609992,76852958.89453478
P15735,1.4014,142.8814,139.948,3543407.3094943147,3767355.5614687195,3579143.6568544344,9564903.54862565,9780561.691847537,9254514.138530428
P41240,1.194,138.5744,135.699,18659587.400740534,19492036.859532148,20194752.791402936,44907499.57204528,43553935.20607079,44223745.72640688
P49840,1.1874,133.2298,130.4055,11358712.42035084,11475228.69296178,11287539.652232902,25940175.23956551,26204721.85393736,25111840.067064017
Q96SB4,1.042,111.3531,108.5746,18103469.5233741,18512819.39194737,18152687.76652204,36438316.99479982,38452657.44987408,37224763.05679203
Q9UKI8,1.152,98.728,95.9909,2016902.8872707752,2132593.7885319423,2147204.0840067477,4657447.77073629,4673319.557099267,4578915.6876751
Q13043,1.0383,97.8943,95.1949,9746421.601880744,9909057.765648833,10338249.789732367,20468786.80689382,20320024.700137895,20447488.122777075
O14965,1.1232,97.8233,95.1588,3981780.9348748024,4108971.1489101294,3937755.077850141,8514981.589873897,8998642.388652233,8537218.54059528
Q02750,0.9358,94.7232,92.0908,33305785.690379433,32088125.54407977,33217660.66257226,61857192.079217575,65505488.73469359,60180201.440188
Q86UE8,0.9839,90.3373,87.7349,10247150.365317488,10338249.789732367,10482505.780794056,20712402.924377903,20359735.595645465,20014640.684572287
Q9NSY1,0.9486,80.1044,77.53,12542293.677743059,12716826.381952243,13209336.897486804,25448705.204169523,24366232.273412906,23989944.596178498
Q9Y6E0,0.8951,79.5535,77.0054,18722453.620268922,18206617.227095872,17888641.93954833,33922604.84820476,34051749.57831658,33389020.83917226
Q96RR4,1.026,78.6822,76.159,2643524.853824121,2595797.7314045257,2792803.1721792095,5428810.970967232,5499505.497215663,5331063.884613632
P50750,0.9431,78.3695,75.8697,6384474.290734429,6494807.025037305,6581541.5245704185,12477379.62692181,12554377.068614114,12164475.663275557
Q9NWZ3,0.9221,74.6846,72.2071,6887838.999358365,7150708.043527325,7150708.043527325,13346970.223742204,13270282.522254266,13295530.712036882
Q15208,0.9031,65.255,62.7987,4792213.423532451,5091428.1161248945,4838663.898283699,9054282.125231799,9209720.992418287,9106912.108845104
Q8N5S9,1.2419,64.6733,62.2372,696989.0039376465,699132.7682961546,739438.0202382093,1704892.3771046253,1733527.545186444,1582634.6190790972
P24941,0.7484,64.2948,61.878,25126483.646400504,24873362.924821783,24563825.94914359,41727456.849485256,41906178.79873403,40902092.90417063
Q2M2I8,0.8678,56.0332,53.6349,3008559.378174407,3159454.5247164266,3298660.427108223,5802004.645558685,5733961.471656002,5636141.494217388
P49841,0.9176,52.2818,49.9012,1484929.5235275675,1520148.2011562532,1541348.9247446347,2748831.112360255,2878297.528623781,2910213.9321087734
P49006,0.5738,49.9945,47.631,55166739.11321122,57515292.762735955,56467029.37365853,82073826.9917845,84564580.63830283,83649041.30749568
O75116,0.6038,49.3285,46.9813,41242473.0843282,42452180.7350482,43333508.6971311,63893248.22980471,64570060.81084667,63436318.43473126
O14733,0.8811,43.819,41.4876,1960155.9377136219,2160698.433379066,2260517.8669957505,4000870.717213265,3810399.9917100375,3869910.4714180497
Q05655,-0.6609,42.4467,40.1306,18827729.432835605,18827729.432835605,19312752.774078988,11925825.445714716,12048458.987310607,11844857.036141943
Q13555,0.934,40.9825,38.6811,7552236.745753692,8942121.079865811,9071091.775835942,15129346.530877197,16807025.68824376,16610701.195784304
P23443,0.6962,39.5999,37.3127,3392836.17567115,3395975.5234402893,3356626.097254752,5564949.095018196,5463858.30566108,5313510.953249813
Q05397,0.6119,39.3392,37.0658,21092335.440129925,20932784.10371212,21658570.948284578,32722958.200367704,32468042.245757032,31564522.264649317
Q00536,0.7344,38.9578,36.6978,4278715.043524026,4296122.230915034,4419803.623761869,7374303.53499256,7318657.850377621,6799502.5861983895
P51812,0.6176,36.0892,33.8421,15878581.604827004,17146546.31606492,16920660.97451785,24942177.587736074,25508426.278383594,25725835.560397778
Q9Y2H1,0.8255,35.3544,33.12,1019583.7750994925,1011302.4026248814,1037258.2059370644,1836687.6631918943,1791982.2294290601,1776597.1114338683
P45983,0.6321,35.2011,32.9789,7006827.215843857,6978604.300423112,7274980.548801201,10808094.214042963,11039568.826888775,10909201.41272125
Q14012,0.9067,31.5028,29.2925,341430.3900556046,315873.2563900867,315873.2563900867,592333.8917269588,602826.8789730794,618851.5749019969
O96017,0.6233,31.4008,29.202,6907580.933641982,7347221.611118432,7585429.39499363,11197565.58185394,10992244.167511608,11250136.030190108
O14976,0.5513,31.0457,28.8582,14145574.648064353,14062215.666459592,14131775.501817405,20370876.48795537,20744137.23721106,20570200.78160346
Q13523,0.4753,30.7864,28.61,40839282.383093014,41009108.63175528,42582377.907940984,58139225.6211507,56779346.94398754,57037396.30343333
P13861,-0.5593,29.8926,27.7269,19281072.27012299,19685022.694964167,19392616.328101195,12668724.816078251,13442303.345150476,13262854.616256224
Q13188,0.6195,28.8271,26.6718,4580810.875682728,4490689.087427073,4801438.206944252,7282247.432006147,7016436.735893976,6887838.999358365
Q8IW41,0.6664,28.6713,26.5262,1613582.4196718743,1690655.6110848845,1690655.6110848845,2643524.853824121,2593262.647314337,2643524.853824121
O15530,0.5972,27.8892,25.7542,3190697.860399465,3322477.5026514037,3390594.8193819104,4823177.587950067,5069311.334958636,5001543.134447904
P51817,0.8278,27.7572,25.6319,274067.1880134909,281027.8083598651,286515.83108751697,476161.0244745994,500836.4162054631,508061.18381507567
O00506,0.738,27.7059,25.5901,1099761.068050148,1077932.553155023,1078528.1341438359,1742983.7760112246,1804162.829420804,1852335.607331222
Q13627,0.5567,27.5514,25.445,8591366.935719037,8537218.54059528,8614064.108967558,12538137.755865104,12895726.26753648,12209800.228718454
Q9HBH9,0.8556,26.2261,24.1288,279855.2137357328,271241.2081313585,310235.05773076747,499785.93983645644,531783.5372772452,517667.6970786314
P55263,0.4614,25.3384,23.2501,57242071.259090625,56779346.94398754,61921963.79101732,82743248.32192492,79253589.91135667,78800011.25755449
P05771,-0.4924,23.8351,21.7556,39926539.20091039,42035205.78208103,42246200.80282797,27675421.42701238,29794827.106234603,30299332.596263167
P53778,0.5271,22.6516,20.5806,3453678.28649993,3528334.0111810155,3543407.3094943147,5016238.142300085,5175734.168050356,4886618.274405093
Q15418,0.4764,21.9544,19.8919,23271357.582632724,25034082.5732552,23568486.172069248,32241276.979552966,33248228.302052207,33922604.84820476
Q6ZSR9,0.5098,21.5292,19.475,3862756.378667463,3727749.150371444,3832444.3969298187,5484320.260385949,5421959.364139643,5264008.4709006
P53350,-0.5054,20.7194,18.6733,11212559.22713622,11575765.455025539,12028946.496306801,7834624.120940954,8300625.297064841,8246388.558728264
Q96GX5,0.538,19.8275,17.7893,2142793.4046514262,2203233.545591571,2324287.207485206,3159454.5247164266,3281788.0804652497,3186046.075286681
P49137,0.459,18.8035,16.7731,6139997.340390325,6207269.311304743,6230155.924901676,8374896.9612391265,8486890.012417817,8525778.89092561
P49336,0.4647,18.0192,15.9965,3560341.67956749,3511880.733838507,3639561.772235616,4989698.93784252,4904781.202543861,4801438.206944252
O94804,0.6628,17.5315,15.5164,669906.0288607262,630077.8203357245,647912.9374066701,975772.0406951148,1099761.068050148,990776.4076488158
Q13464,0.3997,17.4973,15.4896,31564522.264649317,31809292.320827316,34430877.16851065,43052557.30804759,42362150.98982689,42840699.47869114
P33981,0.4337,17.2286,15.2283,5732145.064707778,5846492.888580106,5785400.483609779,7802582.847359942,7782823.989989885,7731060.943671033
Q04759,-0.5308,16.6926,14.6994,2300628.4860610776,2252560.5558116618,2280828.704001558,1492712.5775646146,1602364.685060648,1607761.4797733296
Q9BUB5,0.5123,15.8761,13.89,1746347.216695468,1777702.4045403467,1918419.6227271205,2620264.209662935,2547906.119222018,2547906.119222018
O14757,0.3981,15.3504,13.3712,13252598.704850823,12885450.663720053,13657962.764121769,17244028.305756506,17444759.471635435,17444759.471635435
Q9H2G2,0.3205,15.0944,13.1221,47256722.54675127,48603435.245936856,48093516.793167196,59805849.79510685,59173116.728098065,59728457.1452472
P41743,-0.4363,14.7027,12.7371,16320455.077416252,16082955.351151764,17856985.019208353,12524839.671168158,11870548.145820837,12524839.671168158
Q8IYA2,0.4325,12.8185,10.8595,2220171.110601416,2214666.00365634,2201269.9827845544,3102114.355938381,2932166.2417868073,2869426.560165147
P31323,-0.3682,12.5122,10.5598,10511604.831635237,10582886.992776148,10271943.52578822,7866270.026281688,8141450.326965435,8152615.813973707
Q9UHD2,0.4381,12.4808,10.5348,3211277.0345150265,3676113.95904703,3507999.034410952,4745397.435783636,4732057.160419113,4522438.364270705
P45984,0.3747,12.3768,10.4372,4118954.331842574,4070128.1260241116,4263947.694183955,5425866.233782203,5380494.907993498,5244188.089823408
P19784,0.3868,12.3003,10.3669,9787585.333609547,9796017.428589625,9796017.428589625,12095745.129076913,12668724.816078251,13425520.63033021
P11802,0.3679,11.101,9.1738,4966732.682385237,5132944.2125004325,5372806.201772097,6554773.4166326765,6575587.782662687,6716710.419366168
Q9UBF8,0.369,10.9931,9.0719,8670353.11381301,8551772.420866627,9276740.984978188,11683031.614118727,11276999.566753943,11057575.139333228
Q13131,0.2929,10.7744,8.8592,30547332.741913106,30398874.838079274,32018203.353897594,37702917.24876825,37908822.51760179,37607466.39805735
Q96C03,0.3522,10.604,8.6947,16074123.547693241,16633860.013212204,15115083.048914026,19658066.986014385,20570200.78160346,20468786.80689382
Q9H2K8,0.2989,10.175,8.2715,26132658.98793571,25743671.212499715,27368494.678360716,32292288.94431401,32241276.979552966,32378137.19613281
Q96S38,0.3288,9.0243,7.1266,3854432.172306922,3817928.6472863294,4070128.1260241116,4964466.403501864,4932394.799144114,4763557.424627851
Q9BUL8,0.3005,8.8146,6.9225,20495946.22748912,20135356.501552746,20150536.574636027,25637011.297945116,23828890.106958285,24952639.38422463
Q9NVS9,0.3448,7.6511,5.7646,9279886.245677538,9154066.678908877,8293408.357590518,11371886.979033552,10682480.44290799,11695677.338901715
Q10713,0.3809,7.2406,5.3597,20022947.534309763,21122344.18573748,25145957.619043324,29296199.400588147,27443063.606909372,29037942.536521707
Q9NYV4,0.2273,7.1795,5.3041,38098893.167788096,37908822.51760179,38284369.1770208,43144325.27429217,44610946.43907088,45255581.84265013
