Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA56,V_log2.i._TMT_3_iTSA56,V_log2.i._TMT_5_iTSA56,V_log2.i._TMT_7_iTSA56,V_log2.i._TMT_9_iTSA56,D_log2.i._TMT_2_iTSA56,D_log2.i._TMT_4_iTSA56,D_log2.i._TMT_6_iTSA56,D_log2.i._TMT_8_iTSA56,D_log2.i._TMT_10_iTSA56
Q02750,2.2816,inf,inf,28594742.93360552,27980330.931725986,28446932.777772427,26234006.329685785,27870445.541568585,129944025.23532805,140680815.28269687,133958967.44375443,135117734.21066502,129214541.87910865
P17612,2.6492,inf,inf,16458221.743985837,16765434.066368625,17174270.450428862,17313262.55933901,14799328.385445092,96582926.32582574,106087519.37228991,98333369.26345454,104083237.36521499,106755943.39836338
Q13555,2.0712,246.3357,243.063,5356444.589933513,6069108.744679895,6047221.529839942,6112506.993415064,5360384.358319856,23659894.419738635,24411738.5747422,23854293.956013206,23921051.63549183,24411738.5747422
P15735,2.1295,227.4591,224.3113,4021746.0054067704,4445749.130367871,4378111.086393083,4722700.250659702,3947489.095143076,19164673.313932076,19541371.367273767,17959088.832999706,18019727.017389797,18380356.714044157
P49841,1.9361,182.3077,179.2569,1939541.8702515194,2155102.1607984966,1943130.0899819667,2033185.7164107617,2049508.3967924933,7042934.671328031,8269388.447958759,7910545.918602958,7444911.353110422,7621774.478246573
Q8N5S9,1.8313,177.0411,174.0695,1777392.9744023343,1909209.4079942629,1894118.4593502244,1929743.3693678107,1852683.4725028318,6692237.939576607,6815021.227106099,6374839.946867036,6277218.121282409,6780972.438492182
P53778,1.9706,173.7457,170.841,1081810.1365279187,1115798.3867973944,1179917.50082235,1193300.623008337,1079292.1684537684,4179341.130685759,4544577.576878964,4278907.91249666,4393004.845337096,4504717.581625458
Q13188,1.599,153.9545,151.1078,8713463.158257239,9595915.746870873,10151902.33979967,9941229.292369612,9652218.473618675,29740449.359871466,28995201.53177993,28026462.82811231,27980330.931725986,29188577.757244114
Q00536,1.5504,145.5072,142.7116,5159685.49789229,5217860.16217759,5390366.810575743,5560586.392790406,4861088.401929972,14949315.686982824,15361027.761381071,14992766.068811717,15031880.739297379,15525339.057682345
Q05397,1.6034,142.0519,139.3021,21283067.002261173,20491704.117537986,23457865.849650472,24488988.841758016,21938248.909804884,68061952.36581875,67477304.59406465,65747643.90738627,66170264.01334798,68177094.8906527
P22830,1.3568,141.8521,139.1436,37096977.97972821,36654529.21187173,38486483.96121742,38099575.82433282,35462712.631067984,93809401.50703032,95874972.96411058,90903341.41305837,92301892.97994679,97698699.34168768
Q86UE8,1.4179,139.1868,136.5162,7583881.545869207,8236508.156447816,8211228.5440455405,8185016.81586963,7583881.545869207,20331358.91486454,20867470.563618574,21378187.10131867,20945009.31449827,21640779.04805672
O14757,1.4067,138.6937,136.0579,16527488.671199042,17749118.62340583,16327607.261103442,17205365.80624271,16011964.206269912,41113436.78523883,45310646.19134608,46082981.045671634,43870709.71972958,43373727.90035072
P24941,1.4633,136.9182,134.3146,24198820.9441853,28899091.025592428,24980855.519696094,25881407.118221253,25484112.93133569,73794605.95478083,72064096.06862867,70353792.99438734,67412015.307268,69057048.07408485
P49840,1.3762,132.3632,129.7895,9963826.020081688,10525543.683533024,10392984.217047004,10045990.638927935,10537829.524077905,26810558.36761924,26751776.246435434,25717926.41590647,25047558.527670465,27751869.964444976
Q13627,1.3172,125.2082,122.6625,10708037.1237609,11659128.113844302,11097809.977911256,10988511.524691984,11122433.831423294,26575535.928714536,28576251.55904697,27174721.046298422,26315410.606856413,28263162.912537593
Q9NSY1,1.3818,124.5888,122.0694,17545444.476215053,18136787.454287983,18980002.150066998,20058802.714195587,17577036.91599352,46905040.50369398,47699321.53496758,47790410.03600498,46822474.33705099,48665876.38998427
P55263,1.4223,121.3742,118.8797,33835608.30211004,34730136.85693169,35883544.802280426,35580258.341761455,31211284.353196934,81034791.93213102,90579019.70121536,95567780.00140812,96240275.05778494,90579019.70121536
Q96RR4,1.4202,106.9887,104.5177,2325358.334525051,2608789.7732371953,2561661.6265630336,2530927.569358944,2574465.845719053,6741692.946805123,6984901.4978689365,6562370.420273966,6374839.946867036,6672385.949296236
O14965,1.3406,102.1841,99.7353,5275115.164829969,5099596.926803597,5333897.534691572,5258977.81446774,5323235.899069921,13108454.821666311,13627086.234922329,12299742.442897126,12595022.556351243,14214823.796097776
P45984,1.2544,72.3614,69.9338,3861005.5301783495,4144360.7251856183,3896446.8593806247,4605591.103890628,3739898.511532975,8898178.012733275,9492784.818620993,9875695.749971354,9811860.079236034,9699086.67446842
Q13523,1.0443,68.8414,66.434,22095402.86234162,22651309.329415444,23091048.859130323,23549878.812976282,20116710.666818567,44034399.00836915,43311738.90670389,45348172.29492941,47595478.15818052,47139965.92657851
Q8IYA2,1.3386,66.5229,64.1348,2079299.0003355998,1841705.6360637487,2005831.3655854426,2015720.4192486128,2201146.457152049,4698493.623161105,5498947.110558937,4698493.623161105,5142837.719571085,5340249.809151465
P49336,1.1811,63.5516,61.182,1799075.3861190963,1927365.0252000731,1897763.4819954268,1748422.5504741406,1837922.4708785145,4320809.455887042,4193303.00104484,3874417.9732795097,3912178.590556184,4341243.33499881
O15530,1.0496,60.3131,57.9612,3585449.606549869,3724276.0724065998,3739898.511532975,3700018.20885258,3376486.4564466216,6974319.131915427,7683079.759778191,7583881.545869207,7385611.936084307,7477187.032325696
P22612,1.7249,57.7983,55.4635,99610.69780154966,105521.71998503887,99610.69780154966,99610.69780154966,105521.71998503887,242701.384018473,384536.47095530893,367346.6213464483,341751.5060422238,331136.1471985493
P78362,1.2158,55.3726,53.0582,4014467.5469443244,5142837.719571085,4046566.9101264337,4110924.256748372,3827875.189892271,8806382.575915838,9894665.324862368,10306332.811559148,9882969.242312223,9633458.091703167
Q13043,1.3995,55.3609,53.0582,17959088.832999706,19723115.435477305,21361791.98149536,24798795.78331024,16327607.261103442,51088939.75089208,49989361.00747682,51830160.662874565,54530026.84862225,53966549.80713455
Q13131,0.8506,52.8845,50.5971,20959923.85571535,21378187.10131867,21470732.268823892,21077686.810168825,19256646.66956813,34999437.25952463,37059834.68305195,37947441.935126826,37844716.6610771,37868804.21225948
O96017,0.996,49.4969,47.2242,6876541.237614428,7761334.8601654945,7165510.048457078,7088415.245417515,8194655.559026394,13334987.89983671,15626092.24333179,15094456.024361473,13881597.522847282,15202307.44043118
Q2M2I8,1.1716,44.4878,42.2293,7621774.478246573,11244873.221596463,8053803.988063749,8713463.158257239,8203276.806206506,18804027.764190994,20075411.71979876,19541371.367273767,19191603.086644944,19898338.833911102
