Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,V_log2.i._TMT_7_iTSA52,V_log2.i._TMT_9_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52,D_log2.i._TMT_8_iTSA52,D_log2.i._TMT_10_iTSA52
Q00535,1.5593,14.8587,11.0802,5210621.426298496,5372806.201772097,5162165.769889298,5108169.050792675,5132944.2125004325,15214306.832223278,15263524.737816244,15598475.93289635,14826985.243069362,15685674.477331229
P36507,1.5604,13.7301,10.3455,17606585.937372927,18302262.783142824,16826514.766002703,16568248.828398677,17693639.763958253,50450752.770210266,52720782.94974613,51865039.22651726,50728163.28655685,50691861.585280694
P25098,1.3862,13.6469,10.3455,7676466.785671365,7970726.359421771,8265670.310605117,8152615.813973707,7735357.560908366,21372401.3655182,20956824.32424061,20882510.823356576,20210349.712324496,20590745.08972247
Q96SB4,1.0379,13.4646,10.2881,18103469.5233741,18512819.39194737,18152687.76652204,17917505.72876539,18000122.137247335,36438316.99479982,38452657.44987408,37224763.05679203,36826761.290578924,37278225.7230202
P17612,1.2214,12.8271,9.7857,19974258.202212226,20694848.193958346,20320024.700137895,20833239.133904334,19326413.923229218,47852192.43077227,48603435.245936856,46606322.98920865,47580776.81675338,45196627.83603902
Q9NWZ3,0.9143,12.7861,9.7857,6887838.999358365,7150708.043527325,7150708.043527325,6974296.411073125,6835008.588647997,13346970.223742204,13270282.522254266,13295530.712036882,13127363.148510516,12914091.962346286
P49840,1.151,12.6837,9.7503,11358712.42035084,11475228.69296178,11287539.652232902,10997402.919470506,11612148.008463202,25940175.23956551,26204721.85393736,25111840.067064017,24394870.010321446,24366232.273412906
Q86UE8,0.9762,12.6058,9.7304,10247150.365317488,10338249.789732367,10482505.780794056,10536417.922983227,9844246.20886616,20712402.924377903,20359735.595645465,20014640.684572287,19987759.382647447,20117012.69268797
P22830,1.1722,12.5383,9.714,34473828.00566668,35250119.43761672,33248228.302052207,32468042.245757032,33333446.816097137,76472459.0303478,78923473.16609992,76852958.89453478,73734966.05177979,74320485.99475193
Q9Y6E0,0.8897,12.2957,9.5964,18722453.620268922,18206617.227095872,17888641.93954833,17453544.430619325,18152687.76652204,33922604.84820476,34051749.57831658,33389020.83917226,33152051.419512253,32985232.999470215
Q13043,0.9975,12.3224,9.5964,9746421.601880744,9909057.765648833,10338249.789732367,10121344.487251064,9999425.368305888,20468786.80689382,20320024.700137895,20447488.122777075,19503870.95639422,19326413.923229218
P15735,1.349,12.3672,9.5964,3543407.3094943147,3767355.5614687195,3579143.6568544344,3586345.350757766,3686532.385099714,9564903.54862565,9780561.691847537,9254514.138530428,8656675.862158673,9042167.486383604
O14965,1.1073,12.0454,9.3808,3981780.9348748024,4108971.1489101294,3937755.077850141,3819077.0870706295,3885861.4445657805,8514981.589873897,8998642.388652233,8537218.54059528,8257761.381868755,8216090.82853035
Q9UKI8,1.1218,11.7918,9.1594,2016902.8872707752,2132593.7885319423,2147204.0840067477,2222277.87067043,1993927.924236303,4657447.77073629,4673319.557099267,4578915.6876751,4475324.768489245,4478531.770634866
O96013,1.7807,11.658,9.0556,5739081.772844824,6039891.279455442,6221495.3661136115,6134034.201592861,6949212.610511182,21893501.770638775,23102651.75609328,21174425.626139577,20338609.8761663,20210349.712324496
Q9Y2H1,0.8355,11.6175,9.0431,1019583.7750994925,1011302.4026248814,1037258.2059370644,1039533.1105062966,969289.8912937839,1836687.6631918943,1791982.2294290601,1776597.1114338683,1794608.3148720663,1858496.988771415
P24941,0.7169,11.4012,8.8531,25126483.646400504,24873362.924821783,24563825.94914359,24436246.280410457,25353451.033458307,41727456.849485256,41906178.79873403,40902092.90417063,40149635.37611581,39735764.6163691
P41240,1.2008,11.2628,8.7395,18659587.400740534,19492036.859532148,20194752.791402936,20664667.288531877,17729716.478005815,44907499.57204528,43553935.20607079,44223745.72640688,44610946.43907088,44756617.42655639
Q05655,-0.66,11.0574,8.5576,18827729.432835605,18827729.432835605,19312752.774078988,18950739.488502767,19648154.30293573,11925825.445714716,12048458.987310607,11844857.036141943,12209800.228718454,12454456.764178235
Q02750,0.9005,10.9582,8.4807,33305785.690379433,32088125.54407977,33217660.66257226,32208877.344555933,32920163.60903173,61857192.079217575,65505488.73469359,60180201.440188,59971327.40616421,58340495.35203148
P45983,0.6334,10.8788,8.4427,7006827.215843857,6978604.300423112,7274980.548801201,6799502.5861983895,7061725.589265309,10808094.214042963,11039568.826888775,10909201.41272125,10997402.919470506,10718401.810415573
O14976,0.535,10.893,8.4427,14145574.648064353,14062215.666459592,14131775.501817405,13905496.772936018,14085378.047847265,20370876.48795537,20744137.23721106,20570200.78160346,20313229.23195285,19911603.75497965
Q8IW41,0.6499,10.5996,8.1923,1613582.4196718743,1690655.6110848845,1690655.6110848845,1696169.8215992984,1655057.6843183339,2643524.853824121,2593262.647314337,2643524.853824121,2525474.2302216566,2690789.308020504
Q96RR4,0.9585,10.5906,8.1923,2643524.853824121,2595797.7314045257,2792803.1721792095,2680669.370679207,2788566.4512772406,5428810.970967232,5499505.497215663,5331063.884613632,5041725.565713911,4947039.197658816
O75116,0.6095,10.5695,8.1889,41242473.0843282,42452180.7350482,43333508.6971311,43211034.06267022,41090121.76629811,63893248.22980471,64570060.81084667,63436318.43473126,65838143.5220482,64647511.00104611
P49006,0.5564,10.5051,8.1415,55166739.11321122,57515292.762735955,56467029.37365853,57873148.97861893,56055539.35358477,82073826.9917845,84564580.63830283,83649041.30749568,84119940.2767017,81857666.21846065
Q9NSY1,0.9119,10.4753,8.1282,12542293.677743059,12716826.381952243,13209336.897486804,13709077.899639368,12290553.307804627,25448705.204169523,24366232.273412906,23989944.596178498,24281826.320647378,23173668.791391023
Q15208,0.8779,10.3484,8.0171,4792213.423532451,5091428.1161248945,4838663.898283699,5258442.500939094,4615151.158255325,9054282.125231799,9209720.992418287,9106912.108845104,8802814.830698976,8983414.179191874
P51812,0.6243,10.1294,7.8268,15878581.604827004,17146546.31606492,16920660.97451785,16807025.68824376,16633860.013212204,24942177.587736074,25508426.278383594,25725835.560397778,26269930.720706765,26072505.08452568
Q05397,0.5759,10.1281,7.8268,21092335.440129925,20932784.10371212,21658570.948284578,21515528.756585937,21174425.626139577,32722958.200367704,32468042.245757032,31564522.264649317,31224970.433995757,30614305.93596543
O15530,0.5858,10.1079,7.8208,3190697.860399465,3322477.5026514037,3390594.8193819104,3221179.7983756308,3344534.0907095033,4823177.587950067,5069311.334958636,5001543.134447904,4888740.680337943,4932394.799144114
P49137,0.4722,10.0278,7.7606,6139997.340390325,6207269.311304743,6230155.924901676,6128017.642086872,6046457.404872032,8374896.9612391265,8486890.012417817,8525778.89092561,8501210.366280172,8772973.743091296
P23443,0.6798,10.0206,7.7606,3392836.17567115,3395975.5234402893,3356626.097254752,3553877.7888892107,3204116.4030310665,5564949.095018196,5463858.30566108,5313510.953249813,5428810.970967232,5297119.115555245
Q2M2I8,0.8154,9.9558,7.7088,3008559.378174407,3159454.5247164266,3298660.427108223,3320131.470875028,3089982.014177588,5802004.645558685,5733961.471656002,5636141.494217388,5380494.907993498,5380494.907993498
Q13523,0.4724,9.9422,7.7077,40839282.383093014,41009108.63175528,42582377.907940984,41768755.6952435,40558538.473806776,58139225.6211507,56779346.94398754,57037396.30343333,57665324.19033421,57200385.331859566
Q14012,0.857,9.8609,7.6387,341430.3900556046,315873.2563900867,315873.2563900867,323374.6226839713,359861.56052470545,592333.8917269588,602826.8789730794,618851.5749019969,589149.2153957599,593556.9610322891
O96017,0.611,9.8478,7.6375,6907580.933641982,7347221.611118432,7585429.39499363,7116798.557109335,7227609.548271987,11197565.58185394,10992244.167511608,11250136.030190108,10909201.41272125,10894661.602346117
O14733,0.8998,9.7732,7.5745,1960155.9377136219,2160698.433379066,2260517.8669957505,2140969.0952669545,1966604.7746441015,4000870.717213265,3810399.9917100375,3869910.4714180497,3949537.9118184512,3911998.1300479323
Q8N5S9,1.1264,9.7364,7.5489,696989.0039376465,699132.7682961546,739438.0202382093,770970.9151578805,757742.4201764632,1704892.3771046253,1733527.545186444,1582634.6190790972,1519490.337438994,1468689.6699882362
P51817,0.7635,9.5635,7.387,274067.1880134909,281027.8083598651,286515.83108751697,302619.9785803767,291945.435593675,476161.0244745994,500836.4162054631,508061.18381507567,458231.3313369005,495136.2841691802
P50750,0.8996,9.4883,7.3226,6384474.290734429,6494807.025037305,6581541.5245704185,7465682.891006813,6276406.792517729,12477379.62692181,12554377.068614114,12164475.663275557,12235035.147035617,12394982.94030081
Q9HBH9,0.8439,9.4234,7.2681,279855.2137357328,271241.2081313585,310235.05773076747,285271.4987430944,300373.1245467791,499785.93983645644,531783.5372772452,517667.6970786314,500836.4162054631,545509.4411603186
