Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1,V_log2.i._TMT_2,V_log2.i._TMT_3,V_log2.i._TMT_4,V_log2.i._TMT_5,D_log2.i._TMT_6,D_log2.i._TMT_7,D_log2.i._TMT_8,D_log2.i._TMT_9,D_log2.i._TMT_10,D_log2.i._TMT_11
Q64133,0.9577,106.6164,102.9007,8013663.466666209,7925926.136746551,7669455.044586655,8208336.495227611,8448383.152172705,15514244.613900185,15182332.212378945,15678336.881726965,15785251.633699743,16272033.921880832,15445136.43050683
Q8BW75,0.2392,5.9266,2.512,31293545.040292576,29960568.449644815,29152633.13667265,27968302.03173974,31721567.653777972,36573479.05886464,32279157.34928247,36541258.68138231,35595293.95891296,37054577.90649281,34611082.843076065
P14069,-0.3347,5.3777,2.1392,2228605.2869945257,2483692.8153938116,2640252.3300164207,2638279.9686644515,2099115.605627928,1697380.4255925028,2031155.3430413753,1909134.7755063628,1954521.8487947695,1870632.371471583,2048283.5032269282
P63318,0.2008,3.7442,0.6306,8172345.062363949,9062410.800946167,8181768.363962436,7707618.384484584,8119056.42931362,8915311.413082315,8661174.247027066,9582136.748672588,9662512.66553079,10191908.62692018,9896193.899758352
B0QZN5,-0.3153,3.48,0.4633,40113123.03528322,39782188.565491654,40562545.801242486,37665838.08464805,34302326.21175377,36573479.05886464,31475053.370703764,35038222.96511658,28330870.610230967,31246019.89885902,22970607.834029328
Q9DC28,0.1937,3.1536,0.2161,6335077.693876135,6119065.317233838,6967299.619333693,5881298.042233749,5689759.987836667,6967299.619333693,7727350.576385855,6668905.988759607,6949280.651710893,6871288.12332058,7367606.163788523
E9QAQ5,0.1491,2.7894,0.1863,10468787.352268284,10216410.061632937,9651838.67044746,9188251.146494912,10191908.62692018,10770006.805964898,10382258.748570591,11471098.686324786,11396751.968286293,11408075.3402684,10753920.286414562
G5E8B6,-0.5663,2.8149,0.1863,765420.0409171693,468423.68098639604,1091492.6342632473,494473.6357297249,414016.0466171514,406639.8875294913,493260.80105346453,436666.703821617,444722.2087517526,435245.33967742865,404733.89307908894
P11798,0.2062,2.8031,0.1863,63390171.4191105,69077933.17644149,62925124.69793508,62522870.87401923,63390171.4191105,65285506.8747868,63933346.024808,77312717.36814237,75306943.75978018,85537418.03393838,77644984.56082685
F8VPN4,0.2401,2.9417,0.1863,4575916.602624377,4736372.741824848,4817693.270832695,4294957.588787625,4519221.299167481,4697735.295827465,4746047.630016758,5059627.8370389,5578105.148000284,6375226.879195544,6075300.87944315
E9QMV2,-0.2967,2.8832,0.1863,2282521.9184590434,2257448.1926903864,1872591.5452825513,2570849.4928434202,1774345.2834091785,1853691.7604781513,1954521.8487947695,1619791.5675631717,1751160.0913936966,1838132.8670502987,1498396.965918066
Q810B6,0.23,2.759,0.1863,517679.7035813279,468057.0492505124,437508.1775666954,434050.20045224647,479210.9699101179,494473.6357297249,538136.6003798796,558355.0726050326,578469.5615150792,560610.2818701313,559897.3182889107
Q80SW1,0.1526,2.7558,0.1863,21319125.343204066,22217246.904356647,21640336.573946774,19605013.083185405,21611716.437257484,21528696.02660487,23251133.415857594,24188743.46818868,23508657.121972695,24480707.11336214,25016634.950470563
Q8VDU5,0.6311,2.7679,0.1863,432005.26866311237,435245.33967742865,435245.33967742865,433339.32777696376,427922.4645745487,547666.535202731,490896.4077772924,501715.92928582296,516581.00246664195,1349978.5377489391,615016.677077478
