,Accession,Score,pVal (-log10),Rep1delta_SH,Rep2delta_SH,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_SH,Rep1Group2_SH,Rep1min_Slope,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_SH,Rep2Group2_SH,Rep2min_Slope
210,HSP90AA1,18.121,23.979,3.072,2.178,0.988,0.88,4.386,7.459,-0.188,0.895,0.861,4.506,6.653,-0.241
211,HSP90AB1,5.579,6.752,1.511,1.196,0.983,0.924,4.084,5.595,-0.335,0.9,0.952,4.092,5.22,-0.348
472,VIM,1.756,2.773,1.178,0.523,0.904,0.881,5.187,6.366,-0.107,0.967,0.93,5.403,5.921,-0.164
441,TAGLN2,1.549,2.182,1.233,0.261,0.963,0.875,4.56,5.793,-0.119,0.94,0.942,4.76,4.849,-0.576
339,RAB27A,1.517,1.895,1.198,0.184,0.944,0.948,5.293,6.492,-0.084,0.868,0.888,6.625,6.779,-0.071
158,ENTPD6,1.405,1.743,0.563,0.755,0.929,0.966,4.955,4.826,-0.413,0.939,0.986,5.542,4.787,-0.129
433,SPPL2B,1.239,1.769,0.638,0.692,0.868,0.964,7.552,6.913,-0.027,0.885,0.883,6.385,5.693,-0.026
307,PDIA6,1.181,1.393,0.796,0.363,0.991,0.929,6.503,7.299,-0.078,0.92,0.914,7.386,7.577,-0.13
68,C1QBP,1.155,1.228,0.574,0.501,0.973,0.997,3.129,3.615,-0.133,0.991,0.992,2.857,3.356,-0.09
477,XRCC5,1.016,1.138,0.641,0.386,0.992,0.952,3.64,4.281,-0.088,0.944,0.944,3.451,3.549,-0.168
264,M11S1,1.013,1.561,0.872,0.366,0.887,0.908,5.083,5.956,-0.093,0.88,0.884,5.48,5.675,-0.166
194,GPD1L,0.97,1.193,0.571,0.486,0.981,0.919,4.987,5.558,-0.116,0.986,0.872,6.046,6.526,-0.305
240,ITGAV,0.955,1.145,0.188,0.843,0.984,0.928,6.521,6.351,-0.051,0.871,0.99,6.695,5.852,-0.064
453,TMEM33,0.948,1.039,0.369,0.602,0.976,0.979,5.777,5.408,-0.061,0.948,0.964,5.231,4.629,-0.064
260,LRRC4B,0.857,0.873,0.4,0.469,0.995,0.995,5.471,5.119,-0.06,0.998,0.982,5.398,4.929,-0.057
207,HNRNPM,0.852,1.032,0.431,0.537,0.957,0.949,3.686,4.117,-0.11,0.998,0.994,2.506,3.042,-0.132
280,MYH9,0.756,0.819,0.28,0.553,0.985,0.976,4.861,4.659,-0.227,0.91,0.984,4.925,4.372,-0.197
212,HSP90B1,0.673,1.005,0.643,0.309,0.915,0.895,6.009,6.592,-0.111,0.887,0.895,6.495,6.724,-0.08
214,HSPA8,0.65,0.855,0.954,0.097,0.933,0.934,4.357,5.297,-0.055,0.96,0.962,4.649,4.594,-0.06
124,CPD,0.634,0.884,0.638,0.238,0.988,0.857,5.753,6.392,-0.096,0.971,0.943,6.053,6.291,-0.078
328,PTPRC,0.634,0.668,0.163,0.154,0.985,0.99,4.895,4.736,-0.124,0.998,0.997,4.931,5.065,-0.154
148,EFNB1,0.613,0.664,0.112,0.1,0.98,0.98,5.613,5.725,-0.071,0.99,0.976,5.707,5.691,-0.073
71,C4B,0.61,0.649,0.889,0.179,0.989,0.98,6.383,5.494,-0.09,0.92,0.988,5.822,6.002,-0.051
238,ITGAL,0.61,0.652,0.099,0.078,0.982,0.985,6.737,6.81,-0.054,0.964,0.98,6.616,6.573,-0.051
386,SLC12A6,0.602,0.66,0.141,0.126,0.972,0.982,4.998,5.101,-0.151,0.998,0.985,4.964,4.846,-0.132
452,TMEM30A,0.599,0.605,0.085,0.143,0.998,0.997,6.417,6.358,-0.193,0.98,0.993,6.213,6.318,-0.147
125,CPM,0.588,0.612,0.094,0.147,0.986,0.994,6.434,6.366,-0.06,0.993,0.993,6.2,6.21,-0.051
447,TLR2,0.583,0.607,0.164,0.107,0.987,0.993,5.44,5.304,-0.081,0.995,0.988,5.624,5.718,-0.096
13,ADCY7,0.58,0.602,0.368,0.429,0.993,0.989,3.702,3.372,-1.178,0.997,0.95,3.517,3.878,-0.43
376,SEMA4D,0.58,0.673,0.083,0.079,0.953,0.973,6.605,6.522,-0.048,0.967,0.947,6.753,6.828,-0.057
236,ITGA5,0.579,0.671,0.13,0.137,0.951,0.976,7.298,7.25,-0.043,0.986,0.965,7.07,7.169,-0.047
267,MAGT1,0.576,0.607,0.258,0.419,0.981,0.993,5.244,5.147,-0.182,0.959,0.996,5.056,4.637,-0.125
45,ATP1B3,0.575,0.626,0.065,0.107,0.983,0.976,6.726,6.673,-0.147,0.981,0.991,6.672,6.771,-0.165
183,GGT5,0.573,0.67,0.263,0.257,0.956,0.967,6.526,6.262,-0.064,0.955,0.976,5.916,6.172,-0.066
22,ANO6,0.568,0.621,0.008,0.038,0.981,0.975,6.173,6.181,-0.379,0.976,0.971,6.048,6.085,-0.366
208,HSD17B10,0.564,0.734,0.724,0.05,0.972,0.902,5.399,5.964,-0.356,0.906,0.93,5.545,5.594,-0.155
168,FAM62B,0.561,0.648,0.049,0.073,0.971,0.958,4.87,4.903,-0.193,0.958,0.965,4.796,4.723,-0.183
358,RHBDF2,0.561,0.616,0.084,0.6,0.975,0.978,5.853,5.775,-0.067,0.953,0.991,5.81,5.209,-0.07
400,SLC26A2,0.56,0.571,0.032,0.056,0.996,0.995,3.909,3.916,-0.29,1.0,0.995,4.05,4.106,-0.232
233,ITFG3,0.557,0.661,0.073,0.06,0.959,0.956,7.495,7.457,-0.064,0.947,0.944,7.01,7.068,-0.047
444,TGFBR1,0.551,0.564,0.045,0.047,0.992,0.996,3.672,3.629,-0.289,0.997,0.998,3.521,3.483,-0.293
419,SLC5A6,0.548,0.588,0.222,0.149,0.985,0.98,6.23,6.11,-0.06,0.993,0.985,6.577,6.726,-0.076
434,SPTBN1,0.548,0.59,0.324,0.338,0.983,0.98,4.905,5.149,-0.198,0.968,0.992,4.478,4.486,-0.204
120,CNNM3,0.547,0.666,0.427,0.417,0.923,0.982,4.456,4.029,-0.229,0.959,0.88,4.591,4.981,-0.328
5,ACSL1,0.542,0.591,0.149,0.079,0.979,0.978,4.273,4.323,-0.241,0.942,0.965,4.192,4.113,-0.22
160,ERLIN2,0.536,0.608,0.207,0.47,0.986,0.952,4.087,3.928,-0.511,0.919,0.984,3.857,3.404,-1.124
327,PTPRA,0.533,0.546,0.048,0.156,0.991,0.996,3.599,3.574,-0.257,0.999,0.996,3.573,3.711,-0.309
383,SIGLEC7,0.532,0.606,0.246,0.189,0.976,0.96,7.331,7.147,-0.05,0.922,0.96,7.356,7.439,-0.054
143,DOPEY2,0.532,0.677,0.285,0.287,0.946,0.937,4.757,4.969,-0.178,0.927,0.888,4.263,4.243,-0.717
285,NDRG1,0.528,0.663,0.149,0.137,0.95,0.939,6.108,6.065,-0.092,0.877,0.913,7.179,7.227,-0.146
464,TXNDC10,0.528,0.588,0.114,0.042,0.98,0.968,5.114,5.228,-0.18,0.954,0.973,5.029,4.987,-0.158
69,C20ORF103,0.526,0.586,0.15,0.075,0.978,0.969,6.522,6.672,-0.111,0.97,0.993,6.775,6.711,-0.085
173,FCER2,0.52,0.56,0.113,0.524,0.993,0.97,6.428,6.409,-0.05,0.913,0.974,6.724,6.2,-0.043
295,NRP1,0.52,0.667,0.421,0.303,0.909,0.972,6.412,5.991,-0.06,0.877,0.975,6.366,6.078,-0.064
164,FAM3A,0.519,0.555,0.285,0.386,0.995,0.972,4.885,4.881,-0.147,0.984,0.922,5.092,5.478,-0.158
417,SLC4A7,0.517,0.606,0.089,0.146,0.966,0.956,4.682,4.624,-0.128,0.985,0.977,4.789,4.901,-0.12
226,IL18R1,0.516,0.52,0.022,0.11,0.998,0.997,4.388,4.366,-0.141,0.996,0.991,4.321,4.269,-0.157
150,ELA2,0.513,0.821,0.208,0.627,0.843,0.938,6.643,6.447,-0.057,0.88,0.912,6.864,6.237,-0.06
175,FLNA,0.512,0.582,0.113,0.19,0.984,0.953,3.957,4.015,-1.098,0.9,0.975,4.05,3.86,-1.071
66,BTN2A1,0.511,0.53,0.203,0.081,0.994,0.988,5.173,5.319,-0.264,0.997,0.99,5.274,5.22,-0.144
273,MFI2,0.511,0.591,0.117,0.048,0.965,0.964,6.492,6.609,-0.054,0.987,0.982,6.568,6.548,-0.05
424,SLC9A1,0.509,0.55,0.173,0.278,0.97,0.992,5.529,5.356,-0.089,0.976,0.981,5.661,5.916,-0.08
448,TMED1,0.508,0.614,0.115,0.064,0.966,0.941,6.262,6.324,-0.131,0.932,0.9,6.392,6.372,-0.141
303,PCYOX1,0.508,0.593,0.198,0.13,0.975,0.949,6.417,6.549,-0.13,0.961,0.956,6.443,6.317,-0.099
312,PLAU,0.507,0.568,0.216,0.126,0.965,0.979,6.437,6.593,-0.055,0.938,0.974,6.236,6.115,-0.05
474,VPS13C,0.502,0.652,0.105,0.126,0.944,0.93,5.391,5.488,-0.173,0.882,0.954,5.549,5.481,-0.197
