,Accession,Score,Rep1pVal (-log10),Rep1delta_Tm,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_Tm,Rep1Group2_Tm,Rep1min_Slope,Rep2pVal (-log10),Rep2delta_Tm,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_Tm,Rep2Group2_Tm,Rep2min_Slope
210,HSP90AA1,21.559,15.526,10.87,0.988,0.88,51.55,62.42,-0.188,16.551,8.68,0.895,0.861,51.41,60.09,-0.241
211,HSP90AB1,6.149,3.602,4.79,0.983,0.924,51.29,56.08,-0.335,4.325,3.89,0.9,0.952,51.21,55.1,-0.348
316,PLXNC1,0.0,0.399,0.1,0.994,0.995,52.58,52.68,-0.163,0.547,0.5,0.997,0.995,52.27,52.77,-0.151
328,PTPRC,0.0,0.623,-0.47,0.985,0.99,54.08,53.61,-0.124,0.507,0.42,0.998,0.997,54.18,54.6,-0.154
327,PTPRA,0.0,0.452,-0.05,0.991,0.996,50.06,50.01,-0.257,0.497,0.4,0.999,0.996,50.01,50.41,-0.309
326,PSMA4,0.0,,,0.345,0.0,65.59,37.0,-0.01,,,0.0,0.0,65.47,65.59,-0.068
325,PRPS2,0.0,0.348,0.58,0.968,0.857,58.02,58.6,-0.113,,,0.789,0.79,60.09,59.33,-0.189
324,PROCR,0.0,0.638,1.34,0.952,0.98,59.74,61.08,-0.069,0.511,-0.58,0.977,0.986,60.86,60.28,-0.043
323,PRNP,0.0,,,0.0,0.0,37.0,65.59,-0.0,,,0.252,0.0,65.59,37.0,-0.026
322,PRCP,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
321,PPP2CA,0.0,,,0.432,0.691,63.0,62.58,-0.056,,,0.497,0.618,60.67,62.57,-0.059
320,PON2,0.0,1.127,2.22,0.918,0.821,53.93,56.15,-0.125,2.039,-2.46,0.902,0.939,57.18,54.72,-0.081
319,PODXL2,0.0,0.501,-0.18,0.875,0.937,60.08,59.9,-0.049,0.445,-0.44,0.92,0.915,61.57,61.13,-0.044
318,PODXL,0.0,,,0.594,0.721,65.59,65.59,-0.039,,,0.659,0.878,65.59,62.78,-0.026
317,PNN,0.0,,,0.485,0.729,62.15,54.68,-0.089,0.921,-1.26,0.868,0.939,59.21,57.95,-0.073
315,PLXNA1,0.0,0.402,0.09,0.983,0.974,52.28,52.37,-0.151,0.402,0.19,0.98,0.991,52.61,52.8,-0.138
330,PTPRJ,0.0,0.517,-0.22,0.991,0.995,50.14,49.92,-0.147,0.35,0.06,0.995,0.997,49.3,49.36,-0.205
314,PLP2,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
313,PLAUR,0.0,,,0.216,0.35,65.59,65.59,-0.008,,,0.576,0.49,65.59,65.59,-0.013
312,PLAU,0.0,0.554,1.15,0.965,0.979,58.85,60.0,-0.055,0.661,-0.86,0.938,0.974,58.36,57.5,-0.05
311,PKM2,0.0,,,0.819,0.475,61.24,61.43,-0.91,,,0.644,0.785,61.33,60.58,-0.866
310,PHB2,0.0,,,0.928,0.746,58.94,63.04,-0.095,,,0.479,0.867,65.59,59.24,-0.048
309,PHB,0.0,,,0.808,0.063,64.51,65.59,-0.038,,,0.0,0.102,65.59,59.18,-0.742
308,PDS5A,0.0,0.482,0.97,0.906,0.903,47.92,48.89,-0.326,0.507,0.42,0.93,0.983,47.86,48.28,-1.019
307,PDIA6,0.0,2.084,3.42,0.991,0.929,58.45,61.87,-0.078,0.306,-0.09,0.92,0.914,62.49,62.4,-0.13
306,PDIA4,0.0,2.093,3.43,0.985,0.893,56.66,60.09,-0.048,0.354,0.07,0.924,0.925,59.72,59.79,-0.042
305,PDIA3,0.0,0.602,1.26,0.968,0.915,53.68,54.94,-0.197,0.455,0.31,0.9,0.91,56.98,57.29,-0.081
304,PCYOX1L,0.0,0.452,0.89,0.979,0.926,58.29,59.18,-0.166,0.436,-0.42,0.958,0.963,58.46,58.04,-0.108
303,PCYOX1,0.0,0.348,0.26,0.975,0.949,58.53,58.79,-0.13,0.445,-0.44,0.961,0.956,58.89,58.45,-0.099
302,PC,0.0,0.601,-0.42,0.995,0.999,50.34,49.92,-0.246,0.313,-0.11,1.0,0.999,50.36,50.25,-0.295
329,PTPRG,0.0,0.386,0.14,0.982,0.974,55.4,55.54,-0.05,0.402,-0.34,0.956,0.959,50.85,50.51,-0.298
0,A2M,0.0,,,0.624,0.0,65.59,65.59,-0.041,,,0.425,0.484,65.59,65.59,-0.049
300,P4HB,0.0,,,0.894,0.755,65.59,65.59,-0.066,0.354,-0.22,0.812,0.876,65.59,65.37,-0.118
345,RAB8A,0.0,,,0.0,0.0,65.59,37.0,-0.084,,,0.227,0.687,65.59,65.47,-0.021
357,RER1,0.0,,,0.699,0.549,65.59,65.59,-0.029,,,0.75,0.843,65.59,64.86,-0.032
356,RELL1,0.0,,,0.837,0.585,64.03,64.57,-0.255,,,0.463,0.775,63.34,64.18,-0.286
355,RECK,0.0,0.911,1.87,0.953,0.97,60.27,62.14,-0.324,0.446,0.29,0.937,0.95,61.62,61.91,-0.065
354,RCC2,0.0,0.301,0.42,0.995,0.906,52.12,52.54,-0.197,0.526,-0.61,0.921,0.984,52.38,51.77,-0.171
353,RAP2C,0.0,,,0.0,0.0,65.59,37.0,-0.301,,,0.0,0.0,65.59,37.0,-0.0
352,RAP1B,0.0,,,0.0,0.0,65.59,37.0,-0.0,,,0.0,0.0,37.0,65.59,-0.0
351,RAP1A,0.0,,,0.079,0.043,65.59,65.59,-0.743,,,0.082,0.09,65.59,65.59,-0.806
