Accession,logFC,-logPval,-logAdjPval,DMSO1,DMSO2,DMSO3,DMSO4,DMSO5,MTX1,MTX2,MTX3,MTX4,MTX5
P00374;B4DM58;P00374-2;C9JJ68;Q86XF0,1.1997,104.8602,100.9694,125930.0,119500.0,155130.0,139510.0,123850.0,312960.0,268110.0,337560.0,349290.0,302190.0
A0A087WUQ6;P07203;P07203-2,-0.328,6.1106,2.5207,31536.0,36500.0,43821.0,40778.0,39593.0,30848.0,27222.0,31330.0,32971.0,34771.0
CON__Q9UE12;CON__Q15323;Q15323;CON__Q9D646,-2.1435,5.5316,2.2428,39908.0,562730.0,61968.0,46177.0,35105.0,34218.0,32054.0,35773.0,42439.0,38121.0
P56192;P56192-2;H0YHV5;H0YIC2;F5H2V6;H0YIP0;H0YHL6;H0YI94;H0YI27,0.2221,5.5492,2.2428,207890.0,213410.0,294270.0,246250.0,233260.0,282920.0,231520.0,299430.0,334980.0,284200.0
P0C5Y4;Q9BYS1;Q8IUG1;Q07627,-3.8475,5.3003,2.1084,1331.8,34049.0,1740.2,755.93,610.04,627.53,559.83,458.28,674.92,604.59
Q99471;H3BPF6;Q99471-3;H3BMQ1;Q99471-2;F8VNW6;F8VQZ2,-0.2178,4.8149,1.7022,88188.0,104190.0,125140.0,121230.0,102200.0,91013.0,88469.0,90531.0,96383.0,109040.0
Q8IUC1,-3.3746,4.5015,1.5157,1118.4,25871.0,1413.8,802.61,827.03,198.6,695.32,591.38,701.29,985.58
A0A0A6YYI3;A0A0B4J1V8;Q9NQ55-2;Q9NQ55;Q9NQ55-3;A8MV53;H7C446;C9J3W3;C9JHF7,0.324,4.2537,1.5157,47850.0,46263.0,59857.0,46280.0,51447.0,64881.0,51368.0,67103.0,78634.0,64750.0
P23396;P23396-2;E9PL09;F2Z2S8;H0YCJ7;E9PPU1;H0YF32;H0YEU2;E9PQ96;E9PJH4;E9PK82;E9PSF4;E9PQX2;H0YES8;E9PJN9,0.2163,4.3264,1.5157,223740.0,225500.0,301620.0,244190.0,239430.0,300590.0,234670.0,306870.0,340780.0,295940.0
Q9NNX1-2;Q9NNX1-3;Q9NNX1;A6PVU8;Q6UWW7,-0.1701,4.2653,1.5157,139640.0,165070.0,192380.0,189790.0,163330.0,139430.0,140960.0,151720.0,167800.0,174900.0
P41252;A0A0A0MSX9;J3KR24;Q5TCD1;Q5TCC6;Q5TCC9,0.1815,4.2305,1.5157,382140.0,402220.0,532590.0,459510.0,443290.0,516220.0,423830.0,537330.0,585170.0,524870.0
O43324;D6RBD7;C9J1V9;O43324-2;H0YAL7;D6RCQ0;H0YAH9,0.2094,4.4111,1.5157,61374.0,62059.0,86364.0,75061.0,73179.0,82749.0,70268.0,85755.0,98778.0,87799.0
Q9H583;Q5T3Q7;Q6P664,0.2418,4.3744,1.5157,77715.0,77311.0,106890.0,86093.0,97541.0,107660.0,91492.0,109110.0,121980.0,111920.0
P30044-2;P30044;P30044-3;P30044-4,-0.1614,4.3516,1.5157,221890.0,250720.0,328320.0,318310.0,290170.0,237760.0,218680.0,269310.0,288630.0,275180.0
O00499-6;O00499-2;O00499;O00499-9;O00499-7;O00499-4;O00499-11;O00499-3;O00499-5;O00499-10;O00499-8;S4R418;F5H0W4;A0A0A0MT10;A0A087X188;Q9UBW5-2;Q9UBW5;P49418-2;P49418,-0.1898,4.3275,1.5157,126050.0,149070.0,173730.0,168590.0,143090.0,127420.0,121570.0,133190.0,143480.0,158290.0
P62241;Q5JR95,0.2336,4.1824,1.4956,77504.0,86810.0,103440.0,83857.0,82684.0,105770.0,84818.0,108620.0,116570.0,111510.0
M0R3D6;M0R1A7;M0R117;Q02543;M0R0P7,0.3689,4.0985,1.438,84946.0,83796.0,104420.0,71493.0,83911.0,115580.0,87864.0,124650.0,137170.0,110560.0
J3KTL2;Q07955;Q07955-3;Q07955-2;J3KSR8;J3QQV5;J3KSW7,-0.1621,3.9771,1.3415,244890.0,278370.0,341750.0,319790.0,317090.0,258170.0,248380.0,280020.0,284980.0,303480.0
P42696;A2A2V2;P42696-2;Q5TCT4;H7C5M1,0.3792,3.8453,1.3387,43845.0,51219.0,57703.0,46146.0,50398.0,58652.0,50517.0,74893.0,65293.0,86651.0
P60228;E5RGA2;H0YBR5;E5RIT4;H0YAW4;E5RHS5;E5RII3;E5RIP5;E5RJ25;H0YBP5,0.1829,3.7982,1.3387,134390.0,136580.0,192580.0,167820.0,157720.0,198470.0,145940.0,180850.0,204020.0,189740.0
P62249;M0R210;M0R1M5;M0R3H0;M0QX76;Q6IPX4,0.3267,3.8109,1.3387,80158.0,74710.0,98213.0,72517.0,78879.0,110570.0,80884.0,112670.0,124570.0,97579.0
Q8N257,0.182,3.8589,1.3387,247940.0,282770.0,337030.0,292900.0,278980.0,308040.0,273070.0,355930.0,392650.0,355460.0
Q9NVM6;H0YLQ7;S4R343;H0YK99,-0.1575,3.8086,1.3387,149710.0,169880.0,212820.0,217050.0,193390.0,154650.0,150140.0,175070.0,194520.0,191630.0
P08243-3;P08243-2;P08243;F8WEJ5;C9JT45;C9J057;C9JM09,0.1955,3.8276,1.3387,99717.0,103240.0,138130.0,115130.0,111430.0,134370.0,105900.0,140570.0,148250.0,139920.0
CON__A2A5Y0;CON__O76015;CON__O76013;CON__O76014;O76013-2;O76014;O76015;O76013,-2.2121,3.8934,1.3387,991.63,16236.0,2287.1,1493.4,1421.8,915.55,963.59,942.39,1321.3,1062.7
Q9NZI8;Q9NZI8-2,0.1669,3.8069,1.3387,208990.0,219270.0,271050.0,240050.0,231950.0,267950.0,227070.0,283180.0,308540.0,268090.0
Q99880;Q96A08,0.2461,3.8697,1.3387,65665.0,69702.0,85413.0,70384.0,66838.0,85440.0,69269.0,95200.0,93291.0,95227.0
A0A096LNV3;A0A096LP02;Q9Y508-2;Q9Y508;A0A096LNT1;A0A096LNN8;A0A096LPF9,-0.206,3.7666,1.3229,66952.0,82332.0,94417.0,83128.0,76034.0,66175.0,65650.0,71613.0,75842.0,79072.0
Q14690;S4R3Q4,0.2436,3.7471,1.3187,131020.0,138600.0,172940.0,133340.0,147380.0,186720.0,144810.0,180770.0,202160.0,169860.0
Q8NHH9-3;Q8NHH9-5;Q8NHH9;B5MCN0;Q8NHH9-4;Q8NHH9-2;C9JQQ5;H7C3A2,0.1684,3.7315,1.3177,62285.0,70565.0,86580.0,81064.0,71414.0,83998.0,73622.0,79744.0,100350.0,91873.0
B7Z6D5;Q96GQ7;A0A087X059;A0A087WYH5,0.2259,3.6734,1.2739,111030.0,119170.0,142830.0,118180.0,119430.0,144890.0,115000.0,157320.0,170340.0,151580.0
A0A024R4M0;P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4,0.2948,3.6597,1.2739,124220.0,124720.0,160220.0,118070.0,120330.0,175840.0,126420.0,176620.0,185620.0,157440.0
Q13085;Q13085-4;Q13085-3;Q13085-2;Q59FY4;O00763-3;O00763-2;O00763;A0A087X0W4;A0A0C4DGT1;S4R3S7;A0A087WWN5;A0A087X2F8;A0A087X126;A0A087WVR6;A0A087WYK6;F8W8T8;H0YGH5,0.1526,3.4011,1.2663,353500.0,375930.0,493520.0,419810.0,406470.0,463470.0,388100.0,475370.0,537210.0,478430.0
P33993;P33993-3;P33993-2;C9J8M6,0.1666,3.4003,1.2663,169670.0,176720.0,232300.0,193940.0,184080.0,225280.0,183230.0,230830.0,246190.0,218410.0
Q5JTH9-2;Q5JTH9-3;Q5JTH9;A0A087X0G0,0.2721,3.3606,1.2663,101370.0,108130.0,127120.0,93455.0,99846.0,138150.0,106600.0,139030.0,145250.0,134100.0
D3YTB1;F8W727;P62910,0.3051,3.3699,1.2663,113120.0,117610.0,143650.0,102200.0,110920.0,155060.0,111040.0,160530.0,177300.0,150550.0
Q9UQN3;Q9UQN3-2;A0A087WW88;C9J0A7;Q92828,-0.1554,3.3785,1.2663,208200.0,221220.0,282370.0,274460.0,219200.0,219770.0,209910.0,214670.0,227100.0,233660.0
B7ZLQ5;A0A0A0MRP6;P28370;P28370-2,0.1502,3.4434,1.2663,173300.0,189100.0,233480.0,201910.0,199120.0,221490.0,187350.0,233780.0,262500.0,235240.0
G3V529;Q9GZR7;Q9GZR7-2;F5GYL3;A0A1W2PRR2;A0A087WXU8,0.2803,3.6005,1.2663,77721.0,83295.0,100280.0,73103.0,80846.0,107660.0,82968.0,109420.0,118900.0,103530.0
O43149;I3L141;O43149-2;I3L1Q8,0.1395,3.5005,1.2663,230500.0,248630.0,303430.0,268790.0,265680.0,284700.0,257790.0,292760.0,343500.0,316500.0
Q7Z2T5;Q7Z2T5-2;X6RK96,0.1684,3.5751,1.2663,59786.0,65828.0,84753.0,73977.0,69189.0,80736.0,68210.0,80190.0,93228.0,85936.0
P62424;Q5T8U2;Q5T8U3,0.2713,3.6157,1.2663,108450.0,111330.0,148420.0,108200.0,115380.0,156770.0,109980.0,155070.0,162150.0,154070.0
