,Accession,Score,pVal (-log10),Rep1delta_SH,Rep2delta_SH,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_SH,Rep1Group2_SH,Rep1min_Slope,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_SH,Rep2Group2_SH,Rep2min_Slope
50,ATP1B3,5.446,6.136,0.311,0.385,0.963,0.978,5.853,6.575,-0.168,0.916,0.906,5.491,6.731,-0.143
451,SLC4A7,4.873,4.929,0.123,0.502,0.999,0.995,3.496,3.838,-0.128,1.0,0.953,3.666,4.789,-1.009
49,ATP1B1,3.758,5.01,0.302,0.328,0.926,0.936,5.475,6.291,-0.155,0.928,0.938,5.454,6.33,-0.159
314,NTRK1,3.178,4.055,0.233,0.334,0.886,1.0,1.574,1.487,-0.895,0.999,0.959,1.614,1.454,-0.89
119,CLPTM1,2.912,3.494,0.431,0.096,0.931,0.981,5.182,3.731,-0.112,0.964,0.999,3.359,3.232,-0.146
274,LRRC8C,2.719,2.813,0.027,0.446,0.992,0.991,3.196,3.206,-0.107,0.992,0.973,3.159,4.288,-0.234
456,SLC6A9,1.958,3.466,0.312,0.213,0.834,0.901,6.043,6.797,-0.143,0.884,0.897,6.099,6.66,-0.116
354,PTPRA,1.953,2.008,0.267,0.131,0.991,0.995,2.985,2.489,-0.307,0.996,0.99,2.875,2.538,-0.197
195,GNAI3,1.902,1.956,0.301,0.092,0.991,0.995,4.52,3.845,-0.198,0.983,0.984,4.559,4.306,-0.102
72,BOLA2,1.83,1.873,0.177,0.208,0.993,0.995,2.936,3.103,-0.153,0.993,0.999,2.896,3.316,-0.202
201,GPR183,1.75,2.139,0.251,0.16,0.936,0.966,5.578,6.264,-0.113,0.94,0.944,5.807,6.414,-0.091
279,MACF1,1.68,1.768,0.071,0.302,0.982,0.993,2.497,2.371,-0.138,0.993,0.896,2.203,2.109,-0.907
200,GPI,1.598,1.682,0.251,0.112,0.987,0.988,3.614,4.766,-0.078,0.99,0.959,4.96,5.223,-0.17
189,GAPDH,1.503,2.105,0.365,0.043,0.873,0.968,6.009,6.754,-0.29,0.888,0.801,6.429,6.505,-0.25
144,DJ-1,1.476,1.622,0.31,0.046,0.984,0.969,5.215,5.846,-0.287,0.994,0.991,5.329,5.462,-0.146
121,CLTC,1.474,1.524,0.131,0.476,0.994,0.99,2.682,2.454,-0.247,0.986,0.923,2.677,3.401,-1.11
434,SLC29A2,1.263,1.612,0.212,0.143,0.929,0.953,5.831,6.126,-0.231,0.932,0.926,5.968,6.237,-0.233
394,SAPS3,1.26,1.362,0.093,0.232,0.978,0.983,4.997,4.876,-0.234,0.942,0.98,4.571,3.933,-0.105
146,DNAJA1,1.239,1.341,0.175,0.147,0.986,0.974,3.849,4.338,-0.108,0.998,0.996,3.584,3.842,-0.18
446,SLC39A6,1.194,1.509,0.039,0.304,0.961,0.926,5.407,5.589,-0.052,0.874,0.949,6.414,7.513,-0.108
488,TGFB1,1.182,1.362,0.185,0.139,0.946,0.985,5.787,5.362,-0.133,0.954,0.985,5.236,5.049,-0.224
390,RPS27A,1.163,1.39,0.164,0.164,0.958,0.955,4.501,3.723,-0.053,0.955,0.982,3.979,3.277,-0.072
177,FAT1,1.108,1.124,0.084,0.208,0.996,0.997,3.921,4.187,-0.099,0.99,0.985,3.824,5.006,-0.087
479,SUCLG1,1.077,1.105,0.177,0.113,0.988,0.999,2.695,3.028,-0.188,0.997,0.996,2.923,3.09,-0.17
31,ANXA3,1.065,1.765,0.261,0.112,0.865,0.898,3.911,4.281,-0.25,0.994,0.997,2.98,3.144,-0.25
42,ARL2,1.058,1.153,0.164,0.132,0.968,0.989,4.083,4.244,-0.14,0.963,0.964,3.954,4.166,-0.15
187,FMNL1,1.028,1.048,0.074,0.208,0.996,0.994,2.069,2.026,-0.088,0.851,0.998,1.684,1.605,-0.85
197,GNB2L1,0.961,1.097,0.071,0.218,0.986,0.949,4.854,4.845,-0.075,0.976,0.963,4.842,4.02,-0.07
269,LRIG2,0.948,1.1,0.099,0.19,0.985,0.943,4.36,4.939,-0.058,0.99,0.978,4.237,5.317,-0.063
484,TES,0.944,0.951,0.153,0.113,0.998,0.998,3.16,3.345,-0.2,0.993,0.999,3.179,3.236,-0.203
71,BLVRB,0.939,0.943,0.125,0.14,0.999,0.999,2.696,2.735,-0.21,0.998,0.996,2.48,2.645,-0.192
