,Accession,Score,pVal (-log10),Rep1delta_SH,Rep2delta_SH,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_SH,Rep1Group2_SH,Rep1min_Slope,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_SH,Rep2Group2_SH,Rep2min_Slope
50,ATP1B3,4.163,4.691,0.723,1.239,0.963,0.978,5.853,6.575,-0.168,0.916,0.906,5.491,6.731,-0.143
119,CLPTM1,3.106,3.727,1.451,0.301,0.931,0.981,5.182,3.731,-0.112,0.964,0.999,3.359,3.232,-0.146
269,LRIG2,2.897,3.359,0.579,1.086,0.985,0.943,4.36,4.939,-0.058,0.99,0.978,4.237,5.317,-0.063
49,ATP1B1,2.607,3.474,0.816,0.876,0.926,0.936,5.475,6.291,-0.155,0.928,0.938,5.454,6.33,-0.159
451,SLC4A7,2.571,2.601,0.342,1.123,0.999,0.995,3.496,3.838,-0.128,1.0,0.953,3.666,4.789,-1.009
177,FAT1,2.509,2.545,0.266,1.183,0.996,0.997,3.921,4.187,-0.099,0.99,0.985,3.824,5.006,-0.087
200,GPI,2.483,2.614,1.152,0.317,0.987,0.988,3.614,4.766,-0.078,0.99,0.959,4.96,5.223,-0.17
390,RPS27A,2.402,2.869,0.778,0.761,0.958,0.955,4.501,3.723,-0.053,0.955,0.982,3.979,3.277,-0.072
456,SLC6A9,2.258,3.998,1.152,0.661,0.834,0.901,6.043,6.797,-0.143,0.884,0.897,6.099,6.66,-0.116
201,GPR183,2.02,2.469,0.821,0.607,0.936,0.966,5.578,6.264,-0.113,0.94,0.944,5.807,6.414,-0.091
441,SLC31A1,1.967,2.275,0.558,0.811,0.957,0.972,5.956,5.962,-0.086,0.93,0.92,5.646,6.458,-0.034
274,LRRC8C,1.831,1.895,0.118,1.129,0.992,0.991,3.196,3.206,-0.107,0.992,0.973,3.159,4.288,-0.234
497,TMEM33,1.813,2.359,0.364,1.031,0.952,0.921,4.567,4.249,-0.04,0.91,0.932,4.218,3.267,-0.076
446,SLC39A6,1.776,2.245,0.183,1.178,0.961,0.926,5.407,5.589,-0.052,0.874,0.949,6.414,7.513,-0.108
488,TGFB1,1.743,2.008,0.784,0.501,0.946,0.985,5.787,5.362,-0.133,0.954,0.985,5.236,5.049,-0.224
197,GNB2L1,1.688,1.927,0.396,0.862,0.986,0.949,4.854,4.845,-0.075,0.976,0.963,4.842,4.02,-0.07
185,FLOT1,1.33,1.451,0.388,0.697,0.983,0.974,4.735,4.346,-0.103,0.977,0.924,4.971,4.274,-0.076
404,SEMA4D,1.231,2.486,0.739,0.693,0.83,0.848,6.625,7.089,-0.155,0.973,0.964,6.204,6.897,-0.064
232,IGF2R,1.186,1.507,0.173,0.934,0.938,0.946,5.475,5.633,-0.03,0.954,0.912,5.515,6.449,-0.04
314,NTRK1,1.153,1.471,0.553,0.541,0.886,1.0,1.574,1.487,-0.895,0.999,0.959,1.614,1.454,-0.89
195,GNAI3,1.082,1.112,0.685,0.255,0.991,0.995,4.52,3.845,-0.198,0.983,0.984,4.559,4.306,-0.102
458,SLC7A11,1.05,1.462,0.662,0.428,0.908,0.933,5.828,6.444,-0.055,0.936,0.949,5.855,6.271,-0.053
280,MAP1B,1.048,1.35,0.686,0.358,0.918,0.96,4.544,3.857,-0.051,0.973,0.982,4.531,4.332,-0.063
455,SLC6A8,1.04,1.77,0.365,0.84,0.899,0.853,6.577,6.781,-0.084,0.972,0.964,6.11,6.918,-0.096
354,PTPRA,1.029,1.058,0.563,0.352,0.991,0.995,2.985,2.489,-0.307,0.996,0.99,2.875,2.538,-0.197
352,PTGFRN,1.01,1.166,0.17,0.795,0.962,0.968,5.413,5.583,-0.045,0.972,0.987,5.302,6.097,-0.061
172,F5,1.005,1.093,0.384,0.547,0.977,0.981,5.001,5.379,-0.055,0.986,0.992,5.309,5.856,-0.08
394,SAPS3,0.981,1.061,0.205,0.712,0.978,0.983,4.997,4.876,-0.234,0.942,0.98,4.571,3.933,-0.105
95,CD46,0.978,1.276,0.6,0.414,0.945,0.926,5.988,6.588,-0.043,0.937,0.876,6.047,6.461,-0.034
97,CD48,0.974,1.277,0.732,0.282,0.943,0.927,5.63,6.362,-0.036,0.956,0.93,6.117,6.381,-0.031
518,VAMP7,0.892,0.994,0.492,0.392,0.991,0.956,4.369,3.968,-0.158,0.961,0.96,3.628,3.236,-0.097
144,DJ-1,0.889,0.977,0.742,0.133,0.984,0.969,5.215,5.846,-0.287,0.994,0.991,5.329,5.462,-0.146
72,BOLA2,0.881,0.902,0.344,0.492,0.993,0.995,2.936,3.103,-0.153,0.993,0.999,2.896,3.316,-0.202
325,PDIA3,0.866,1.04,0.512,0.395,0.926,0.986,4.506,4.011,-0.121,0.944,0.951,4.378,3.983,-0.129
489,TGFBR3,0.846,0.874,0.528,0.294,0.992,0.992,4.27,4.798,-0.064,0.996,0.996,4.48,4.774,-0.064
12,ACVR1,0.839,0.839,0.042,0.047,1.0,1.0,1.67,1.712,-0.179,1.0,1.0,1.659,1.624,-0.211
218,HSP90AB1,0.837,0.843,0.026,0.029,0.997,0.999,2.931,2.92,-0.285,0.992,0.992,2.868,2.886,-0.27
349,PRPS2,0.833,0.878,0.345,0.479,0.987,0.987,5.863,6.109,-0.157,0.936,0.853,5.124,5.603,-0.061
346,PRKCB,0.832,0.837,0.104,0.109,0.998,0.999,2.668,2.734,-0.248,0.996,0.994,2.435,2.359,-0.175
279,MACF1,0.817,0.859,0.266,0.548,0.982,0.993,2.497,2.371,-0.138,0.993,0.896,2.203,2.109,-0.907
480,SUCLG2,0.815,0.83,0.137,0.128,0.993,0.998,3.246,3.365,-0.189,0.997,0.991,3.163,3.156,-0.213
376,RCC2,0.804,0.821,0.124,0.138,0.991,0.999,3.109,3.151,-0.144,0.996,0.976,3.048,2.965,-0.18
495,TMEM2,0.803,0.832,0.085,0.077,0.992,0.99,4.895,4.98,-0.05,0.996,0.991,5.017,4.992,-0.051
296,MSH6,0.802,0.859,0.248,0.566,0.981,0.984,2.588,2.34,-0.065,0.991,0.987,3.244,2.696,-0.094
184,FLNC,0.8,0.809,0.032,0.053,0.996,0.998,3.109,3.12,-0.105,0.996,0.996,2.911,2.89,-0.102
217,HSP90AA1,0.8,0.81,0.05,0.07,0.995,0.999,2.975,2.949,-0.262,0.989,0.991,2.913,2.927,-0.221
181,FERMT3,0.795,0.804,0.119,0.095,0.996,0.999,2.452,2.542,-0.179,0.995,0.994,2.38,2.285,-0.149
395,SARS,0.793,0.835,0.208,0.215,0.977,0.998,4.269,4.334,-0.154,0.965,0.986,4.042,3.827,-0.106
52,ATP2A3,0.793,0.814,0.052,0.033,0.991,0.996,3.259,3.252,-0.176,0.998,0.996,3.224,3.244,-0.236
337,PLXNA3,0.788,0.791,0.105,0.074,0.999,0.999,2.317,2.422,-0.145,0.996,0.999,2.952,2.888,-0.097
212,HMOX2,0.787,0.8,0.251,0.224,0.995,0.997,2.285,2.536,-0.162,0.977,0.988,3.623,3.398,-0.074
69,BCAM,0.786,0.842,0.084,0.082,0.979,0.987,5.017,5.079,-0.04,0.991,0.985,4.953,4.871,-0.04
519,VAPA,0.781,0.844,0.228,0.229,0.982,0.98,4.676,4.889,-0.055,0.987,0.98,4.916,4.689,-0.052
239,IL27RA,0.777,0.822,0.083,0.097,0.981,0.99,4.503,4.508,-0.061,0.994,0.996,4.47,4.383,-0.057
521,VASP,0.774,0.796,0.139,0.111,0.992,0.995,2.424,2.524,-0.191,0.999,0.999,2.54,2.429,-0.153
339,PLXNB2,0.767,0.795,0.043,0.072,0.993,0.989,2.892,2.861,-0.148,0.993,0.987,2.775,2.847,-0.154
133,CSK,0.764,0.835,0.156,0.162,0.986,0.97,2.865,3.02,-0.098,0.975,0.988,3.116,2.954,-0.182
513,TXNDC4,0.761,1.168,0.72,0.246,0.852,0.948,5.418,4.882,-0.091,0.968,0.952,5.061,4.999,-0.113
297,MSN,0.76,0.773,0.099,0.058,0.996,0.996,3.07,3.169,-0.44,0.998,0.998,3.088,3.036,-0.399
170,EZR,0.743,0.754,0.107,0.054,0.996,0.996,3.443,3.498,-0.336,0.998,0.999,3.345,3.291,-0.365
146,DNAJA1,0.739,0.8,0.489,0.291,0.986,0.974,3.849,4.338,-0.108,0.998,0.996,3.584,3.842,-0.18
6,ABCC5,0.737,0.77,0.149,0.106,0.99,0.988,3.47,3.453,-0.075,0.989,0.99,3.86,3.888,-0.077
276,LYN,0.736,0.742,0.211,0.151,0.998,0.998,3.311,3.398,-0.191,0.998,0.994,3.445,3.309,-0.118
492,TLN1,0.733,0.736,0.02,0.043,0.999,0.999,2.399,2.379,-0.194,1.0,0.999,2.508,2.471,-0.189
122,CNN2,0.732,0.737,0.108,0.045,0.998,0.999,2.368,2.417,-0.162,0.999,0.999,2.48,2.474,-0.144
189,GAPDH,0.73,1.022,0.821,0.076,0.873,0.968,6.009,6.754,-0.29,0.888,0.801,6.429,6.505,-0.25
42,ARL2,0.727,0.792,0.451,0.325,0.968,0.989,4.083,4.244,-0.14,0.963,0.964,3.954,4.166,-0.15
143,DIAPH1,0.727,0.73,0.109,0.176,0.998,0.999,2.126,2.151,-0.144,0.999,0.999,2.215,2.038,-0.133
225,ICAM2,0.726,0.755,0.09,0.143,0.991,0.99,4.83,4.74,-0.044,0.984,0.974,4.743,4.838,-0.046
403,SEMA4C,0.721,0.748,0.11,0.166,0.99,0.992,4.609,4.553,-0.07,0.987,0.989,4.616,4.722,-0.07
353,PTK7,0.72,0.725,0.04,0.03,0.998,0.998,3.313,3.273,-0.086,0.997,0.997,3.424,3.415,-0.085
187,FMNL1,0.714,0.728,0.188,0.55,0.996,0.994,2.069,2.026,-0.088,0.851,0.998,1.684,1.605,-0.85
105,CD84,0.711,0.819,0.166,0.15,0.972,0.959,5.463,5.629,-0.031,0.975,0.971,4.649,4.551,-0.064
221,HSPA8,0.711,0.829,0.255,0.265,0.96,0.964,4.053,4.22,-0.065,0.965,0.971,4.146,3.882,-0.061
110,CDCP1,0.71,0.727,0.064,0.133,0.994,0.995,4.899,4.921,-0.038,0.997,0.994,4.916,4.783,-0.038
208,HEPH,0.704,0.715,0.142,0.066,0.996,0.996,4.465,4.608,-0.047,0.999,0.998,4.512,4.477,-0.052
13,ADAM10,0.704,0.8,0.199,0.172,0.967,0.97,4.897,4.958,-0.039,0.988,0.99,4.716,4.599,-0.039
26,ANO6,0.704,0.75,0.113,0.168,0.983,0.985,4.387,4.5,-0.255,0.984,0.981,4.364,4.253,-0.199
29,ANXA1,0.702,0.705,0.097,0.179,0.999,0.999,2.157,2.207,-0.264,1.0,1.0,2.058,1.879,-0.207
498,TMEM8,0.702,0.758,0.246,0.296,0.967,0.995,5.693,5.921,-0.032,0.984,0.985,5.418,5.121,-0.038
124,CNNM4,0.7,0.706,0.031,0.051,0.998,0.997,2.256,2.258,-0.137,0.997,0.996,2.076,2.128,-0.163
293,MPP1,0.698,0.701,0.103,0.188,0.998,0.999,2.253,2.282,-0.146,0.999,0.999,2.237,2.049,-0.133
388,ROR2,0.697,0.71,0.032,0.048,0.997,0.994,2.571,2.549,-0.12,0.993,0.99,2.629,2.586,-0.127
