,Accession,Score,p_Val (-log10),Group1_R2,Group2_R2,RSS_Null,RSS_Alt,RSS_Diff
314,NTRK1,11.673,17.244,0.877,0.939,0.317,0.02,0.297
231,IGF1R,8.921,11.223,0.997,0.894,0.161,0.026,0.135
72,BOLA2,2.723,2.804,0.992,0.993,0.03,0.086,0.056
307,NEO1,2.621,2.651,0.998,0.997,0.009,0.023,0.014
71,BLVRB,2.582,2.612,0.997,0.997,0.013,0.033,0.02
354,PTPRA,2.457,2.547,0.99,0.992,0.047,0.113,0.066
214,HNRNPM,2.265,2.272,0.999,0.999,0.002,0.005,0.002
269,LRIG2,2.244,2.57,0.986,0.948,0.07,0.171,0.101
484,TES,2.237,2.267,0.995,0.998,0.019,0.038,0.02
358,PTRF,2.217,2.265,0.997,0.992,0.027,0.057,0.029
131,CS,2.212,2.258,0.992,0.997,0.023,0.048,0.025
489,TGFBR3,1.971,2.058,0.986,0.992,0.028,0.053,0.025
479,SUCLG1,1.961,2.011,0.99,0.997,0.03,0.055,0.025
177,FAT1,1.959,2.176,0.992,0.957,0.075,0.148,0.073
183,FLNB,1.838,1.867,0.998,0.995,0.021,0.037,0.015
303,NAG,1.794,1.855,0.991,0.993,0.028,0.048,0.02
451,SLC4A7,1.588,1.867,0.998,0.924,0.303,0.523,0.22
336,PLXNA1,1.573,1.618,0.993,0.993,0.031,0.049,0.018
313,NSF,1.512,1.538,0.995,0.996,0.019,0.029,0.01
268,LRFN1,1.485,1.509,0.996,0.996,0.015,0.023,0.008
50,ATP1B3,1.484,1.932,0.929,0.943,0.257,0.455,0.198
298,MTDH,1.456,1.592,0.98,0.976,0.077,0.12,0.043
390,RPS27A,1.449,1.781,0.941,0.959,0.145,0.241,0.096
195,GNAI3,1.384,1.514,0.98,0.976,0.106,0.16,0.054
357,PTPRS,1.352,1.387,0.997,0.991,0.019,0.027,0.009
258,KTN1,1.349,1.383,0.995,0.992,0.021,0.03,0.009
164,EPHB4,1.344,1.352,0.999,0.997,0.005,0.008,0.002
528,YWHAH,1.224,1.242,0.998,0.995,0.019,0.026,0.007
33,ANXA7,1.204,1.27,0.991,0.982,0.062,0.086,0.025
517,USP14,1.203,1.275,0.986,0.985,0.074,0.104,0.03
146,DNAJA1,1.196,1.31,0.981,0.974,0.091,0.128,0.038
35,AP2B1,1.16,1.214,0.983,0.994,0.056,0.077,0.021
144,DJ-1,1.154,1.259,0.987,0.97,0.136,0.189,0.054
163,EPCAM,1.15,1.211,0.991,0.983,0.025,0.034,0.009
34,AP2A1,1.138,1.169,0.994,0.993,0.03,0.041,0.011
491,TIMP1,1.135,1.259,0.963,0.986,0.039,0.054,0.015
488,TGFB1,1.08,1.321,0.924,0.979,0.144,0.205,0.061
277,M11S1,1.071,1.134,0.981,0.991,0.046,0.062,0.016
274,LRRC8C,1.054,1.251,0.992,0.926,0.263,0.365,0.103
49,ATP1B1,1.018,1.351,0.927,0.937,0.304,0.436,0.132
296,MSH6,1.007,1.148,0.965,0.97,0.096,0.13,0.034
352,PTGFRN,0.98,1.131,0.966,0.964,0.093,0.125,0.032
172,F5,0.927,1.041,0.975,0.968,0.087,0.114,0.027
312,NRD1,0.914,0.951,0.989,0.991,0.047,0.06,0.013
201,GPR183,0.911,1.15,0.935,0.952,0.19,0.257,0.067
308,NOTCH1,0.905,0.923,0.995,0.996,0.015,0.019,0.004
273,LRRC8B,0.902,0.937,0.997,0.984,0.048,0.061,0.013
197,GNB2L1,0.901,1.081,0.981,0.931,0.18,0.239,0.059
472,STIM1,0.896,0.936,0.989,0.989,0.049,0.063,0.013
356,PTPRJ,0.872,0.875,0.999,0.999,0.004,0.005,0.001
241,IQGAP1,0.856,0.87,0.995,0.997,0.021,0.026,0.005
325,PDIA3,0.835,1.031,0.931,0.967,0.129,0.169,0.04
143,DIAPH1,0.816,0.825,0.998,0.996,0.011,0.013,0.003
293,MPP1,0.813,0.822,0.999,0.996,0.01,0.012,0.002
122,CNN2,0.787,0.794,0.998,0.998,0.008,0.01,0.002
178,FCGR2B,0.745,0.85,0.968,0.968,0.08,0.099,0.019
275,LRRC8D,0.736,0.778,0.993,0.98,0.071,0.086,0.016
174,FAM49B,0.727,0.757,0.99,0.99,0.06,0.073,0.013
238,IL18R1,0.693,0.708,0.993,0.996,0.023,0.027,0.005
232,IGF2R,0.687,0.997,0.945,0.878,0.151,0.195,0.044
176,FASN,0.683,0.719,0.992,0.983,0.071,0.085,0.014
237,IL17RC,0.669,0.701,0.99,0.987,0.052,0.063,0.01
276,LYN,0.666,0.684,0.997,0.99,0.023,0.027,0.004
286,MERTK,0.666,0.688,0.997,0.987,0.031,0.037,0.006
11,ACTN1,0.661,0.726,0.974,0.979,0.135,0.163,0.028
119,CLPTM1,0.659,1.009,0.848,0.953,0.421,0.546,0.125
301,MYH10,0.653,0.702,0.982,0.982,0.056,0.067,0.011
97,CD48,0.642,0.875,0.932,0.919,0.119,0.149,0.03
497,TMEM33,0.628,0.953,0.923,0.879,0.242,0.309,0.067
187,FMNL1,0.609,0.652,0.986,0.981,0.057,0.068,0.01
185,FLOT1,0.586,0.725,0.971,0.926,0.175,0.211,0.036
42,ARL2,0.576,0.658,0.958,0.976,0.132,0.156,0.024
458,SLC7A11,0.571,0.761,0.922,0.94,0.169,0.206,0.037
229,IFNAR2,0.568,0.602,0.99,0.981,0.052,0.061,0.009
455,SLC6A8,0.557,0.783,0.927,0.91,0.235,0.288,0.052
304,NAPG,0.552,0.578,0.992,0.986,0.043,0.05,0.007
272,LRRC8A,0.55,0.571,0.994,0.987,0.047,0.055,0.008
95,CD46,0.549,0.768,0.94,0.899,0.148,0.18,0.032
17,ADCY3,0.547,0.561,0.994,0.994,0.026,0.03,0.004
247,ITGAM,0.545,0.653,0.978,0.935,0.089,0.105,0.016
280,MAP1B,0.537,0.662,0.94,0.958,0.169,0.2,0.031
516,UNC5B,0.536,0.579,0.982,0.98,0.078,0.09,0.013
461,SLC9A1,0.525,0.569,0.993,0.967,0.081,0.094,0.013
235,IL13RA1,0.512,0.636,0.921,0.974,0.088,0.104,0.016
509,TSPAN14,0.509,0.565,0.979,0.969,0.07,0.081,0.011
36,AP2M1,0.506,0.559,0.97,0.981,0.102,0.118,0.016
394,SAPS3,0.498,0.628,0.949,0.939,0.318,0.374,0.056
391,RPSA,0.498,0.533,0.994,0.973,0.072,0.083,0.011
226,ICAM5,0.496,0.534,0.989,0.975,0.029,0.034,0.004
149,DSC2,0.496,0.541,0.989,0.968,0.06,0.07,0.009
51,ATP2A2,0.495,0.509,0.994,0.991,0.038,0.044,0.005
188,G6PD,0.491,0.505,0.992,0.994,0.043,0.049,0.006
338,PLXNB1,0.484,0.511,0.989,0.985,0.058,0.066,0.008
302,MYH9,0.481,0.516,0.985,0.98,0.083,0.095,0.012
64,ATP7A,0.479,0.486,0.997,0.995,0.016,0.018,0.002
262,LCP1,0.459,0.489,0.984,0.984,0.07,0.079,0.01
2,ABCB1,0.453,0.487,0.983,0.982,0.079,0.09,0.011
128,CORO1B,0.437,0.452,0.994,0.989,0.054,0.061,0.007
111,CDIPT,0.435,0.86,0.814,0.873,0.417,0.52,0.103
236,IL17RA,0.435,0.457,0.983,0.992,0.037,0.041,0.005
179,FCGR2C,0.427,0.599,0.943,0.895,0.103,0.12,0.017
480,SUCLG2,0.418,0.431,0.993,0.991,0.039,0.044,0.005
360,PVR,0.412,0.635,0.89,0.905,0.119,0.14,0.021
140,DCBLD2,0.408,0.425,0.988,0.991,0.03,0.033,0.004
242,IQGAP2,0.393,0.4,0.996,0.995,0.019,0.021,0.002
283,MCAM,0.382,0.551,0.935,0.89,0.083,0.096,0.013
453,SLC5A6,0.382,0.452,0.97,0.948,0.125,0.141,0.016
404,SEMA4D,0.373,0.582,0.893,0.896,0.218,0.254,0.036
405,SEMA7A,0.365,0.37,0.998,0.995,0.013,0.014,0.001
343,PPP2CA,0.361,0.399,0.968,0.983,0.101,0.113,0.011
513,TXNDC4,0.356,0.484,0.906,0.947,0.18,0.204,0.024
126,COMT,0.349,0.355,0.994,0.997,0.021,0.024,0.002
466,SNX6,0.347,0.357,0.995,0.991,0.03,0.033,0.003
200,GPI,0.337,0.547,0.868,0.904,0.518,0.597,0.079
478,STXBP3,0.335,0.352,0.989,0.988,0.046,0.05,0.005
415,SLC12A7,0.332,0.339,0.995,0.996,0.021,0.023,0.002
248,ITGAV,0.33,0.382,0.967,0.96,0.056,0.062,0.006
127,COPB1,0.322,0.331,0.994,0.993,0.034,0.037,0.003
156,EIF5,0.322,0.331,0.992,0.994,0.036,0.04,0.003
456,SLC6A9,0.318,0.536,0.858,0.898,0.446,0.513,0.067
