,Accession,Score,Rep1pVal (-log10),Rep1delta_Tm,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_Tm,Rep1Group2_Tm,Rep1min_Slope,Rep2pVal (-log10),Rep2delta_Tm,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_Tm,Rep2Group2_Tm,Rep2min_Slope
50,ATP1B3,2.276,1.233,2.1,0.963,0.978,60.06,62.16,-0.168,1.717,3.25,0.916,0.906,59.43,62.68,-0.143
49,ATP1B1,1.894,1.311,2.21,0.926,0.936,59.44,61.65,-0.155,1.202,2.4,0.928,0.938,59.37,61.77,-0.159
356,PTPRJ,0.0,0.32,0.22,1.0,0.999,48.03,48.25,-0.185,0.314,0.05,1.0,1.0,48.27,48.32,-0.187
351,PTGER3,0.0,0.932,1.63,0.909,0.938,59.92,61.55,-0.037,0.398,0.39,0.969,0.949,60.11,60.5,-0.041
352,PTGFRN,0.0,0.427,0.55,0.962,0.968,59.28,59.83,-0.045,1.051,2.11,0.972,0.987,58.84,60.95,-0.061
353,PTK7,0.0,0.391,-0.14,0.998,0.998,52.19,52.05,-0.086,0.32,-0.09,0.997,0.997,52.57,52.48,-0.085
354,PTPRA,0.0,0.923,-1.31,0.991,0.995,51.5,50.19,-0.307,0.555,-0.93,0.996,0.99,51.08,50.15,-0.197
355,PTPRC,0.0,0.45,-0.31,0.987,0.988,53.72,53.41,-0.11,0.521,0.81,0.992,0.993,53.87,54.68,-0.138
0,ABCA7,0.0,,,0.846,0.573,49.77,52.5,-0.199,0.494,-0.74,0.963,0.964,50.3,49.56,-0.124
333,PLAUR,0.0,,,0.704,0.316,68.99,68.99,-0.012,,,0.545,0.604,68.99,68.99,-0.013
358,PTRF,0.0,0.648,1.09,1.0,0.99,52.18,53.27,-0.13,0.577,0.98,0.996,0.996,51.98,52.96,-0.119
359,PTTG1IP,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
360,PVR,0.0,1.648,-2.34,0.941,0.945,66.87,64.53,-0.025,3.215,-5.11,0.863,0.887,68.19,63.08,-0.023
361,PVRL2,0.0,0.32,0.22,0.963,0.964,60.83,61.05,-0.035,0.328,0.11,0.945,0.942,63.47,63.58,-0.03
362,QSOX2,0.0,1.741,-2.45,0.908,0.922,56.67,54.22,-0.042,,,0.651,0.355,68.99,68.99,-0.016
363,RAB14,0.0,,,0.078,0.033,68.99,68.99,-0.53,,,0.0,0.537,68.99,68.99,-0.485
357,PTPRS,0.0,0.332,0.26,0.998,0.997,48.18,48.44,-0.139,0.313,-0.06,0.998,0.991,48.01,47.95,-0.213
350,PRSS8,0.0,0.413,0.51,0.935,0.826,62.0,62.51,-0.027,0.6,-1.06,0.851,0.825,63.6,62.54,-0.027
349,PRPS2,0.0,0.467,0.66,0.987,0.987,60.23,60.89,-0.157,0.828,1.63,0.936,0.853,58.19,59.82,-0.061
348,PROCR,0.0,0.622,-0.73,0.95,0.959,61.62,60.89,-0.036,0.46,0.61,0.959,0.935,60.68,61.29,-0.034
347,PRNP,0.0,,,0.765,0.635,68.99,68.99,-0.021,0.63,1.13,0.903,0.942,56.95,58.08,-0.071
346,PRKCB,0.0,0.341,0.29,0.998,0.999,50.55,50.84,-0.248,0.36,-0.26,0.996,0.994,50.04,49.78,-0.175
345,PRKAR2A,0.0,0.42,0.53,1.0,1.0,50.85,51.38,-0.091,0.539,-0.88,0.998,0.998,51.09,50.21,-0.096
344,PRCP,0.0,,,0.0,0.0,68.99,37.0,-0.0,,,0.0,0.0,37.0,68.99,-0.0
343,PPP2CA,0.0,0.392,0.45,0.968,0.984,55.05,55.5,-0.072,0.444,-0.57,0.969,0.994,54.75,54.18,-0.083
342,PPME1,0.0,0.32,0.22,0.988,0.998,52.54,52.76,-0.136,0.467,-0.65,0.991,0.984,53.25,52.6,-0.164
