,Accession,Score,pVal (-log10),Rep1delta_SH,Rep2delta_SH,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_SH,Rep1Group2_SH,Rep1min_Slope,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_SH,Rep2Group2_SH,Rep2min_Slope
2725,TTC38,16.31,17.741,0.738,0.574,0.987,0.972,5.459,7.667,-0.166,0.996,0.983,5.775,7.368,-0.137
2945,ZFYVE28,8.166,8.848,0.33,0.61,0.975,0.986,3.509,5.285,-0.076,0.984,0.968,2.651,4.955,-0.118
1247,KARS,8.002,9.757,0.566,0.418,0.937,0.966,5.857,4.37,-0.299,0.922,0.86,6.133,5.069,-0.168
192,ARMC8,7.609,8.146,0.48,0.423,0.976,0.99,5.786,4.844,-1.056,0.932,0.987,5.738,4.586,-0.215
2526,STX4,6.069,7.824,0.367,0.519,0.978,0.901,4.911,6.566,-0.103,0.98,0.826,4.242,6.323,-0.112
2205,RMND5A,5.297,6.324,0.442,0.358,0.926,0.988,5.828,5.035,-1.046,0.979,0.959,5.524,4.552,-0.198
163,ARF5,5.025,6.151,0.338,0.451,0.966,0.936,6.265,7.155,-0.153,0.931,0.957,5.044,6.919,-0.095
2884,WDR26,5.022,5.278,0.46,0.273,0.983,0.993,5.771,4.881,-0.251,0.989,0.985,5.445,4.738,-0.143
2041,PSMC5,4.897,5.805,0.417,0.35,0.933,0.985,6.402,5.306,-0.15,0.99,0.962,6.603,5.91,-0.203
2146,RANBP9,4.868,5.011,0.476,0.239,0.99,0.995,5.495,4.6,-0.297,0.992,0.968,5.269,4.924,-0.177
2040,PSMC4,4.79,5.664,0.447,0.311,0.925,0.994,6.33,5.104,-0.157,0.985,0.971,6.336,5.597,-0.149
246,BAG2,4.305,7.224,0.49,0.362,0.877,0.88,6.541,7.42,-0.332,0.949,0.963,6.669,7.449,-0.211
935,FRYL,4.126,4.654,0.325,0.364,0.95,0.991,6.108,5.434,-0.343,0.943,0.974,6.039,5.509,-0.345
2785,UBR4,4.081,4.347,0.191,0.476,0.972,0.997,4.558,4.09,-0.198,0.977,0.993,4.536,3.822,-1.118
1101,HDAC6,3.932,4.034,0.336,0.308,0.997,0.99,4.255,5.55,-0.1,0.997,0.998,4.598,5.539,-0.099
2832,VAPA,3.892,4.666,0.325,0.366,0.952,0.959,7.53,7.048,-0.983,0.985,0.925,7.491,6.84,-0.253
732,DYNC1H1,3.826,4.191,0.488,0.168,0.965,0.991,5.394,4.698,-1.117,0.941,0.965,5.195,4.92,-0.237
2946,ZKSCAN1,3.713,3.838,0.157,0.786,0.995,0.989,3.218,2.86,-0.112,0.998,0.931,2.454,5.36,-0.138
1103,HDAC8,3.64,3.692,0.289,0.328,0.994,0.999,3.477,4.241,-0.127,0.999,0.995,3.79,4.676,-0.151
1467,MKLN1,3.632,3.745,0.386,0.234,0.988,0.996,5.598,4.774,-0.213,0.974,0.989,5.678,4.842,-0.113
1343,LONP1,3.495,4.158,0.459,0.194,0.942,0.973,7.315,6.008,-0.159,0.908,0.984,7.024,6.602,-0.159
2043,PSMD1,3.451,4.269,0.446,0.215,0.912,0.985,6.352,5.25,-0.164,0.979,0.972,6.411,6.02,-0.17
2541,SUOX,3.24,4.04,0.416,0.228,0.948,0.945,5.594,7.144,-0.129,0.946,0.92,6.043,6.812,-0.109
2394,SLC29A1,3.152,4.987,0.47,0.243,0.837,0.95,6.171,4.796,-0.948,0.956,0.972,6.174,5.515,-0.166
1313,LACE1,3.131,3.673,0.45,0.165,0.927,0.995,5.097,3.708,-0.194,0.977,0.979,4.406,4.207,-0.296
266,BLOC1S1|NA,3.119,3.408,0.278,0.315,0.986,0.97,6.132,6.624,-0.232,0.997,0.997,5.537,6.382,-0.132
2845,VPRBP,3.072,3.225,0.331,0.246,0.993,0.983,5.457,4.868,-0.221,0.979,0.963,4.981,4.503,-0.118
2495,SSRP1,3.054,3.772,0.465,0.158,0.948,0.949,4.839,6.12,-0.207,0.967,0.938,5.088,5.606,-0.087
