,Accession,Score,pVal (-log10),Rep1delta_SH,Rep2delta_SH,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_SH,Rep1Group2_SH,Rep1min_Slope,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_SH,Rep2Group2_SH,Rep2min_Slope
2725,TTC38,16.235,17.66,1.073,0.814,0.987,0.972,5.459,7.667,-0.166,0.996,0.983,5.775,7.368,-0.137
2945,ZFYVE28,12.436,13.475,0.648,1.009,0.975,0.986,3.509,5.285,-0.076,0.984,0.968,2.651,4.955,-0.118
1247,KARS,8.744,10.662,0.816,0.665,0.937,0.966,5.857,4.37,-0.299,0.922,0.86,6.133,5.069,-0.168
2526,STX4,8.533,11.0,0.645,0.858,0.978,0.901,4.911,6.566,-0.103,0.98,0.826,4.242,6.323,-0.112
163,ARF5,6.546,8.013,0.494,0.797,0.966,0.936,6.265,7.155,-0.153,0.931,0.957,5.044,6.919,-0.095
192,ARMC8,5.037,5.393,0.535,0.532,0.976,0.99,5.786,4.844,-1.056,0.932,0.987,5.738,4.586,-0.215
1101,HDAC6,4.73,4.854,0.554,0.461,0.997,0.99,4.255,5.55,-0.1,0.997,0.998,4.598,5.539,-0.099
2946,ZKSCAN1,4.649,4.805,0.244,1.254,0.995,0.989,3.218,2.86,-0.112,0.998,0.931,2.454,5.36,-0.138
2040,PSMC4,4.507,5.33,0.616,0.446,0.925,0.994,6.33,5.104,-0.157,0.985,0.971,6.336,5.597,-0.149
458,CIAO1,4.009,4.353,0.73,0.233,0.985,0.974,6.256,4.524,-0.084,0.991,0.943,5.492,5.336,-0.052
2041,PSMC5,3.981,4.72,0.561,0.439,0.933,0.985,6.402,5.306,-0.15,0.99,0.962,6.603,5.91,-0.203
2884,WDR26,3.786,3.978,0.551,0.37,0.983,0.993,5.771,4.881,-0.251,0.989,0.985,5.445,4.738,-0.143
1103,HDAC8,3.616,3.667,0.417,0.468,0.994,0.999,3.477,4.241,-0.127,0.999,0.995,3.79,4.676,-0.151
2205,RMND5A,3.607,4.307,0.498,0.459,0.926,0.988,5.828,5.035,-1.046,0.979,0.959,5.524,4.552,-0.198
2495,SSRP1,3.588,4.432,0.726,0.245,0.948,0.949,4.839,6.12,-0.207,0.967,0.938,5.088,5.606,-0.087
2541,SUOX,3.578,4.462,0.633,0.341,0.948,0.945,5.594,7.144,-0.129,0.946,0.92,6.043,6.812,-0.109
52,ACTR10,3.526,3.604,0.589,0.289,0.99,0.999,6.996,5.491,-0.095,0.96,0.976,6.507,5.788,-0.107
1077,H2AFV|H2AFZ,3.42,3.515,0.411,0.456,0.989,0.998,3.07,4.069,-0.149,0.997,0.986,3.118,4.25,-0.16
2146,RANBP9,3.346,3.445,0.536,0.322,0.99,0.995,5.495,4.6,-0.297,0.992,0.968,5.269,4.924,-0.177
1343,LONP1,3.317,3.946,0.667,0.25,0.942,0.973,7.315,6.008,-0.159,0.908,0.984,7.024,6.602,-0.159
398,CCT7,3.243,5.625,0.687,0.402,0.823,0.923,7.911,6.286,-0.078,0.879,0.923,7.886,7.283,-0.115
935,FRYL,3.19,3.598,0.438,0.439,0.95,0.991,6.108,5.434,-0.343,0.943,0.974,6.039,5.509,-0.345
1467,MKLN1,2.916,3.007,0.456,0.347,0.988,0.996,5.598,4.774,-0.213,0.974,0.989,5.678,4.842,-0.113
394,CCT3,2.772,4.218,0.756,0.192,0.837,0.968,7.232,5.704,-0.18,0.964,0.987,6.979,6.617,-0.181
2043,PSMD1,2.736,3.385,0.595,0.256,0.912,0.985,6.352,5.25,-0.164,0.979,0.972,6.411,6.02,-0.17
604,DBI,2.689,2.935,0.377,0.416,0.974,0.983,6.956,7.412,-0.142,0.985,0.925,6.886,7.876,-0.08
1838,PGP,2.687,3.162,0.312,0.511,0.963,0.957,7.275,8.001,-0.07,0.959,0.958,7.142,8.138,-0.108
2906,XIAP,2.664,2.753,0.116,0.885,0.989,0.994,3.959,4.129,-0.11,0.858,0.965,5.935,3.823,-0.4
2394,SLC29A1,2.664,4.216,0.594,0.353,0.837,0.95,6.171,4.796,-0.948,0.956,0.972,6.174,5.515,-0.166
1313,LACE1,2.627,3.082,0.634,0.179,0.927,0.995,5.097,3.708,-0.194,0.977,0.979,4.406,4.207,-0.296
2785,UBR4,2.626,2.798,0.248,0.527,0.972,0.997,4.558,4.09,-0.198,0.977,0.993,4.536,3.822,-1.118
1849,PHLDB1,2.567,2.658,0.161,0.595,0.997,0.986,4.343,4.07,-0.086,0.947,0.995,5.388,4.01,-0.091
246,BAG2,2.555,4.287,0.533,0.422,0.877,0.88,6.541,7.42,-0.332,0.949,0.963,6.669,7.449,-0.211
2647,TOE1,2.546,2.815,0.107,0.67,0.959,0.992,6.055,6.107,-0.103,0.961,0.942,5.621,6.892,-0.158
2845,VPRBP,2.482,2.605,0.383,0.365,0.993,0.983,5.457,4.868,-0.221,0.979,0.963,4.981,4.503,-0.118
1925,POP1,2.471,2.84,0.479,0.302,0.969,0.962,6.516,5.572,-0.091,0.986,0.946,6.383,6.142,-0.113
519,COPS8,2.45,3.277,0.716,0.122,0.9,0.961,7.093,5.44,-0.24,0.967,0.904,6.46,6.423,-0.18
2277,RPS8,2.438,3.269,0.564,0.273,0.928,0.93,5.226,4.666,-1.139,0.898,0.805,5.345,4.705,-0.053
266,BLOC1S1|NA,2.436,2.662,0.321,0.435,0.986,0.97,6.132,6.624,-0.232,0.997,0.997,5.537,6.382,-0.132
2045,PSMD11,2.414,2.654,0.41,0.345,0.968,0.985,5.519,4.785,-0.136,0.984,0.98,5.316,4.655,-0.1
833,ETHE1,2.407,3.234,0.64,0.192,0.926,0.932,8.256,6.841,-0.102,0.898,0.908,8.532,8.184,-0.117
2832,VAPA,2.402,2.88,0.346,0.44,0.952,0.959,7.53,7.048,-0.983,0.985,0.925,7.491,6.84,-0.253
2055,PSMD8,2.348,2.75,0.435,0.333,0.94,0.983,6.1,5.276,-0.125,0.981,0.968,6.234,5.758,-0.13
393,CCT2,2.3,3.56,0.604,0.268,0.823,0.977,7.48,6.323,-0.214,0.93,0.995,7.264,6.74,-0.145
2207,RNASEH2C,2.281,2.321,0.339,0.367,0.996,0.995,4.18,4.863,-0.163,0.992,0.988,3.902,4.692,-0.119
1996,PRKD2,2.278,2.538,0.536,0.202,0.956,0.991,4.756,3.622,-0.123,0.995,0.992,3.827,3.382,-0.119
64,ADK,2.268,2.696,0.494,0.266,0.98,0.936,6.942,7.769,-0.215,0.99,0.962,7.47,7.891,-0.173
2038,PSMC1,2.225,2.774,0.508,0.263,0.958,0.934,6.202,5.308,-0.14,0.983,0.963,6.255,5.873,-0.138
2039,PSMC2,2.218,2.401,0.496,0.222,0.972,0.988,6.206,5.209,-0.128,0.987,0.972,6.263,5.956,-0.123
2570,TATDN1,2.178,3.999,0.759,0.164,0.813,0.907,7.776,9.034,-0.347,0.915,0.942,7.797,7.809,-0.081
289,BUB1,2.152,2.404,0.324,0.394,0.953,0.993,5.377,4.505,-0.059,0.986,0.989,5.04,4.065,-0.069
1976,PRCP,2.151,3.068,0.634,0.177,0.938,0.893,6.822,8.331,-0.076,0.966,0.966,7.986,8.111,-0.12
114,ANAPC5,2.148,2.187,0.457,0.228,0.996,0.996,5.175,4.278,-0.135,0.985,0.969,5.268,4.924,-0.108
1502,MRPS9,2.143,2.853,0.45,0.333,0.886,0.979,5.091,3.998,-0.129,0.931,0.975,4.918,4.48,-0.271
409,CDC27,2.126,2.664,0.531,0.225,0.916,0.975,6.372,5.257,-0.207,0.96,0.986,5.263,5.069,-0.102
610,DCAF16,2.074,2.142,0.227,0.451,0.986,0.998,4.072,4.213,-0.166,0.943,1.0,3.475,4.22,-0.159
732,DYNC1H1,2.071,2.268,0.5,0.197,0.965,0.991,5.394,4.698,-1.117,0.941,0.965,5.195,4.92,-0.237
115,ANAPC7,1.997,2.091,0.34,0.33,0.984,0.993,5.174,4.513,-0.096,0.997,0.986,5.134,4.272,-0.072
1577,NCBP1,1.995,2.279,0.57,0.129,0.939,0.997,6.085,4.601,-0.101,0.998,0.995,4.836,4.534,-0.134
2434,SNRNP200,1.967,2.142,0.439,0.239,0.974,0.984,5.768,5.077,-0.734,0.956,0.974,5.345,5.012,-0.124
1883,PLG,1.946,2.403,0.502,0.216,0.921,0.977,7.191,6.111,-0.108,0.989,0.995,6.761,6.421,-0.172
594,CYB5R2,1.943,3.951,0.128,0.79,0.858,0.817,7.824,8.188,-0.028,0.966,0.82,6.862,8.839,-0.066
2046,PSMD12,1.927,2.103,0.466,0.206,0.966,0.991,5.357,4.531,-0.169,0.981,0.993,5.431,4.994,-0.103
2807,UPRT,1.919,2.137,0.372,0.305,0.969,0.978,6.199,5.273,-0.077,0.974,0.985,6.067,5.403,-0.095
733,DYNC1I2,1.917,3.307,0.285,0.556,0.816,0.933,6.733,6.141,-0.088,0.963,0.992,7.088,6.024,-0.148
2047,PSMD13,1.883,2.026,0.389,0.27,0.98,0.983,5.376,4.715,-0.166,0.987,0.991,5.35,4.791,-0.105
299,C12orf45,1.882,2.065,0.452,0.214,0.989,0.965,5.034,6.168,-0.059,0.962,0.963,6.916,7.117,-0.061
397,CCT6A,1.872,3.07,0.541,0.27,0.814,0.959,7.644,6.597,-0.142,0.886,0.988,7.444,6.921,-0.155
1887,PLOD3,1.825,2.137,0.542,0.135,0.969,0.953,6.035,5.131,-0.189,0.967,0.954,6.02,5.672,-0.085
407,CDC23,1.819,1.973,0.482,0.168,0.968,0.992,5.72,5.018,-1.088,0.967,0.932,4.95,4.584,-0.079
68,ADRM1,1.816,1.836,0.373,0.254,0.995,0.999,5.246,4.558,-0.176,0.986,0.973,5.335,4.779,-0.142
2507,STAT5B,1.769,2.067,0.314,0.352,0.929,0.996,3.193,3.713,-0.111,0.983,0.994,3.831,4.509,-0.114
1052,GSN,1.767,1.98,0.485,0.167,0.952,0.993,6.59,5.587,-0.233,0.991,0.997,6.324,6.105,-0.192
399,CCT8,1.745,2.599,0.453,0.294,0.905,0.905,7.797,6.804,-0.086,0.935,0.978,7.667,7.028,-0.086
1825,PFKL,1.733,2.13,0.58,0.095,0.915,0.985,7.944,6.444,-0.048,0.944,0.978,7.769,7.562,-0.06
1563,NARFL,1.724,2.172,0.585,0.097,0.926,0.963,5.045,6.328,-0.113,0.977,0.995,5.806,5.876,-0.108
2051,PSMD4,1.711,1.946,0.448,0.197,0.943,0.995,6.597,5.806,-0.12,0.992,0.97,6.703,6.321,-0.131
700,DNPH1,1.708,2.565,0.979,0.236,0.864,0.945,8.873,6.725,-0.194,0.943,0.885,6.833,7.474,-0.041
2369,SGSH,1.686,2.504,0.376,0.357,0.964,0.851,5.769,6.833,-0.043,0.94,0.99,6.646,7.679,-0.036
2922,YBX1,1.683,2.206,0.336,0.352,0.892,0.979,5.2,5.671,-0.142,0.965,0.964,5.456,5.825,-0.361
1405,MAPK8,1.675,1.703,0.483,0.119,0.999,0.993,3.238,4.181,-0.197,0.996,0.998,3.368,3.691,-0.155
1822,PFDN5,1.659,2.318,0.587,0.119,0.921,0.919,6.478,7.86,-0.082,0.974,0.957,7.254,7.519,-0.074
4,7-Sep,1.63,1.675,0.056,0.541,0.995,0.992,6.131,6.21,-0.181,0.951,0.997,5.362,6.187,-0.169
2960,ZNF638,1.627,1.688,0.362,0.238,0.995,0.986,3.632,4.73,-0.068,0.996,0.996,4.564,4.89,-0.09
423,CDK9,1.624,1.703,0.476,0.127,0.99,0.987,5.05,3.909,-0.13,0.964,0.999,4.109,3.849,-0.112
2149,RAPGEF1|DKFZp781P1719,1.619,1.69,0.192,0.409,0.988,0.991,4.295,4.007,-0.191,0.813,0.977,5.604,4.513,-0.185
1019,GNB1L,1.618,1.685,0.263,0.336,0.995,0.985,6.108,6.773,-0.064,0.993,0.993,6.146,6.889,-0.084
2958,ZNF618,1.617,1.965,0.402,0.246,0.964,0.941,4.974,6.102,-0.046,0.958,0.988,5.558,6.067,-0.055
264,BIRC6,1.595,1.788,0.387,0.232,0.952,0.993,5.106,4.599,-0.279,0.897,0.985,5.04,4.674,-0.935
58,ADAL,1.584,3.586,0.571,0.305,0.807,0.823,8.233,9.28,-0.243,0.902,0.923,8.301,8.847,-0.115
2053,PSMD6,1.572,1.649,0.323,0.27,0.988,0.989,5.619,4.984,-0.12,0.996,0.972,5.819,5.156,-0.072
1671,NT5C,1.555,1.922,0.238,0.403,0.951,0.946,6.861,7.41,-0.062,0.907,0.944,7.897,8.432,-0.162
1522,MTOR,1.533,1.639,0.232,0.359,0.974,0.993,4.315,3.848,-0.196,0.974,0.989,4.352,3.837,-0.182
1063,GTF2B,1.526,1.541,0.262,0.31,0.997,0.998,3.695,4.072,-0.296,0.99,0.994,3.75,3.987,-0.285
327,CAD,1.522,1.678,0.269,0.329,0.959,0.993,4.831,4.415,-0.235,0.978,0.992,4.371,3.832,-0.22
273,BOLA2,1.512,1.615,0.358,0.228,0.975,0.992,4.469,4.878,-0.116,0.999,0.996,4.745,5.197,-0.14
800,ELP3,1.5,1.833,0.391,0.235,0.919,0.984,6.939,6.085,-0.108,0.99,0.955,6.427,6.091,-0.169
1498,MRPL48,1.498,1.998,0.338,0.316,0.905,0.956,4.032,3.976,-0.149,0.869,0.928,4.443,3.654,-0.121
1102,HDAC7,1.495,1.59,0.384,0.198,0.976,0.993,5.175,4.238,-0.091,0.996,0.998,4.876,4.445,-0.094
1413,MARS2,1.488,1.767,0.455,0.159,0.955,0.961,6.492,7.642,-0.063,0.961,0.935,7.877,8.13,-0.113
2896,WDR73,1.487,1.563,0.207,0.369,0.99,0.985,5.756,6.267,-0.074,0.997,0.988,5.319,6.089,-0.093
20,ABHD14B,1.486,1.693,0.435,0.166,0.964,0.971,5.377,4.748,-0.136,0.995,0.986,4.972,4.865,-0.085
2831,VAC14,1.481,1.664,0.258,0.337,0.983,0.96,5.739,5.408,-0.131,0.894,0.947,6.124,5.645,-0.174
636,DDX41,1.48,1.548,0.117,0.457,0.988,0.99,2.768,3.082,-0.098,0.994,0.976,2.815,3.837,-0.115
1310,KTN1,1.477,1.977,0.512,0.139,0.892,0.969,6.631,5.262,-0.09,0.994,0.968,5.687,5.427,-0.101
2050,PSMD3,1.476,1.552,0.356,0.219,0.988,0.987,5.666,5.021,-0.115,0.992,0.98,5.596,5.197,-0.091
2054,PSMD7,1.471,2.038,0.44,0.221,0.937,0.907,5.214,4.786,-1.148,0.983,0.975,5.501,5.111,-0.102
1141,HNRNPA1,1.468,1.562,0.2,0.377,0.973,0.997,4.999,5.38,-0.152,0.991,0.978,5.004,5.381,-0.394
2305,SAP30BP,1.467,1.739,0.52,0.089,0.94,0.977,4.894,6.369,-0.06,0.982,0.926,5.65,5.877,-0.047
2829,USP9X,1.457,1.502,0.186,0.379,0.996,0.988,4.471,4.171,-0.177,0.986,0.986,4.532,3.971,-0.253
2270,RPS5,1.399,2.495,0.635,0.097,0.872,0.859,6.626,5.38,-0.12,0.851,0.832,7.419,7.367,-1.012
2731,TUBB2A,1.396,1.491,0.65,0.087,0.974,0.994,5.172,6.581,-0.107,0.994,0.963,6.894,6.77,-0.119
1013,GMPPB,1.393,1.654,0.8,0.206,0.983,0.934,4.932,6.896,-0.144,0.995,0.965,6.245,5.714,-0.083
2574,TBC1D10B,1.388,1.543,0.367,0.206,0.961,0.987,4.044,4.506,-0.138,0.993,0.993,3.832,4.299,-0.09
2771,UBE2V1,1.386,1.449,0.306,0.248,0.983,0.995,6.166,6.816,-0.149,0.99,0.958,6.141,6.385,-0.191
2011,PRPF8,1.381,1.535,0.189,0.382,0.978,0.97,4.686,4.398,-0.177,0.974,0.984,4.91,4.37,-0.55
1711,OGDH,1.379,1.626,0.433,0.155,0.966,0.954,5.625,4.878,-0.272,0.9,0.945,5.644,5.518,-1.109
1073,GTSF1,1.378,2.202,0.236,0.451,0.851,0.93,6.703,7.361,-0.046,0.915,0.821,6.121,7.34,-0.051
2238,RPL23,1.378,1.489,0.317,0.245,0.98,0.981,4.422,5.081,-0.134,0.996,0.973,4.48,5.147,-0.092
2697,TRMT112,1.377,1.655,0.362,0.232,0.954,0.956,6.486,7.24,-0.153,0.977,0.981,5.655,6.18,-0.062
1271,KIAA1468,1.376,1.433,0.33,0.22,0.982,0.998,3.578,4.255,-0.114,0.998,0.998,3.867,3.942,-0.152
2561,TAF7,1.362,1.708,0.334,0.27,0.94,0.949,5.544,6.334,-0.074,0.996,0.951,5.543,5.964,-0.085
469,CLIC2,1.349,1.396,0.399,0.144,0.995,0.988,3.924,4.176,-0.194,0.998,0.997,3.786,4.14,-0.134
450,CHMP2B,1.347,1.399,0.284,0.26,0.993,0.988,5.957,6.568,-0.132,0.983,0.99,5.488,6.118,-0.077
1559,NAPA,1.344,1.53,0.339,0.231,0.957,0.979,5.005,5.561,-0.129,0.989,0.973,5.034,5.373,-0.129
1490,MOV10,1.344,1.37,0.4,0.138,0.995,0.995,5.816,5.01,-0.143,0.988,0.988,5.915,5.705,-0.169
2315,SBNO1,1.326,1.357,0.227,0.308,0.996,0.993,4.841,4.59,-0.173,0.995,0.955,4.827,4.376,-0.145
2889,WDR45B,1.319,1.991,0.215,0.438,0.918,0.887,8.208,7.724,-0.05,0.889,0.903,8.303,7.151,-0.052
2268,RPS3A,1.316,1.86,0.558,0.072,0.939,0.896,5.389,4.638,-1.161,0.944,0.896,5.477,5.292,-0.066
1687,NUDT3,1.305,1.555,0.121,0.454,0.991,0.924,6.996,7.167,-0.133,0.915,0.924,6.518,7.33,-0.127
2675,TRAPPC1,1.299,1.765,0.713,0.098,0.871,0.985,4.99,5.779,-0.103,0.977,0.99,5.335,5.123,-0.075
2853,VPS29,1.287,1.378,0.301,0.238,0.995,0.971,6.382,6.995,-0.093,0.997,0.967,6.515,6.989,-0.142
1203,IKBKAP,1.283,1.415,0.432,0.115,0.966,0.986,6.243,5.395,-0.131,0.971,0.97,6.262,6.032,-0.12
296,C11orf68,1.283,1.495,0.209,0.354,0.939,0.987,5.082,5.39,-0.326,0.99,0.987,5.018,5.496,-1.134
1425,MCM2,1.282,1.358,0.328,0.207,0.973,0.999,5.409,5.056,-1.129,0.992,0.998,5.521,5.254,-1.122
2708,TSC2,1.278,1.321,0.256,0.272,0.997,0.986,3.986,3.613,-0.121,0.987,0.996,4.116,3.458,-0.107
2496,SSSCA1,1.275,1.533,0.358,0.213,0.939,0.971,7.384,6.529,-0.095,0.926,0.98,7.076,6.949,-0.13
2667,TPP2,1.274,1.508,0.644,0.078,0.948,0.969,7.084,6.135,-0.292,0.956,0.961,6.514,6.655,-0.085
1071,GTPBP1,1.273,1.329,0.477,0.052,0.991,0.987,4.299,5.028,-0.209,0.998,0.994,4.702,4.733,-0.143
722,DTL,1.271,1.35,0.362,0.172,0.991,0.979,4.595,3.792,-0.111,0.989,0.989,3.763,3.35,-0.081
2682,TRAPPC6B,1.271,1.517,0.246,0.321,0.964,0.949,6.643,6.415,-0.132,0.955,0.946,6.515,5.936,-0.097
1333,LGALS1,1.268,1.369,0.124,0.414,0.986,0.976,7.306,7.591,-0.097,0.984,0.969,6.579,7.427,-0.101
1415,MAT2B,1.266,1.369,0.438,0.099,0.969,0.992,7.9,7.231,-0.193,0.987,0.977,6.574,6.35,-0.064
1520,MTMR9,1.248,1.453,0.33,0.225,0.93,0.997,4.759,4.989,-1.07,0.995,0.998,4.586,5.109,-0.198
686,DNAJC13,1.244,1.355,0.443,0.092,0.963,0.995,5.776,4.826,-0.2,0.997,0.984,5.054,4.84,-0.16
1625,NFYB,1.236,1.606,0.659,0.075,0.911,0.963,4.768,6.064,-0.099,0.993,0.989,6.33,6.186,-0.128
