,Accession,Score,p_Val (-log10),Group1_R2,Group2_R2,RSS_Null,RSS_Alt,RSS_Diff
1101,HDAC6,3.983,4.085,0.994,0.993,0.038,0.289,0.251
2725,TTC38,3.841,4.16,0.989,0.972,0.12,1.059,0.939
1077,H2AFV|H2AFZ,3.645,3.79,0.991,0.99,0.051,0.244,0.193
1103,HDAC8,3.253,3.407,0.985,0.992,0.072,0.24,0.167
1704,NUP93,3.055,3.065,0.999,1.0,0.005,0.012,0.008
1019,GNB1L,3.018,3.149,0.994,0.985,0.051,0.142,0.09
1063,GTF2B,2.961,3.041,0.993,0.994,0.043,0.11,0.068
2945,ZFYVE28,2.928,3.537,0.941,0.967,0.221,0.816,0.595
2884,WDR26,2.869,3.07,0.98,0.986,0.115,0.303,0.187
2207,RNASEH2C,2.868,3.015,0.986,0.989,0.07,0.177,0.107
2070,PTGES3,2.706,2.725,0.997,0.999,0.012,0.026,0.014
260,BCR,2.704,2.8,0.989,0.994,0.037,0.083,0.046
1467,MKLN1,2.701,2.899,0.977,0.988,0.114,0.271,0.157
52,ACTR10,2.685,2.986,0.965,0.983,0.138,0.346,0.207
1736,PA2G4,2.682,2.704,0.997,0.999,0.013,0.028,0.015
115,ANAPC7,2.672,2.826,0.985,0.988,0.076,0.174,0.098
2558,TAF12,2.631,2.679,0.997,0.994,0.025,0.053,0.028
990,GIT1,2.63,2.675,0.994,0.997,0.023,0.05,0.027
1030,GORAB,2.612,2.689,0.996,0.989,0.046,0.099,0.053
794,EIF5A,2.608,2.655,0.996,0.995,0.028,0.06,0.032
1405,MAPK8,2.577,2.697,0.996,0.981,0.073,0.157,0.084
1487,MORC2,2.467,2.557,0.997,0.985,0.05,0.1,0.051
266,BLOC1S1|NA,2.443,2.655,0.98,0.979,0.137,0.289,0.152
2759,UBAC1,2.441,2.462,0.997,0.998,0.014,0.027,0.013
2585,TBCB,2.439,2.496,0.992,0.997,0.05,0.098,0.048
2146,RANBP9,2.421,2.612,0.988,0.974,0.137,0.284,0.147
1102,HDAC7,2.409,2.538,0.98,0.994,0.08,0.161,0.08
2708,TSC2,2.321,2.434,0.988,0.988,0.062,0.119,0.057
2360,SETMAR,2.319,2.401,0.986,0.997,0.05,0.094,0.044
289,BUB1,2.303,2.55,0.966,0.984,0.121,0.244,0.123
2896,WDR73,2.296,2.443,0.986,0.983,0.086,0.165,0.079
1440,MED18,2.271,2.32,0.997,0.992,0.03,0.056,0.025
192,ARMC8,2.259,2.599,0.951,0.98,0.287,0.591,0.304
2040,PSMC4,2.251,2.621,0.951,0.975,0.28,0.583,0.302
68,ADRM1,2.251,2.39,0.99,0.981,0.099,0.187,0.088
948,GABARAPL2,2.251,2.366,0.988,0.987,0.079,0.148,0.069
2849,VPS18,2.237,2.291,0.994,0.994,0.034,0.062,0.028
974,GDAP2,2.234,2.332,0.99,0.989,0.053,0.097,0.044
