,Accession,Score,Rep1pVal (-log10),Rep1delta_Tm,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_Tm,Rep1Group2_Tm,Rep1min_Slope,Rep2pVal (-log10),Rep2delta_Tm,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_Tm,Rep2Group2_Tm,Rep2min_Slope
2945,ZFYVE28,13.859,4.319,5.42,0.975,0.986,46.23,51.65,-0.076,10.878,7.66,0.984,0.968,43.08,50.74,-0.118
2725,TTC38,11.485,6.38,6.85,0.987,0.972,52.57,59.42,-0.166,5.86,5.38,0.996,0.983,53.35,58.73,-0.137
2526,STX4,7.177,3.017,4.31,0.978,0.901,50.71,55.02,-0.103,7.373,6.15,0.98,0.826,48.6,54.75,-0.112
1101,HDAC6,5.307,2.729,4.03,0.997,0.99,48.73,52.76,-0.1,2.673,3.28,0.997,0.998,49.48,52.76,-0.099
2015,PRRC1,4.312,1.251,2.21,0.809,0.885,51.76,53.97,-0.091,4.793,4.77,0.961,0.91,52.65,57.42,-0.153
1103,HDAC8,3.482,1.519,2.61,0.994,0.999,46.29,48.9,-0.127,2.01,2.68,0.999,0.995,47.22,49.9,-0.151
2495,SSRP1,3.326,2.902,4.2,0.948,0.949,50.31,54.51,-0.207,1.187,1.74,0.967,0.938,51.23,52.97,-0.087
1838,PGP,3.241,1.456,2.52,0.963,0.957,58.88,61.4,-0.07,2.372,3.02,0.959,0.958,58.56,61.58,-0.108
1077,H2AFV|H2AFZ,3.035,1.309,2.3,0.989,0.998,44.78,47.08,-0.149,1.823,2.49,0.997,0.986,44.32,46.81,-0.16
1019,GNB1L,3.027,1.309,2.3,0.995,0.985,54.54,56.84,-0.064,1.823,2.49,0.993,0.993,54.66,57.15,-0.084
2561,TAF7,2.951,1.68,2.83,0.94,0.949,51.63,54.46,-0.074,1.795,2.46,0.996,0.951,51.61,54.07,-0.085
246,BAG2,1.926,1.239,2.19,0.877,0.88,55.54,57.73,-0.332,1.422,2.04,0.949,0.963,56.22,58.26,-0.211
1981,PRDX5,0.0,0.438,-0.47,0.986,0.984,60.29,59.82,-0.119,1.823,2.49,0.989,0.97,57.49,59.98,-0.124
1977,PRDX1,0.0,0.434,-0.46,0.951,0.998,54.16,53.7,-0.148,0.584,0.74,0.995,0.998,53.42,54.16,-0.14
1978,PRDX2,0.0,0.373,-0.26,0.991,0.997,55.78,55.52,-0.184,0.437,0.4,0.998,0.988,55.99,56.39,-0.161
