,Accession,Score,pVal (-log10),Rep1delta_SH,Rep2delta_SH,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_SH,Rep1Group2_SH,Rep1min_Slope,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_SH,Rep2Group2_SH,Rep2min_Slope
647,IPI00012891.1,23.352,34.871,3.536,4.437,0.993,0.824,4.331,7.868,-0.085,0.939,0.885,4.406,8.842,-0.134
4387,IPI00908444.1,22.325,34.752,3.978,3.982,0.891,0.9,3.918,7.896,-0.08,0.949,0.846,4.195,8.177,-0.098
2421,IPI00290239.2,17.33,18.529,3.284,2.569,0.98,0.986,3.437,6.72,-0.08,0.993,0.992,3.873,6.442,-0.077
707,IPI00014068.1,16.37,16.983,2.343,3.266,0.996,0.986,4.078,6.392,-0.152,0.996,0.975,3.684,6.95,-0.159
2975,IPI00337426.1,16.032,24.193,3.301,3.365,0.985,0.826,4.683,7.984,-0.09,0.997,0.939,4.552,7.916,-0.103
2637,IPI00298940.3,15.909,16.364,3.154,2.355,0.991,0.995,3.026,6.18,-0.094,0.997,0.989,3.604,5.959,-0.095
572,IPI00011488.4,13.821,14.16,2.975,2.159,0.997,0.991,4.484,7.46,-0.11,0.997,0.984,4.637,6.796,-0.092
4451,IPI00916402.1,11.223,16.579,3.022,2.522,0.998,0.825,4.49,7.484,-0.157,1.0,0.922,4.82,7.314,-0.128
2161,IPI00216190.1,10.202,10.511,2.154,2.287,0.991,0.994,4.288,6.442,-0.097,0.996,0.995,4.286,6.573,-0.145
3204,IPI00411984.5,8.744,9.757,2.456,1.827,0.977,0.969,4.96,7.415,-0.074,0.996,0.982,5.234,7.06,-0.111
1511,IPI00031681.1,8.351,9.248,1.671,2.501,0.998,0.952,5.779,7.434,-0.112,0.999,0.957,5.665,8.166,-0.102
3803,IPI00655852.1,7.722,8.668,1.861,2.181,0.998,0.945,3.381,5.242,-0.118,0.987,0.937,3.393,5.574,-0.125
3120,IPI00396630.3,7.687,8.633,1.627,2.407,0.949,0.995,5.29,6.88,-0.192,0.994,0.965,5.167,7.575,-0.182
3629,IPI00554589.3,7.653,7.806,2.078,1.763,0.999,0.991,3.994,6.072,-0.126,0.999,0.992,4.04,5.803,-0.097
1148,IPI00023530.7,7.604,7.671,1.807,2.001,0.997,0.999,3.447,5.254,-0.16,0.999,0.997,3.362,5.363,-0.144
3640,IPI00555838.1,6.987,7.909,2.161,1.704,0.98,0.959,2.618,4.744,-0.153,0.992,0.989,2.815,4.519,-0.12
1843,IPI00151170.4,6.133,6.456,2.245,1.253,0.979,0.995,3.117,5.362,-0.14,0.996,0.99,3.987,5.24,-0.079
3837,IPI00737174.1,5.754,6.394,3.008,0.474,0.96,0.988,3.351,6.36,-0.094,0.983,0.991,5.237,5.711,-0.045
3015,IPI00376955.3,5.327,5.953,2.015,1.347,0.971,0.974,4.54,6.555,-0.085,0.961,0.976,4.257,5.604,-0.076
1331,IPI00027251.1,5.04,5.163,1.596,1.537,0.997,0.991,3.629,5.225,-0.12,0.996,0.997,3.68,5.217,-0.144
2296,IPI00219604.3,5.039,5.137,1.284,1.842,0.999,0.992,5.589,6.86,-0.195,0.999,0.977,5.218,7.036,-0.204
2477,IPI00292228.1,4.915,5.25,1.522,1.638,0.996,0.971,5.232,6.753,-0.238,0.997,0.987,4.571,6.208,-0.206
185,IPI00004317.1,4.822,6.157,3.642,0.224,0.903,0.98,6.501,2.859,-0.092,0.989,0.989,2.824,3.016,-0.101
1999,IPI00170508.1,4.712,5.263,2.072,1.091,0.992,0.954,5.961,8.032,-0.082,0.993,0.982,6.037,7.125,-0.059
2716,IPI00302112.1,4.707,4.78,1.193,1.822,0.997,0.996,3.96,5.153,-0.118,0.998,0.994,3.384,5.206,-0.116
