,Accession,Score,p_Val (-log10),Group1_R2,Group2_R2,RSS_Null,RSS_Alt,RSS_Diff
1148,IPI00023530.7,4.46,4.508,0.997,0.997,0.017,0.835,0.819
1957,IPI00166749.3,4.347,4.39,0.998,0.997,0.016,0.304,0.288
159,IPI00003783.1,4.345,4.405,0.995,0.998,0.022,0.466,0.444
666,IPI00013212.1,4.344,4.392,0.997,0.997,0.02,0.379,0.36
370,IPI00007641.2,4.294,4.368,0.994,0.998,0.022,0.387,0.364
3629,IPI00554589.3,4.264,4.379,0.999,0.988,0.038,0.693,0.655
108,IPI00002538.1,4.237,4.316,0.996,0.995,0.023,0.319,0.296
1331,IPI00027251.1,4.225,4.323,0.995,0.994,0.038,0.545,0.506
624,IPI00012497.2,4.167,4.274,0.998,0.989,0.04,0.486,0.445
2161,IPI00216190.1,4.091,4.307,0.983,0.991,0.071,0.956,0.884
1404,IPI00029263.2,4.068,4.225,0.983,0.998,0.045,0.463,0.418
2422,IPI00290279.1,4.059,4.131,0.994,0.997,0.029,0.237,0.208
1201,IPI00024539.1,4.044,4.133,0.993,0.996,0.036,0.295,0.26
3219,IPI00412672.1,4.034,4.095,0.996,0.996,0.024,0.18,0.157
1834,IPI00149094.4,4.03,4.152,0.994,0.991,0.041,0.354,0.313
2716,IPI00302112.1,4.009,4.168,0.987,0.993,0.055,0.497,0.442
3234,IPI00413961.3,3.984,4.088,0.996,0.992,0.038,0.289,0.25
1903,IPI00160672.1,3.974,4.096,0.99,0.995,0.046,0.351,0.306
2296,IPI00219604.3,3.97,4.182,0.992,0.982,0.081,0.752,0.671
1212,IPI00024674.2,3.97,4.04,0.994,0.997,0.028,0.196,0.167
2568,IPI00296283.3,3.955,4.141,0.993,0.985,0.063,0.529,0.466
2333,IPI00220306.1,3.947,4.097,0.993,0.988,0.051,0.395,0.343
3293,IPI00423156.1,3.945,4.062,0.989,0.996,0.042,0.302,0.26
1268,IPI00026054.1,3.93,3.963,0.998,0.997,0.014,0.087,0.073
968,IPI00019640.1,3.874,4.006,0.988,0.996,0.04,0.259,0.219
3534,IPI00514275.2,3.872,4.02,0.996,0.986,0.048,0.323,0.274
2822,IPI00306406.4,3.835,3.921,0.991,0.998,0.028,0.158,0.13
1014,IPI00020898.1,3.828,3.899,0.996,0.995,0.03,0.163,0.134
901,IPI00018195.3,3.814,3.888,0.997,0.993,0.024,0.133,0.108
3635,IPI00554752.3,3.809,3.929,0.996,0.989,0.038,0.217,0.179
3204,IPI00411984.5,3.752,4.123,0.983,0.97,0.101,0.824,0.723
4240,IPI00872754.1,3.724,3.866,0.994,0.987,0.061,0.324,0.263
