,Accession,Score,Rep1pVal (-log10),Rep1delta_Tm,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_Tm,Rep1Group2_Tm,Rep1min_Slope,Rep2pVal (-log10),Rep2delta_Tm,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_Tm,Rep2Group2_Tm,Rep2min_Slope
4387,IPI00908444.1,26.732,18.771,18.53,0.891,0.9,46.17,64.7,-0.08,22.784,14.67,0.949,0.846,49.34,64.01,-0.098
2975,IPI00337426.1,25.998,13.436,15.47,0.985,0.826,49.74,65.21,-0.09,19.494,13.52,0.997,0.939,49.59,63.11,-0.103
647,IPI00012891.1,24.194,12.42,14.82,0.993,0.824,49.64,64.46,-0.085,22.992,14.74,0.939,0.885,50.56,65.3,-0.134
4451,IPI00916402.1,15.319,7.648,11.31,0.998,0.825,50.68,61.99,-0.157,11.94,10.43,1.0,0.922,50.8,61.23,-0.128
2421,IPI00290239.2,15.223,7.39,11.09,0.98,0.986,47.31,58.4,-0.08,8.573,8.72,0.993,0.992,48.75,57.47,-0.077
707,IPI00014068.1,14.177,4.008,7.71,0.996,0.986,49.68,57.39,-0.152,10.936,9.95,0.996,0.975,49.22,59.17,-0.159
2637,IPI00298940.3,12.974,6.177,10.0,0.991,0.995,46.5,56.5,-0.094,7.166,7.9,0.997,0.989,48.0,55.9,-0.095
572,IPI00011488.4,11.803,5.65,9.49,0.997,0.991,51.02,60.51,-0.11,6.528,7.5,0.997,0.984,51.14,58.64,-0.092
1511,IPI00031681.1,11.636,3.523,7.11,0.998,0.952,54.01,61.12,-0.112,9.252,9.09,0.999,0.957,53.97,63.06,-0.102
3120,IPI00396630.3,9.079,2.632,5.87,0.949,0.995,53.03,58.9,-0.192,7.314,7.99,0.994,0.965,53.11,61.1,-0.182
3204,IPI00411984.5,8.5,4.228,7.97,0.977,0.969,52.79,60.76,-0.074,4.923,6.39,0.996,0.982,53.19,59.58,-0.111
2161,IPI00216190.1,8.325,3.37,6.91,0.991,0.994,50.13,57.04,-0.097,5.153,6.56,0.996,0.995,50.65,57.21,-0.145
3629,IPI00554589.3,6.833,2.995,6.4,0.999,0.991,49.61,56.01,-0.126,3.966,5.63,0.999,0.992,49.6,55.23,-0.097
1148,IPI00023530.7,6.815,2.394,5.5,0.997,0.999,47.96,53.46,-0.16,4.481,6.05,0.999,0.997,47.64,53.69,-0.144
3640,IPI00555838.1,6.303,3.362,6.9,0.98,0.959,44.85,51.75,-0.153,3.463,5.19,0.992,0.989,45.92,51.11,-0.12
3803,IPI00655852.1,6.262,2.217,5.21,0.998,0.945,47.5,52.71,-0.118,5.017,6.46,0.987,0.937,47.39,53.85,-0.125
2296,IPI00219604.3,6.236,1.732,4.34,0.999,0.992,54.27,58.61,-0.195,4.765,6.27,0.999,0.977,53.14,59.41,-0.204
1843,IPI00151170.4,5.382,3.469,7.04,0.979,0.995,46.31,53.35,-0.14,2.148,3.83,0.996,0.99,48.63,52.46,-0.079
2716,IPI00302112.1,5.07,1.303,3.44,0.997,0.996,49.31,52.75,-0.118,3.848,5.53,0.998,0.994,47.78,53.31,-0.116
2477,IPI00292228.1,4.841,1.968,4.78,0.996,0.971,52.36,57.14,-0.238,3.101,4.85,0.997,0.987,51.37,56.22,-0.206
3015,IPI00376955.3,4.729,2.834,6.17,0.971,0.974,50.94,57.11,-0.085,2.489,4.22,0.961,0.976,50.46,54.68,-0.076
2568,IPI00296283.3,4.48,2.116,5.04,0.998,0.996,53.7,58.74,-0.134,2.47,4.2,0.996,0.987,54.04,58.24,-0.163
1331,IPI00027251.1,4.389,1.853,4.57,0.997,0.991,48.83,53.4,-0.12,2.618,4.36,0.996,0.997,49.05,53.41,-0.144
624,IPI00012497.2,4.385,1.67,4.22,0.997,0.995,48.56,52.78,-0.146,2.829,4.58,0.999,0.985,48.55,53.13,-0.126
159,IPI00003783.1,4.313,1.356,3.56,0.999,0.999,51.17,54.73,-0.152,2.978,4.73,0.999,0.998,50.36,55.09,-0.142
2333,IPI00220306.1,4.213,1.494,3.86,0.991,0.991,47.62,51.48,-0.103,2.829,4.58,0.996,0.994,47.83,52.41,-0.098
3534,IPI00514275.2,4.033,1.451,3.77,0.997,0.991,52.04,55.81,-0.105,2.675,4.42,0.996,0.993,52.38,56.8,-0.097
1404,IPI00029263.2,3.901,1.789,4.45,0.984,1.0,45.27,49.72,-0.158,2.241,3.94,0.986,0.998,45.78,49.72,-0.151
1834,IPI00149094.4,3.899,1.518,3.91,0.996,0.991,47.01,50.92,-0.102,2.47,4.2,0.996,0.994,47.32,51.52,-0.121
3293,IPI00423156.1,3.766,1.255,3.33,0.998,0.999,50.98,54.31,-0.117,2.618,4.36,0.982,0.998,50.84,55.2,-0.103
370,IPI00007641.2,3.622,1.307,3.45,0.996,0.996,50.35,53.8,-0.142,2.354,4.07,0.996,1.0,49.78,53.85,-0.135
108,IPI00002538.1,3.507,1.255,3.33,0.997,0.996,47.99,51.32,-0.119,2.301,4.01,0.997,0.996,47.46,51.47,-0.124
1903,IPI00160672.1,3.325,1.347,3.54,0.987,0.997,50.89,54.43,-0.138,2.065,3.73,0.996,0.994,50.91,54.64,-0.118
2948,IPI00333559.1,3.272,1.084,2.91,0.957,0.986,47.93,50.84,-0.09,2.336,4.05,0.999,0.994,47.94,51.99,-0.12
3234,IPI00413961.3,3.215,1.151,3.08,0.995,0.994,53.59,56.67,-0.155,2.123,3.8,0.999,0.994,53.18,56.98,-0.134
1800,IPI00105532.3,3.187,1.135,3.04,0.977,0.998,46.91,49.95,-0.085,2.165,3.85,0.991,0.996,48.19,52.04,-0.076
2099,IPI00183118.4,3.141,1.392,3.64,0.983,0.995,46.38,50.02,-0.102,1.843,3.45,0.997,0.994,47.31,50.76,-0.096
666,IPI00013212.1,3.117,1.041,2.8,1.0,0.996,50.43,53.23,-0.187,2.09,3.76,0.999,1.0,49.93,53.69,-0.168
2958,IPI00335101.1,3.056,1.566,4.01,0.981,0.983,47.37,51.38,-0.09,1.851,3.46,0.987,0.941,48.12,51.58,-0.111
2514,IPI00293652.1,2.956,1.285,3.4,0.973,0.999,45.28,48.68,-0.118,1.783,3.37,0.99,0.998,46.47,49.84,-0.103
4380,IPI00903296.1,2.905,1.23,3.27,0.963,0.994,47.0,50.27,-0.133,1.836,3.44,0.988,0.996,47.28,50.72,-0.11
2629,IPI00298625.2,2.865,1.127,3.02,0.99,0.99,51.57,54.59,-0.101,1.836,3.44,0.989,0.996,49.94,53.38,-0.102
1957,IPI00166749.3,2.663,1.151,3.08,1.0,0.997,48.89,51.97,-0.196,1.525,3.01,0.999,1.0,49.14,52.15,-0.136
1370,IPI00028266.1,2.643,1.131,3.03,0.975,0.997,46.12,49.15,-0.098,1.629,3.16,0.985,0.998,46.44,49.6,-0.085
4240,IPI00872754.1,2.622,1.217,3.24,0.996,0.983,51.78,55.02,-0.153,1.484,2.95,0.998,0.992,51.77,54.72,-0.143
968,IPI00019640.1,2.494,1.068,2.87,0.99,0.999,45.24,48.11,-0.162,1.491,2.96,0.991,0.995,45.04,48.0,-0.158
3464,IPI00477563.2,2.417,1.329,3.5,0.963,0.995,44.62,48.12,-0.191,1.247,2.58,0.983,0.996,46.91,49.49,-0.101
2952,IPI00334514.2,0.0,0.303,0.07,0.992,0.993,47.1,47.17,-0.091,0.427,0.76,0.994,0.997,48.38,49.14,-0.087
2977,IPI00337495.3,0.0,0.492,-0.89,0.995,0.995,50.66,49.77,-0.083,0.605,-0.68,0.995,0.997,51.03,50.35,-0.079
2976,IPI00337460.3,0.0,0.667,-1.56,0.963,0.999,54.63,53.07,-0.144,0.396,-0.06,0.994,0.996,53.59,53.53,-0.112
3063,IPI00385950.7,0.0,0.83,-2.09,0.997,0.996,50.06,47.97,-0.139,0.589,-0.64,0.997,0.992,50.36,49.72,-0.125
2978,IPI00337530.4,0.0,0.345,-0.19,0.992,0.989,54.26,54.07,-0.069,0.666,1.43,0.994,0.996,53.77,55.2,-0.067
3056,IPI00385034.6,0.0,1.103,2.96,0.966,0.914,64.03,66.99,-0.029,1.488,-2.36,0.98,0.995,62.52,60.16,-0.038
2974,IPI00337397.1,0.0,0.582,-1.25,0.991,0.997,49.62,48.37,-0.088,0.457,-0.26,0.996,0.993,49.74,49.48,-0.094
2973,IPI00337386.3,0.0,0.801,-2.0,0.939,0.996,51.85,49.85,-0.088,0.414,-0.12,0.996,0.987,52.02,51.9,-0.103
2972,IPI00337315.1,0.0,,,0.976,0.839,60.73,66.99,-0.036,0.668,-0.84,0.982,0.972,65.47,64.63,-0.033
3055,IPI00384992.7,0.0,,,0.939,0.662,56.34,66.99,-0.037,0.822,-1.19,0.921,0.918,65.55,64.36,-0.035
2981,IPI00337741.4,0.0,0.364,-0.29,0.925,0.961,64.71,64.42,-0.723,0.365,0.05,0.936,0.947,63.8,63.85,-0.124
2979,IPI00337556.1,0.0,0.558,-1.16,0.989,0.979,60.36,59.2,-0.077,0.61,1.29,0.986,0.994,57.96,59.25,-0.075
2980,IPI00337667.1,0.0,0.616,-1.38,0.999,0.998,55.79,54.41,-0.074,0.32,0.22,0.991,0.999,56.37,56.59,-0.078
2982,IPI00337772.4,0.0,0.398,-0.46,0.999,0.993,52.28,51.82,-0.088,0.304,0.31,0.992,0.993,52.78,53.09,-0.086
2983,IPI00339269.1,0.0,0.302,0.05,0.933,0.989,52.91,52.96,-0.127,0.373,0.02,0.999,0.998,52.27,52.29,-0.143
2984,IPI00339277.1,0.0,0.311,0.0,0.984,0.996,54.59,54.59,-0.089,0.473,-0.31,0.985,0.994,57.05,56.74,-0.074
3054,IPI00384857.3,0.0,0.49,-0.88,0.945,0.905,60.32,59.44,-0.044,2.722,4.47,0.937,0.981,54.94,59.41,-0.05
2985,IPI00374018.8,0.0,0.335,0.25,0.988,0.997,48.76,49.01,-0.097,0.357,0.08,0.996,0.999,48.47,48.55,-0.087
2986,IPI00374208.2,0.0,0.551,-1.13,0.997,0.999,52.13,51.0,-0.172,0.304,0.31,0.999,0.998,52.21,52.52,-0.175
2987,IPI00374272.3,0.0,0.332,-0.12,0.999,0.99,51.74,51.62,-0.188,0.714,-0.95,0.997,0.998,52.56,51.61,-0.158
2988,IPI00374657.2,0.0,0.522,1.13,0.946,0.926,60.82,61.95,-0.035,0.518,1.04,0.955,0.94,60.65,61.69,-0.048
3053,IPI00384817.2,0.0,0.709,1.82,0.998,0.999,50.46,52.28,-0.164,0.759,1.65,0.998,0.998,50.7,52.35,-0.14
2989,IPI00374747.5,0.0,0.34,0.28,0.977,0.985,45.01,45.29,-0.167,0.376,0.01,0.987,0.993,46.23,46.24,-0.108
2971,IPI00336047.5,0.0,0.575,1.34,0.966,0.973,44.62,45.96,-0.165,0.474,0.91,0.978,0.991,46.65,47.56,-0.078
3057,IPI00385267.4,0.0,0.346,0.31,0.994,1.0,50.52,50.83,-0.118,0.354,0.09,0.992,0.999,50.91,51.0,-0.103
2970,IPI00336016.3,0.0,0.37,-0.32,0.992,0.997,57.47,57.15,-0.138,0.338,0.15,0.997,0.994,55.2,55.35,-0.093
2961,IPI00335385.4,0.0,0.318,-0.04,0.995,0.999,57.33,57.29,-0.144,0.396,-0.06,0.995,0.997,56.9,56.84,-0.152
2954,IPI00334683.1,0.0,0.311,0.0,0.997,0.996,52.1,52.1,-0.147,0.371,0.57,0.997,0.997,52.38,52.95,-0.154
2955,IPI00334715.4,0.0,0.438,-0.65,0.991,0.994,48.81,48.16,-0.136,0.693,-0.9,0.999,0.999,48.76,47.86,-0.125
3062,IPI00385652.1,0.0,0.694,1.77,0.998,0.994,51.77,53.54,-0.116,2.258,3.96,0.997,0.997,50.83,54.79,-0.108
2956,IPI00334914.2,0.0,0.353,0.35,0.981,0.979,52.27,52.62,-0.189,0.328,0.19,0.818,0.949,52.76,52.95,-0.163
2951,IPI00334159.6,0.0,1.022,2.75,0.959,0.983,55.76,58.51,-0.051,0.543,1.11,0.986,0.979,60.18,61.29,-0.043
2957,IPI00335001.2,0.0,,,0.154,0.956,66.99,61.37,-0.675,0.871,1.89,0.973,0.987,57.85,59.74,-0.048
2950,IPI00333908.1,0.0,,,0.782,0.83,66.99,66.99,-0.018,,,0.929,0.914,66.99,66.99,-0.021
3061,IPI00385649.2,0.0,0.472,0.92,0.97,0.992,46.33,47.25,-0.117,0.328,0.19,0.987,0.993,48.96,49.15,-0.095
2959,IPI00335251.3,0.0,0.793,2.09,0.986,0.988,45.7,47.79,-0.121,0.455,0.85,0.989,0.992,45.5,46.35,-0.11
3060,IPI00385631.6,0.0,0.327,-0.09,0.984,0.966,53.94,53.85,-0.219,0.435,-0.19,0.836,0.956,54.64,54.45,-1.038
2960,IPI00335280.3,0.0,0.378,0.48,0.995,0.97,55.5,55.98,-0.113,0.366,0.55,0.991,0.996,54.91,55.46,-0.101
2962,IPI00335421.4,0.0,0.356,-0.25,0.993,0.995,47.0,46.75,-0.118,0.333,0.17,0.997,0.994,48.19,48.36,-0.088
2953,IPI00334587.1,0.0,3.697,7.33,0.911,0.835,59.66,66.99,-0.037,,,0.0,0.261,66.99,66.99,-0.067
2963,IPI00335437.7,0.0,0.381,-0.38,0.992,0.995,49.19,48.81,-0.082,0.366,0.55,0.998,0.998,50.49,51.04,-0.086
2964,IPI00335449.3,0.0,0.366,0.42,0.992,0.997,47.42,47.84,-0.082,0.351,0.1,0.993,0.994,48.0,48.1,-0.088
2949,IPI00333763.7,0.0,0.945,2.54,0.992,0.905,60.18,62.72,-0.055,0.78,-1.1,0.989,0.984,60.5,59.4,-0.049
2965,IPI00335541.4,0.0,0.311,0.0,0.978,0.987,46.07,46.07,-0.098,0.426,-0.16,0.989,0.994,46.93,46.77,-0.092
2966,IPI00335581.5,0.0,0.42,-0.57,0.991,0.982,50.05,49.48,-0.179,0.496,-0.38,0.992,0.994,49.9,49.52,-0.152
3059,IPI00385455.3,0.0,0.347,0.32,0.827,0.901,63.84,64.16,-0.267,1.139,-1.8,0.962,0.885,63.7,61.9,-0.087
2967,IPI00335641.4,0.0,0.796,2.1,0.975,0.981,55.25,57.35,-0.073,0.349,0.11,0.996,0.994,56.77,56.88,-0.06
2968,IPI00335946.4,0.0,0.387,-0.41,0.968,0.994,47.3,46.89,-0.108,0.305,0.28,0.99,0.989,46.83,47.11,-0.132
2990,IPI00375144.5,0.0,0.362,-0.28,0.993,0.996,47.73,47.45,-0.151,0.46,-0.27,0.994,0.996,47.86,47.59,-0.172
2969,IPI00336008.1,0.0,0.398,-0.46,0.995,0.993,55.13,54.67,-0.165,0.486,-0.35,0.994,0.994,54.47,54.12,-0.183
3058,IPI00385449.4,0.0,0.587,-1.27,0.996,0.999,49.64,48.37,-0.231,0.321,0.38,0.999,0.996,48.78,49.16,-0.185
3052,IPI00384708.2,0.0,0.343,-0.18,0.996,0.998,53.9,53.72,-0.084,1.813,3.41,0.984,0.97,50.36,53.77,-0.117
3039,IPI00384180.4,0.0,0.43,0.73,0.988,0.992,51.44,52.17,-0.101,0.412,0.71,0.993,0.998,51.87,52.58,-0.108
3051,IPI00384707.2,0.0,0.34,0.28,0.998,0.998,46.83,47.11,-0.131,0.387,-0.03,0.997,0.994,47.33,47.3,-0.151
3046,IPI00384456.4,0.0,0.304,0.04,0.976,0.99,45.03,45.07,-0.215,0.429,-0.17,0.99,0.988,44.73,44.56,-0.13
